Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,5,0.8602739726027397,62.8,51.997692256483845,-0.0024118231172811514,0.0035159359558445354,-0.13991193670450267,0.10845640678088603,-0.8599999999996726
2004,6,0.5561643835616439,33.833333333333336,48.87881840724967,-0.0014991112969035038,0.002991364634097441,-0.12460154868604424,0.09270505001159825,-1.1499999999996362
2005,2,0.663013698630137,121.0,46.0,-0.008093178920409635,0.006388475330095103,-0.3168186258547711,0.18438619342233623,-1.3100000000004002
2006,3,0.6493150684931507,79.0,70.71067811865476,-0.005014077620932596,0.004977704364798619,-0.339994649545202,0.1863602382610916,-1.019999999999527
2007,8,0.6383561643835617,29.125,22.635356745587202,-0.002251048345660327,0.0021110008689906434,-0.4160058467808174,0.23778302950889377,-1.2199999999993452
2008,7,0.4684931506849315,24.428571428571427,13.414886644078264,-0.0012409311465322985,0.0012204839436092156,-0.28124716553289203,0.18689317917557777,-1.1300000000001091
2009,6,0.5452054794520548,33.166666666666664,24.882501660582463,-0.0015310084826874375,0.0021950850243502144,-0.20017762588580082,0.17731833320224488,-1.3699999999998909
2010,9,0.6958904109589041,28.22222222222222,26.519501326708312,-0.0018113911616136182,0.003154515086092567,-0.2147101514185628,0.21944041599930716,-1.5799999999999272
2011,7,0.44931506849315067,23.428571428571427,20.995626366712955,-0.0017400566786552657,0.002185984690547108,-0.47067588036532076,0.2697839501180608,-1.860000000000582
2012,4,0.7095890410958904,64.75,29.583568074186047,-0.002533083904587636,0.0019256580918600268,-0.2012374616662427,0.08554565149436996,-1.0299999999997453
2013,5,0.6082191780821918,44.4,33.79112309468272,-0.002784363204182456,0.0024491784053161467,-0.31327895472225664,0.2298639807183696,-1.2399999999997817
2014,4,0.5068493150684932,46.25,21.52179128232592,-0.001669278739564435,0.0005248715596514507,-0.2439422291048375,0.11439731749826543,-0.8000000000001819
2015,4,0.7479452054794521,68.25,58.16517428840044,-0.0032738566769931338,0.004698835253858539,-0.16718819161848367,0.14019807789212,-0.8800000000001091
2016,3,0.5835616438356165,71.0,64.63745044476924,-0.004262165695714449,0.0051191180385707,-0.2453933747411933,0.12116155806183256,-0.8400000000001455
2017,3,0.6136986301369863,74.66666666666667,78.7626533044409,-0.003912886794507821,0.004674095424717601,-0.24188760188760025,0.06464572262505133,-0.9400000000005093
2018,3,0.4684931506849315,57.0,37.47888294315436,-0.0042769060848045866,0.004790223396497111,-0.33103351123346747,0.1969242918201946,-1.0100000000002183
2019,6,0.589041095890411,35.833333333333336,36.39787844855185,-0.0015580039561578984,0.0022585853325003393,-0.1889380313528836,0.08962091341029296,-0.9000000000005457
2020,3,1.1205479452054794,136.33333333333334,41.61196409153929,-0.00273593637721636,0.0013859882329066904,-0.10983797955295771,0.020889900912764856,-0.5500000000001819
