Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,1,0.6520547945205479,238.0,0.0,-0.011059899819117876,0.0,-0.26831223628692047,0.0,-63.590000000000146
2004,1,0.4712328767123288,172.0,0.0,-0.008447014105067648,0.0,-0.283567251461987,0.0,-48.48999999999978
2005,2,0.5863013698630137,107.0,61.0,-0.007722009738242123,0.006629050795558118,-0.3166340652029241,0.1770785096473742,-82.44999999999982
2006,2,0.5753424657534246,105.0,76.0,-0.007182788713050119,0.0046147728798562005,-0.4509642857142797,0.0754642857142839,-67.58999999999924
2007,7,0.6109589041095891,31.857142857142858,23.36926291048975,-0.0023758000914258135,0.0021373652818073895,-0.39281591664150106,0.21071065306185138,-38.63999999999942
2008,6,0.4657534246575342,28.333333333333332,15.304320377665329,-0.0012917771687447088,0.0011966625750123071,-0.2479309349064662,0.23198928652393558,-20.979999999999563
2009,4,0.3863013698630137,35.25,24.993749218554626,-0.0020109061846187944,0.0025432387222175013,-0.20796350881621062,0.19040490898120585,-36.220000000000255
2010,5,0.6054794520547945,44.2,30.818176454813155,-0.0030522471016754954,0.003684681566954871,-0.27945864044216595,0.25294278371794227,-55.039999999999964
2011,7,0.4904109589041096,25.571428571428573,24.459045319864465,-0.0016057471261039583,0.0023339826353025997,-0.2872827518104173,0.20507945929742183,-41.18000000000029
2012,4,0.5589041095890411,51.0,42.2196636651691,-0.0022398735911102986,0.002168473738988484,-0.17231569371935185,0.1352273634364971,-28.789999999999964
2013,3,0.5589041095890411,68.0,21.275964529643932,-0.004383466697555634,0.0015386560644701508,-0.4216744558992029,0.2066343047471964,-37.61999999999989
2014,4,0.4602739726027397,42.0,26.086394921491163,-0.00143999369041621,0.0007140933908912685,-0.2148519726476309,0.09212848444495696,-12.600000000000364
2015,1,0.4465753424657534,163.0,0.0,-0.011286030888084617,0.0,-0.401111111111114,0.0,-64.98000000000047
2016,3,0.5095890410958904,62.0,71.47493733237313,-0.003918956528828269,0.00529322482382938,-0.18646972369198597,0.16218732225075902,-65.63000000000011
2017,3,0.6136986301369863,74.66666666666667,80.14292787819078,-0.0037508540787804423,0.00467979384666228,-0.20560160427807736,0.08148773824722509,-59.710000000000036
2018,3,0.4383561643835616,53.333333333333336,39.53338954464806,-0.00407103310621197,0.0047665356489330485,-0.30962111536825637,0.19594545108751057,-62.210000000000036
2019,4,0.4684931506849315,42.75,40.04606722263748,-0.002009700209246721,0.0024630354359629998,-0.21800740025741028,0.06286015196998111,-36.10999999999967
2020,4,1.082191780821918,98.75,57.89376045827391,-0.0019467896025847846,0.001552986307922809,-0.09638317860238914,0.03141844638081111,-25.38000000000011
