Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
2/19/97,2/27/97,10,7672.56,7672.42,-1.8246843296152446e-05,-0.015555555555591936,-0.14000000000032742
4/1/97,4/16/97,17,7672.4,7668.9,-0.00045618059538084563,-0.21875,-3.5
4/22/97,4/30/97,10,7673.14,7673.45,4.0400670390412616e-05,0.03444444444438785,0.3099999999994907
5/20/97,5/30/97,12,7677.09,7675.46,-0.00021232003272074563,-0.1481818181818281,-1.6300000000001091
6/9/97,6/13/97,6,7676.88,7677.25,4.81966632277554e-05,0.07399999999997817,0.36999999999989086
6/14/97,6/25/97,13,7677.25,7676.53,-9.378358136054638e-05,-0.060000000000021224,-0.7200000000002547
7/1/97,7/5/97,6,7676.8,7676.63,-2.2144643601510103e-05,-0.03400000000001455,-0.17000000000007276
7/14/97,7/22/97,10,7676.62,7676.01,-7.946205491475058e-05,-0.0677777777777414,-0.6099999999996726
8/7/97,9/18/97,44,7677.91,7674.6,-0.0004311069027898856,-0.07697674418603467,-3.3099999999994907
4/3/98,4/11/98,10,7675.31,7674.52,-0.00010292743876142639,-0.08777777777777374,-0.7899999999999636
5/12/98,5/15/98,5,7674.48,7674.3,-2.3454357819602313e-05,-0.044999999999845386,-0.17999999999938154
5/29/98,6/6/98,10,7677.71,7676.64,-0.0001393644719583976,-0.11888888888885656,-1.069999999999709
9/16/98,10/5/98,21,7675.23,7673.96,-0.00016546735407271535,-0.06349999999997635,-1.269999999999527
4/15/99,4/28/99,15,7677.48,7675.65,-0.00023835946169836032,-0.1307142857142805,-1.8299999999999272
5/5/99,5/13/99,10,7676.11,7675.85,-3.387132284442365e-05,-0.028888888888812088,-0.2599999999993088
5/25/99,6/2/99,10,7676.8,7676.17,-8.206544393498713e-05,-0.07000000000001212,-0.6300000000001091
4/19/00,4/25/00,8,7676.91,7676.8,-1.4328681722160686e-05,-0.01571428571423894,-0.10999999999967258
4/29/00,5/7/00,10,7677.31,7676.54,-0.00010029554622653463,-0.08555555555560407,-0.7700000000004366
5/12/00,5/16/00,6,7676.55,7676.52,-3.908005549334706e-06,-0.005999999999949069,-0.02999999999974534
5/27/00,6/1/00,7,7676.92,7677.24,4.168338344019593e-05,0.05333333333328483,0.31999999999970896
6/4/00,6/13/00,11,7677.45,7676.85,-7.815094855706704e-05,-0.05999999999994543,-0.5999999999994543
6/21/00,6/29/00,10,7677.29,7676.89,-5.210171818436404e-05,-0.04444444444440402,-0.3999999999996362
6/30/00,7/15/00,17,7676.89,7676.44,-5.8617487029347506e-05,-0.028125000000045475,-0.4500000000007276
7/18/00,7/25/00,9,7676.91,7676.77,-1.823650401000115e-05,-0.01749999999992724,-0.13999999999941792
