Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,14,0.4849315068493151,12.642857142857142,8.337583949949108,-0.000193567219018095,0.0001844324185989083,-0.15524183006534886,0.1541218167873615,-1.0299999999997453
1998,14,0.3726027397260274,9.714285714285714,4.24984993732672,-8.560458704407064e-05,6.637269185944431e-05,-0.08573696145123573,0.09147251198187643,-1.1300000000001091
1999,12,0.41643835616438357,12.666666666666666,6.209312003399052,-9.335554987398481e-05,9.774457281695947e-05,-0.05434679716937232,0.038809004731831916,-0.36999999999989086
2000,12,0.39452054794520547,12.0,10.263202878893768,-0.00014547004283832637,0.00017299463103755065,-0.10015873015869342,0.06843970053549946,-0.5299999999997453
2001,14,0.36712328767123287,9.571428571428571,5.6532454106883945,-0.00012096837197022883,0.00016527795135530332,-0.12993371707654963,0.1814722195405214,-1.6400000000003274
2002,14,0.43561643835616437,11.357142857142858,7.157485021761114,-9.863361118940538e-05,9.856478871334843e-05,-0.08454907604068199,0.08391860725990163,-0.4600000000000364
2003,13,0.3863013698630137,10.846153846153847,3.9388821890744947,-0.00010821305165489044,4.665319463925693e-05,-0.09648776437235841,0.056350682076282264,-0.6399999999994179
2004,16,0.41643835616438357,9.5,2.5495097567963922,-9.117805796184465e-05,5.968571885367701e-05,-0.08750957375955692,0.05202684448865233,-0.5500000000001819
2005,19,0.4684931506849315,9.0,3.1953914182443244,-0.00010557813004488713,9.616974468192693e-05,-0.12268246373509799,0.1442683150811343,-0.6999999999998181
2006,17,0.4520547945205479,9.705882352941176,3.2315486340753816,-8.736076019452832e-05,7.14574023924387e-05,-0.07719159925040614,0.06118010699852574,-0.47000000000025466
2007,11,0.2958904109589041,9.818181818181818,4.782889613805784,-0.00011367750073563091,9.442726046357461e-05,-0.11710195721034217,0.13043427522653248,-0.9700000000002547
2008,17,0.4438356164383562,9.529411764705882,3.2014270174559476,-8.889034605594968e-05,5.584617984144144e-05,-0.08704751131220485,0.06740540611458541,-1.180000000000291
2009,15,0.410958904109589,10.0,3.286335345030997,-0.0001059488247431278,8.690154619908016e-05,-0.1151209716209621,0.14868207720063614,-0.8499999999994543
2010,14,0.38904109589041097,10.142857142857142,5.422929398886374,-0.0001023475449872554,7.84422242787729e-05,-0.09082417582417805,0.0629131459857444,-1.0300000000006548
2011,14,0.410958904109589,10.714285714285714,4.216101303821059,-0.0001712048091041224,0.00017743911405380052,-0.1950507762913967,0.2894584257732144,-1.5100000000002183
2012,14,0.4958904109589041,12.928571428571429,10.852677653229083,-0.00012282494841660033,0.00012587827793766594,-0.08635204081632664,0.06163602795828684,-0.5999999999994543
2013,12,0.34794520547945207,10.583333333333334,3.200477394945253,-0.00010421450002592198,6.555859240033014e-05,-0.08875985125983044,0.051968667922779405,-1.1099999999996726
2014,19,0.4520547945205479,8.68421052631579,2.9567519800396083,-0.00011656576294475862,8.880160151468095e-05,-0.12067878028403753,0.07261831136524466,-0.8599999999996726
2015,19,0.5095890410958904,9.789473684210526,3.7216146378239343,-8.776107984343033e-05,5.491234241422574e-05,-0.088958614484929,0.0768743862772995,-0.569999999999709
2016,15,0.4712328767123288,11.466666666666667,5.874994089831542,-0.00013200885898239178,0.00011112269024392863,-0.09844242092518624,0.06311040349309494,-0.6000000000003638
2017,18,0.44931506849315067,9.11111111111111,4.331908597692872,-0.0001563424388171963,0.00015292043045322257,-0.15648388648391978,0.1503492945616959,-1.2199999999993452
2018,11,0.32054794520547947,10.636363636363637,7.1257883426419735,-0.00017526056926998166,0.00014740515243884505,-0.17704650188520354,0.1960975954590898,-1.6499999999996362
2019,14,0.4328767123287671,11.285714285714286,4.130523512800274,-0.00016190382694131924,0.0001403658141855865,-0.11953824174744233,0.09343633045026163,-0.9700000000002547
2020,13,0.5178082191780822,14.538461538461538,6.686558096030994,-0.00019440270366528426,9.174619268091068e-05,-0.12336233211233519,0.07553262087310421,-0.6000000000003638
2021,3,0.136986301369863,16.666666666666668,9.428090415820632,-0.00011290308582256679,8.597565576909068e-05,-0.05031928480208594,0.008308278910467651,-0.17000000000007276
