Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,13,0.5534246575342465,15.538461538461538,11.277038513419031,-0.0015097500827738965,0.0034507975015006073,-0.10305048609925592,0.16900204112986014,-1.240000000000009
1998,10,0.41643835616438357,15.2,12.820296408429876,-0.001738583405905628,0.004181845440567258,-0.10014739229024405,0.17343024212620242,-1.4699999999998
1999,19,0.5589041095890411,10.736842105263158,3.877629569767129,-0.000326157162195226,0.0005325028786924084,-0.05737180947707837,0.06001210057217755,-0.5399999999999636
2000,17,0.5917808219178082,12.705882352941176,3.4259340655437733,-0.0004656464672219515,0.0006142549353903119,-0.07168305358616735,0.0844178621912988,-0.5599999999999454
2001,19,0.6547945205479452,12.578947368421053,8.487239892758417,-0.0005185039464208622,0.0015189658015745807,-0.04846696727435466,0.06422692020216579,-0.7899999999999636
2002,14,0.5616438356164384,14.642857142857142,10.485412607571549,-0.0013556239899128687,0.0029887798205269884,-0.09208616780045575,0.15090867861395313,-0.9899999999997817
2003,13,0.4657534246575342,13.076923076923077,10.658774200423858,-0.0011871892338355553,0.003717816043516308,-0.06977149834293243,0.152093792842823,-7.130000000000109
2004,15,0.5315068493150685,12.933333333333334,11.245542326727609,-0.0011058623931955991,0.003721780575127277,-0.06277777777777332,0.13826452252584923,-1.1199999999998909
2005,14,0.536986301369863,14.0,10.028530728448139,-0.0010641284553496316,0.0023402041546522405,-0.09283532070766053,0.12580425007916657,-0.7100000000000364
2006,16,0.5589041095890411,12.75,8.96172416446746,-0.0008107922157491632,0.001869591290383391,-0.06717603995620659,0.1115077266685384,-0.7699999999999818
2007,15,0.6082191780821918,14.8,17.694443572300695,-0.000939307505403516,0.0030976278765215306,-0.04507407407407301,0.07512263407849612,-0.7200000000002547
2008,16,0.5342465753424658,12.1875,9.837547649185746,-0.0008811329292726798,0.002818779299015878,-0.06619189342403647,0.12149175632003005,-0.9800000000000182
2009,14,0.5068493150684932,13.214285714285714,8.977579783856571,-0.001023035269077985,0.0023862196687348125,-0.0905561363700882,0.13177326015850951,-0.680000000000291
2010,15,0.5342465753424658,13.0,11.78699848703364,-0.0009267853778735421,0.0030504157241635055,-0.054624338624335605,0.10780873025967781,-0.7300000000000182
2011,16,0.5123287671232877,11.6875,5.719689130538477,-0.0008951147629070071,0.0022653117781472843,-0.08547784391534283,0.1721586293884351,-1.050000000000182
2012,13,0.5835616438356165,16.384615384615383,12.187878350977451,-0.0014161059158938156,0.0034262549160311443,-0.08527387946392932,0.13763366855871786,-1.0799999999999272
2013,17,0.6301369863013698,13.529411764705882,8.845854110717454,-0.0009323491072220913,0.002341414633770475,-0.07835270769347731,0.11549495242239106,-0.7800000000002001
2014,16,0.5424657534246575,12.375,7.347406004842798,-0.0009242681289307494,0.002438585544311467,-0.07701299090038,0.1543495315013437,-1.1300000000001091
2015,14,0.4794520547945205,12.5,7.5,-0.001097078659552112,0.0027737514831488452,-0.10368428868428617,0.1690466952671428,-1.0599999999999454
2016,20,0.6136986301369863,11.2,4.28485705712571,-0.0005699828862558763,0.0014814271826473393,-0.07352198727199075,0.11994356459335256,-5.710000000000036
2017,16,0.5863013698630137,13.375,10.19114198703953,-0.0007909635271210743,0.0018367515417545442,-0.0741730769230844,0.09617359092147369,-0.8900000000003274
2018,16,0.5287671232876713,12.0625,11.260932188322599,-0.0007720777825325486,0.0022676102168527135,-0.0726778874950986,0.08415366613664882,-0.5900000000001455
2019,14,0.4410958904109589,11.5,10.601549751939908,-0.0008619356974293534,0.002336001480551085,-0.08333333333333726,0.09673870696388745,-0.9400000000000546
2020,21,0.7616438356164383,13.238095238095237,17.07380271729251,-0.0005065920808706212,0.0015762785625556268,-0.04571291142720143,0.042220035249004584,-0.5799999999999272
2021,7,0.18904109589041096,9.857142857142858,1.7261494247992246,-0.0001251817855648797,4.398772744608387e-05,-0.029321789321788774,0.008274326803373993,-0.08999999999969077
