Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
5/17/04,5/20/04,4,5379.0,5378.0,-1.0
4/14/06,4/15/06,2,5408.0,5407.0,-1.0
9/18/06,9/19/06,2,5397.0,5396.0,-1.0
3/31/11,4/1/11,2,5411.0,5410.0,-1.0
9/15/11,9/18/11,4,5414.0,5413.0,-1.0
8/10/12,8/11/12,2,5397.0,5396.0,-1.0
12/1/15,12/2/15,2,5398.0,5397.0,-1.0
5/2/17,5/5/17,4,5416.0,5415.0,-1.0
5/25/17,5/26/17,2,5414.0,5413.0,-1.0
5/14/19,5/16/19,3,5416.0,5415.0,-1.0
6/4/20,6/6/20,3,5417.0,5416.0,-1.0
10/10/20,10/11/20,2,5389.0,5388.0,-1.0
