Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2004,2,0.23013698630136986,42.0,19.0,-0.0011131096360066997,0.0009123721114721269,-0.11554545454545351,0.06645454545454771,-10.920000000000073
2005,2,0.2273972602739726,41.5,28.5,-0.0017777777283018634,0.0014341998635829373,-0.20351449275360534,0.04851449275363262,-17.389999999999418
2006,2,0.2465753424657534,45.0,35.0,-0.0018526142628601274,0.0018489150872215059,-0.12800984528830117,0.1257876230661315,-20.050000000000182
2007,2,0.34794520547945207,63.5,53.5,-0.004807158028222532,0.004713943139940576,-0.25001915708812433,0.19446360153256875,-51.5600000000004
2008,5,0.3589041095890411,26.2,9.495261976375375,-0.0004804960844938936,0.0004306915297342912,-0.07714575866187381,0.07450744376169018,-5.609999999999673
2009,1,0.24383561643835616,89.0,0.0,-0.00245170890387561,0.0,-0.15090909090908802,0.0,-13.279999999999745
2010,2,0.25205479452054796,46.0,27.0,-0.0015006287005884546,0.0008803236803639867,-0.1828472222222154,0.003819444444433065,-12.890000000000327
2011,3,0.17534246575342466,21.333333333333332,9.392668535736915,-0.00027214914699451087,0.0001772503529602209,-0.07309027777778242,0.025245371856134662,-2.8299999999999272
2012,2,0.28493150684931506,52.0,21.0,-0.0021904085312214635,0.0013526594074292906,-0.20859722222221155,0.05793055555556065,-19.1899999999996
2013,2,0.31232876712328766,57.0,29.0,-0.002470268872329774,0.0010810541296577085,-0.25214161220044146,0.026376906318093238,-19.1899999999996
2014,1,0.2410958904109589,88.0,0.0,-0.0031128807456126026,0.0,-0.19356321839080626,0.0,-16.840000000000146
2015,3,0.25753424657534246,31.333333333333332,15.627610892974722,-0.001229044809347216,0.0008399846528826643,-0.17731481481480302,0.08160943236725476,-11.5
2016,3,0.29863013698630136,36.333333333333336,30.180935851773864,-0.0013190795054301822,0.001570392348004704,-0.13552136752137564,0.07791993770682097,-19.160000000000764
2017,3,0.2493150684931507,30.333333333333332,13.27487183449325,-0.0009208831086504171,0.0006329560184540813,-0.16252573195125977,0.053670476567160424,-9.820000000000618
2018,2,0.32602739726027397,59.5,45.5,-0.002662128681421348,0.0022614314312754584,-0.21158653846153952,0.044663461538456975,-26.649999999999636
2019,1,0.1726027397260274,63.0,0.0,-0.0017748211789170585,0.0,-0.15499999999999473,0.0,-9.609999999999673
2020,3,0.33972602739726027,41.333333333333336,39.83577398380617,-0.001860306295681042,0.0021775118420830474,-0.1495624999999614,0.1204745283417821,-26.610000000000582
