Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
1/16/98,1/25/98,10,6029,6028,-0.000165865,-0.111111111,-1,29
2/23/98,3/4/98,10,6028,6027,-0.000165893,-0.111111111,-1,39
4/12/98,4/21/98,10,6027,6026,-0.00016592,-0.111111111,-1,125
8/24/98,9/2/98,10,6038,6037,-0.000165618,-0.111111111,-1,12
9/14/98,9/23/98,10,6037,6036,-0.000165645,-0.111111111,-1,14
10/7/98,10/16/98,10,6036,6035,-0.000165673,-0.111111111,-1,14
10/30/98,11/8/98,10,6035,6034,-0.0001657,-0.111111111,-1,12
11/20/98,11/29/98,10,6034,6033,-0.000165728,-0.111111111,-1,9
12/8/98,12/17/98,10,6033,6032,-0.000165755,-0.111111111,-1,9
12/26/98,1/4/99,10,6032,6031,-0.000165782,-0.111111111,-1,12
1/16/99,1/25/99,10,6031,6030,-0.00016581,-0.111111111,-1,10
2/4/99,2/13/99,10,6030,6029,-0.000165837,-0.111111111,-1,6
2/19/99,2/28/99,10,6029,6028,-0.000165865,-0.111111111,-1,6
3/6/99,3/15/99,10,6028,6027,-0.000165893,-0.111111111,-1,5
3/20/99,3/29/99,10,6027,6026,-0.00016592,-0.111111111,-1,5
4/3/99,4/12/99,10,6026,6025,-0.000165948,-0.111111111,-1,3
4/15/99,4/24/99,10,6025,6024,-0.000165975,-0.111111111,-1,143
9/14/99,9/23/99,10,6033,6032,-0.000165755,-0.111111111,-1,15
10/8/99,10/17/99,10,6032,6031,-0.000165782,-0.111111111,-1,14
10/31/99,11/9/99,10,6031,6030,-0.00016581,-0.111111111,-1,16
11/25/99,12/4/99,10,6030,6029,-0.000165837,-0.111111111,-1,15
12/19/99,12/28/99,10,6029,6028,-0.000165865,-0.111111111,-1,10
1/7/00,1/16/00,10,6028,6027,-0.000165893,-0.111111111,-1,26
2/11/00,2/20/00,10,6027,6026,-0.00016592,-0.111111111,-1,91
5/21/00,6/2/00,13,6026,6024,-0.000331895,-0.166666667,-2,2
6/4/00,6/13/00,10,6024,6023,-0.000166003,-0.111111111,-1,39
7/22/00,7/31/00,10,6023,6022,-0.00016603,-0.111111111,-1,22
8/22/00,8/31/00,10,6022,6021,-0.000166058,-0.111111111,-1,92
12/1/00,12/10/00,10,6021,6020,-0.000166085,-0.111111111,-1,123
4/12/01,4/21/01,10,6022,6021,-0.000166058,-0.111111111,-1,31
5/22/01,5/31/01,10,6022,6021,-0.000166058,-0.111111111,-1,76
8/15/01,8/24/01,10,6021,6020,-0.000166085,-0.111111111,-1,30
9/23/01,10/2/01,10,6020,6019,-0.000166113,-0.111111111,-1,28
10/30/01,11/8/01,10,6019,6018,-0.000166141,-0.111111111,-1,33
12/11/01,12/20/01,10,6018,6017,-0.000166168,-0.111111111,-1,37
1/26/02,2/4/02,10,6017,6016,-0.000166196,-0.111111111,-1,76
4/21/02,4/30/02,10,6016,6015,-0.000166223,-0.111111111,-1,19
5/19/02,5/30/02,12,6016,6014,-0.000332447,-0.181818182,-2,28
6/27/02,7/6/02,10,6014,6013,-0.000166279,-0.111111111,-1,29
8/4/02,8/13/02,10,6013,6012,-0.000166306,-0.111111111,-1,21
9/3/02,9/12/02,10,6012,6011,-0.000166334,-0.111111111,-1,48
10/30/02,11/8/02,10,6011,6010,-0.000166362,-0.111111111,-1,89
2/5/03,2/14/03,10,6010,6009,-0.000166389,-0.111111111,-1,95
5/20/03,5/31/03,12,6012,6010,-0.000332668,-0.181818182,-2,81
8/20/03,8/29/03,10,6011,6010,-0.000166362,-0.111111111,-1,54
10/22/03,10/31/03,10,6010,6009,-0.000166389,-0.111111111,-1,192
5/10/04,5/19/04,10,6010,6009,-0.000166389,-0.111111111,-1,24
6/12/04,6/18/04,7,6009,6008,-0.000166417,-0.166666667,-1,426
8/18/05,8/27/05,10,6027,6026,-0.00016592,-0.111111111,-1,32
9/28/05,10/7/05,10,6026,6025,-0.000165948,-0.111111111,-1,28
11/4/05,11/13/05,10,6025,6024,-0.000165975,-0.111111111,-1,22
12/5/05,12/14/05,10,6024,6023,-0.000166003,-0.111111111,-1,31
1/14/06,1/23/06,10,6023,6022,-0.00016603,-0.111111111,-1,32
2/24/06,3/5/06,10,6022,6021,-0.000166058,-0.111111111,-1,78
5/22/06,5/31/06,10,6022,6021,-0.000166058,-0.111111111,-1,182
11/29/06,12/8/06,10,6025,6024,-0.000165975,-0.111111111,-1,161
5/18/07,5/27/07,10,6026,6025,-0.000165948,-0.111111111,-1,14
6/10/07,6/19/07,10,6025,6024,-0.000165975,-0.111111111,-1,23
7/12/07,7/21/07,10,6024,6023,-0.000166003,-0.111111111,-1,60
9/19/07,9/28/07,10,6023,6022,-0.00016603,-0.111111111,-1,87
12/24/07,1/2/08,10,6022,6021,-0.000166058,-0.111111111,-1,153
6/3/08,6/12/08,10,6022,6021,-0.000166058,-0.111111111,-1,102
