Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
6/18/99,6/21/99,4,6029.0,6028.8,-0.1999999999998181
2/26/00,2/28/00,3,6026.4,6026.2,-0.1999999999998181
2/29/00,3/1/00,2,6026.4,6026.2,-0.1999999999998181
3/20/00,3/22/00,3,6026.2,6026.0,-0.1999999999998181
6/26/00,6/27/00,2,6023.0,6022.8,-0.1999999999998181
1/21/03,1/23/03,3,6009.6,6009.4,-0.2000000000007276
1/24/03,1/25/03,2,6009.6,6009.4,-0.2000000000007276
6/2/03,6/5/03,4,6010.2,6010.0,-0.1999999999998181
7/19/04,7/20/04,2,6010.4,6010.2,-0.1999999999998181
8/2/04,8/3/04,2,6011.2,6011.0,-0.1999999999998181
8/22/04,8/23/04,2,6011.4,6011.2,-0.1999999999998181
9/8/04,9/10/04,3,6011.4,6011.2,-0.1999999999998181
10/27/04,10/28/04,2,6011.6,6011.4,-0.2000000000007276
5/6/08,5/7/08,2,6022.0,6021.8,-0.1999999999998181
5/8/08,5/9/08,2,6022.0,6021.8,-0.1999999999998181
5/10/08,5/11/08,2,6022.0,6021.8,-0.1999999999998181
6/26/08,6/27/08,2,6021.2,6021.0,-0.1999999999998181
3/9/10,3/10/10,2,6025.6,6025.4,-0.2000000000007276
4/29/10,4/30/10,2,6026.8,6026.6,-0.1999999999998181
5/14/10,5/15/10,2,6027.0,6026.8,-0.1999999999998181
6/30/10,7/1/10,2,6027.0,6026.8,-0.1999999999998181
2/14/11,2/16/11,3,6023.6,6023.4,-0.2000000000007276
2/17/11,2/18/11,2,6023.6,6023.4,-0.2000000000007276
2/21/11,2/23/11,3,6023.6,6023.4,-0.2000000000007276
11/1/11,11/3/11,3,6032.4,6032.2,-0.1999999999998181
2/6/13,2/7/13,2,6020.0,6019.8,-0.1999999999998181
5/20/13,5/21/13,2,6021.0,6020.8,-0.1999999999998181
9/23/13,9/26/13,4,6015.4,6015.2,-0.1999999999998181
10/7/13,10/8/13,2,6015.4,6015.2,-0.1999999999998181
10/11/13,10/12/13,2,6015.4,6015.2,-0.1999999999998181
10/13/13,10/14/13,2,6015.4,6015.2,-0.1999999999998181
12/8/13,12/9/13,2,6015.6,6015.4,-0.2000000000007276
4/24/14,4/25/14,2,6019.4,6019.2,-0.1999999999998181
6/14/14,6/16/14,3,6026.4,6026.2,-0.1999999999998181
7/11/14,7/12/14,2,6028.6,6028.4,-0.2000000000007276
8/22/14,8/25/14,4,6028.6,6028.4,-0.2000000000007276
9/15/14,9/16/14,2,6028.4,6028.2,-0.1999999999998181
6/4/16,6/6/16,3,6032.0,6031.8,-0.1999999999998181
2/21/17,2/22/17,2,6023.2,6023.0,-0.1999999999998181
3/21/17,3/22/17,2,6024.2,6024.0,-0.1999999999998181
5/9/17,5/10/17,2,6022.4,6022.2,-0.1999999999998181
3/24/18,3/25/18,2,6025.8,6025.6,-0.1999999999998181
4/10/18,4/11/18,2,6025.6,6025.4,-0.2000000000007276
4/14/18,4/15/18,2,6025.6,6025.4,-0.2000000000007276
4/17/18,4/19/18,3,6025.6,6025.4,-0.2000000000007276
12/29/20,12/30/20,2,6025.0,6024.8,-0.1999999999998181
