Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
4/22/03,4/26/03,5,5470.8,5467.4,-0.000621481319002805,-0.8500000000001364
5/5/03,5/9/03,5,5471.2,5469.6,-0.00029244041526528997,-0.3999999999998636
5/12/03,5/16/03,5,5471.6,5467.2,-0.0008041523503181054,-1.1000000000001364
8/10/03,8/14/03,5,5471.0,5470.0,-0.00018278194114421494,-0.25
8/20/03,8/25/03,6,5471.6,5467.2,-0.0008041523503181054,-0.8800000000001091
8/30/03,9/3/03,5,5471.8,5470.2,-0.0002924083482584093,-0.40000000000009095
9/30/03,10/6/03,7,5465.6,5461.2,-0.0008050351288057204,-0.7333333333334243
10/27/03,11/5/03,10,5470.6,5460.0,-0.0019376302416554607,-1.1777777777778182
11/22/03,11/26/03,5,5470.6,5469.0,-0.0002924724893065411,-0.40000000000009095
1/4/04,1/9/04,6,5471.6,5470.6,-0.00018276189779954674,-0.2
1/19/04,1/30/04,12,5471.6,5465.2,-0.0011696761459171988,-0.5818181818182314
3/18/04,3/22/04,5,5470.4,5466.8,-0.000658087159988201,-0.8999999999998636
4/28/04,5/3/04,6,5468.6,5466.2,-0.00043886918041190535,-0.4800000000001091
6/8/04,6/12/04,5,5471.2,5467.8,-0.0006214358824388865,-0.849999999999909
6/29/04,7/4/04,6,5470.6,5467.4,-0.0005849449786130822,-0.6400000000001456
7/10/04,7/19/04,6,5471.8,5466.4,-0.0009868781753720065,-1.080000000000109
9/5/04,9/9/04,5,5469.6,5464.0,-0.001023840865876913,-1.400000000000091
9/13/04,9/17/04,5,5469.2,5461.0,-0.0014993052000292215,-2.0499999999999545
11/1/04,11/8/04,8,5468.2,5463.0,-0.0009509527815368527,-0.7428571428571169
11/23/04,11/27/04,5,5468.8,5465.6,-0.0005851375073141856,-0.7999999999999545
1/7/05,1/11/05,5,5470.8,5468.2,-0.0004752504204138999,-0.650000000000091
3/3/05,3/7/05,5,5469.0,5466.8,-0.00040226732492225603,-0.5499999999999545
3/27/05,4/1/05,6,5470.4,5461.2,-0.0016817782977478464,-1.8399999999999637
5/9/05,5/13/05,5,5470.8,5464.2,-0.0012064049133582591,-1.650000000000091
6/10/05,6/16/05,7,5471.0,5467.2,-0.0006945713763480501,-0.6333333333333636
6/29/05,7/3/05,5,5471.0,5468.4,-0.00047523304697502536,-0.650000000000091
7/21/05,7/25/05,5,5471.6,5469.4,-0.0004020761751591358,-0.5500000000001819
7/28/05,8/1/05,5,5470.6,5470.0,-0.00010967718348999447,-0.15000000000009095
8/16/05,8/20/05,5,5471.0,5469.6,-0.00025589471760183445,-0.34999999999990905
8/21/05,8/28/05,8,5469.8,5466.4,-0.0006215949394860041,-0.48571428571436365
9/1/05,9/6/05,6,5470.6,5466.2,-0.0008042993455929048,-0.8800000000001091
9/10/05,9/14/05,5,5468.0,5465.6,-0.00043891733723475427,-0.599999999999909
9/26/05,10/1/05,6,5470.6,5469.4,-0.00021935436697998893,-0.2400000000001455
10/16/05,10/21/05,6,5471.8,5469.8,-0.00036551043532292846,-0.4
10/31/05,11/16/05,17,5471.0,5460.0,-0.0020106013525863645,-0.6875
11/18/05,12/4/05,17,5469.2,5463.0,-0.001133621004900135,-0.38749999999998863
12/9/05,12/15/05,7,5468.4,5464.6,-0.0006949016165604697,-0.6333333333332121
2/1/06,2/5/06,5,5469.8,5467.8,-0.000365644082050532,-0.5
2/7/06,2/13/06,7,5470.6,5468.0,-0.00047526779512308773,-0.43333333333339397
