Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
2/15/03,2/17/03,3,5468.0,5467.0,-1.0
2/19/03,2/20/03,2,5472.0,5469.0,-3.0
2/22/03,2/24/03,3,5471.0,5464.0,-7.0
2/27/03,3/2/03,4,5468.0,5466.0,-2.0
3/3/03,3/4/03,2,5467.0,5463.0,-4.0
3/13/03,3/14/03,2,5469.0,5465.0,-4.0
3/25/03,3/26/03,2,5470.0,5469.0,-1.0
4/5/03,4/6/03,2,5470.0,5469.0,-1.0
4/16/03,4/17/03,2,5471.0,5469.0,-2.0
4/28/03,4/30/03,3,5469.0,5466.0,-3.0
5/3/03,5/4/03,2,5471.0,5470.0,-1.0
5/18/03,5/19/03,2,5468.0,5467.0,-1.0
5/21/03,5/22/03,2,5469.0,5467.0,-2.0
5/23/03,5/26/03,4,5470.0,5468.0,-2.0
5/27/03,5/30/03,4,5470.0,5469.0,-1.0
6/9/03,6/11/03,3,5471.0,5468.0,-3.0
6/13/03,6/15/03,3,5470.0,5466.0,-4.0
6/19/03,6/20/03,2,5471.0,5470.0,-1.0
6/24/03,6/25/03,2,5471.0,5469.0,-2.0
6/26/03,6/27/03,2,5471.0,5469.0,-2.0
6/29/03,7/2/03,4,5471.0,5469.0,-2.0
7/3/03,7/5/03,3,5470.0,5466.0,-4.0
7/11/03,7/12/03,2,5469.0,5468.0,-1.0
7/15/03,7/17/03,3,5471.0,5469.0,-2.0
7/18/03,7/19/03,2,5472.0,5467.0,-5.0
7/26/03,7/29/03,4,5471.0,5469.0,-2.0
7/30/03,8/1/03,3,5471.0,5470.0,-1.0
8/3/03,8/5/03,3,5472.0,5469.0,-3.0
8/15/03,8/16/03,2,5471.0,5470.0,-1.0
8/17/03,8/19/03,3,5471.0,5467.0,-4.0
8/26/03,8/27/03,2,5470.0,5467.0,-3.0
9/7/03,9/9/03,3,5472.0,5468.0,-4.0
9/12/03,9/13/03,2,5471.0,5468.0,-3.0
9/15/03,9/17/03,3,5471.0,5469.0,-2.0
9/21/03,9/22/03,2,5471.0,5470.0,-1.0
9/23/03,9/25/03,3,5471.0,5462.0,-9.0
10/23/03,10/26/03,4,5468.0,5464.0,-4.0
11/8/03,11/9/03,2,5472.0,5470.0,-2.0
11/18/03,11/20/03,3,5468.0,5467.0,-1.0
12/3/03,12/4/03,2,5470.0,5469.0,-1.0
12/5/03,12/8/03,4,5470.0,5469.0,-1.0
12/9/03,12/11/03,3,5470.0,5469.0,-1.0
12/21/03,12/22/03,2,5470.0,5467.0,-3.0
12/29/03,12/31/03,3,5471.0,5468.0,-3.0
1/11/04,1/13/04,3,5472.0,5471.0,-1.0
1/14/04,1/15/04,2,5472.0,5470.0,-2.0
2/25/04,2/26/04,2,5471.0,5470.0,-1.0
2/28/04,3/1/04,3,5471.0,5469.0,-2.0
3/3/04,3/5/04,3,5471.0,5468.0,-3.0
3/7/04,3/9/04,3,5470.0,5469.0,-1.0
3/10/04,3/12/04,3,5470.0,5468.0,-2.0
3/24/04,3/27/04,4,5469.0,5467.0,-2.0
3/30/04,4/2/04,4,5471.0,5464.0,-7.0
4/8/04,4/11/04,4,5471.0,5467.0,-4.0
4/13/04,4/16/04,4,5470.0,5467.0,-3.0
