Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,29,0.7479452054794521,9.413793103448276,2.988682576554545,-0.00019569906582699622,0.00032876793741255604,-0.09652421856935056,0.23183312784677554,-5.449999999999818
2004,32,0.8273972602739726,9.4375,2.816663584810937,-0.00015404544161625193,0.0002577959705520913,-0.056710720702896525,0.16880035019902753,-4.220000000000255
2005,38,0.9397260273972603,9.026315789473685,2.8881504016207797,-0.00020610837675969594,0.0003761074997693388,-0.09979479949875118,0.20990763040548094,-7.960000000000036
2006,32,0.8438356164383561,9.625,2.8695600708122493,-0.00016005341737311142,0.00021647409253351717,-0.08240228998431365,0.12704720400781744,-3.0799999999999272
2007,36,0.873972602739726,8.86111111111111,2.5620388775107497,-0.0001312578848793595,0.00022784354788140946,-0.06936474867723977,0.14255920488334736,-4.519999999999527
2008,27,0.7534246575342466,10.185185185185185,3.067596924570171,-0.00023763210009841194,0.0003206588058813562,-0.11059199539266615,0.17376161705501797,-4.619999999999891
2009,28,0.7726027397260274,10.071428571428571,2.7893748842523767,-0.00016599466953463857,0.00025931033837406077,-0.06613926252317874,0.1861547073634718,-3.8099999999994907
2010,28,0.7671232876712328,10.0,3.575711717366808,-0.0002986135456109429,0.0005456508612900907,-0.12773320304229427,0.2411332715482769,-14.610000000000582
2011,27,0.7013698630136986,9.481481481481481,2.948576183332614,-0.00018346128879040644,0.0002594830625946603,-0.09561031972143862,0.14793742618994696,-5.130000000000109
2012,32,0.8493150684931506,9.6875,3.263792847286727,-0.0001469675125181426,0.0002680930533694164,-0.0696075309011244,0.15137394470539803,-4.760000000000218
2013,34,0.8547945205479452,9.176470588235293,2.89493054102689,-0.00017840962839778805,0.00035434339834689797,-0.07244858327946656,0.20095335638645437,-5.350000000000364
2014,27,0.7315068493150685,9.88888888888889,2.3465235646603193,-0.00034876716650978577,0.0003885194327966181,-0.1806740039795627,0.2060782158282411,-8.760000000000218
2015,32,0.7972602739726027,9.09375,3.014126894724242,-0.00018393315540458376,0.0003330305382241066,-0.08085245917277324,0.19842108958080962,-7.309999999999491
2016,33,0.9068493150684932,10.030303030303031,3.279734361793682,-0.00017722959891628264,0.0003789785302731257,-0.06613884011612299,0.23749215026053047,-6.950000000000728
2017,24,0.6082191780821918,9.25,3.031088913245535,-0.00024682460373797414,0.000454030781967272,-0.11788667640229711,0.2457582033937664,-8.860000000000582
2018,33,0.8410958904109589,9.303030303030303,2.4554805551373207,-0.00015265568181497424,0.0002451613431659072,-0.06754617604616742,0.17548392205906801,-4.0700000000006185
2019,32,0.7972602739726027,9.09375,2.7991000227751774,-0.0002122139240165035,0.0003353885366295197,-0.10677323717949869,0.19170700638009094,-7.700000000000728
2020,40,1.1753424657534246,10.725,3.499910713146837,-0.000193987405360942,0.0002944138766888668,-0.0961923880299214,0.16216016665418728,-6.6899999999996
2021,11,0.2821917808219178,9.363636363636363,3.11222595793158,-0.0002022062752700017,0.0003593314074116319,-0.08250135975131713,0.19948220596747193,-5.1599999999998545
