Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
1/2/97,1/19/97,18,455.6,395.4,-0.1321334503950835,-3.541176470588238
1/27/97,2/8/97,13,408.6,394.4,-0.034752814488497416,-1.1833333333333371
2/25/97,3/2/97,6,405.2,402.8,-0.005923000987166775,-0.47999999999999543
6/10/97,6/19/97,10,433.8,432.4,-0.0032272936837252977,-0.15555555555555933
6/20/97,8/24/97,66,432.6,422.0,-0.024503005085529408,-0.16307692307692342
9/20/97,11/25/97,67,424.6,407.6,-0.040037682524729154,-0.25757575757575757
11/28/97,12/6/97,9,408.2,406.6,-0.003919647231749059,-0.19999999999999574
12/10/97,12/19/97,10,408.6,408.0,-0.0014684287812041672,-0.06666666666666919
12/27/97,1/3/98,8,407.4,405.4,-0.004909180166912126,-0.2857142857142857
1/19/98,1/28/98,10,424.6,421.2,-0.00800753650494591,-0.37777777777778154
2/15/98,2/19/98,5,422.6,419.4,-0.00757217226691918,-0.8000000000000114
3/18/98,3/22/98,5,430.2,428.4,-0.004184100418410068,-0.45000000000000284
5/7/98,5/11/98,5,446.4,446.0,-0.0008960573476702,-0.09999999999999432
5/12/98,5/21/98,10,446.2,442.4,-0.0085163603765128,-0.4222222222222235
6/26/98,6/30/98,5,460.2,459.8,-0.0008691873098652266,-0.09999999999999432
7/18/98,9/9/98,54,463.6,450.4,-0.028472821397756785,-0.24905660377358577
9/10/98,11/23/98,75,450.6,423.6,-0.059920106524633816,-0.36486486486486486
11/25/98,11/29/98,5,423.8,422.8,-0.0023596035865974517,-0.25
12/6/98,12/20/98,15,426.4,425.2,-0.002814258911819861,-0.0857142857142849
12/25/98,1/16/99,23,425.2,421.0,-0.009877704609595458,-0.1909090909090904
1/20/99,2/2/99,14,428.0,420.6,-0.01728971962616817,-0.5692307692307674
2/9/99,2/16/99,8,430.0,421.6,-0.01953488372093018,-1.1999999999999968
6/25/99,8/11/99,48,463.6,446.0,-0.03796376186367563,-0.37446808510638346
8/12/99,8/21/99,10,446.2,445.8,-0.0008964589870012938,-0.04444444444444192
8/22/99,9/12/99,22,445.6,443.6,-0.004488330341113106,-0.09523809523809523
9/17/99,11/22/99,67,444.2,427.2,-0.038271049076992344,-0.25757575757575757
11/23/99,12/1/99,9,427.2,426.2,-0.0023408239700374533,-0.125
12/2/99,1/16/00,46,426.4,416.2,-0.023921200750469017,-0.2266666666666664
1/26/00,2/9/00,15,429.8,422.8,-0.016286644951140065,-0.5
2/15/00,2/22/00,8,434.4,424.0,-0.023941068139963117,-1.4857142857142824
2/28/00,3/4/00,6,428.8,426.6,-0.005130597014925346,-0.4399999999999977
4/19/00,5/7/00,19,441.0,436.6,-0.009977324263038496,-0.2444444444444432
6/18/00,8/11/00,55,449.0,433.6,-0.03429844097995541,-0.28518518518518476
9/21/00,10/28/00,38,436.6,426.2,-0.023820430600091695,-0.281081081081082
10/29/00,11/10/00,13,426.4,425.2,-0.002814258911819861,-0.09999999999999905
11/20/00,12/11/00,22,425.6,423.0,-0.006109022556391031,-0.1238095238095249
12/19/00,1/23/01,36,423.2,415.2,-0.01890359168241966,-0.22857142857142856
1/27/01,2/9/01,14,416.0,414.0,-0.004807692307692308,-0.15384615384615385
5/24/01,11/22/01,183,440.4,379.0,-0.13941871026339686,-0.3373626373626372
4/17/02,4/23/02,7,446.8,445.6,-0.0026857654431512727,-0.1999999999999981
6/8/02,8/30/02,84,452.8,422.4,-0.06713780918727923,-0.3662650602409643
9/7/02,11/8/02,63,422.0,410.2,-0.0279620853080569,-0.19032258064516147
11/16/02,12/12/02,27,411.6,407.6,-0.009718172983479106,-0.15384615384615385
1/31/03,3/3/03,32,428.6,420.0,-0.020065328978068182,-0.2774193548387104
6/2/03,6/10/03,9,465.2,464.8,-0.0008598452278589365,-0.04999999999999716
6/11/03,12/6/03,179,465.0,414.6,-0.1083870967741935,-0.28314606741573023
1/6/04,1/13/04,8,423.8,422.8,-0.0023596035865974517,-0.14285714285714285
1/14/04,1/18/04,5,423.0,422.6,-0.0009456264775413174,-0.09999999999999432
1/28/04,2/1/04,5,423.4,423.0,-0.0009447331128955534,-0.09999999999999432
