Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
1/2/97,1/19/97,18,456,395,-0.13377193,-3.588235294,-61,8
1/27/97,2/8/97,13,409,394,-0.036674817,-1.25,-15,18
2/26/97,3/6/97,9,405,403,-0.004938272,-0.25,-2,98
6/12/97,6/19/97,8,434,432,-0.004608295,-0.285714286,-2,1
6/20/97,7/9/97,20,433,428,-0.011547344,-0.263157895,-5,2
7/11/97,7/21/97,11,428,426,-0.004672897,-0.2,-2,1
7/22/97,7/31/97,10,426,425,-0.002347418,-0.111111111,-1,10
8/10/97,8/22/97,13,424,422,-0.004716981,-0.166666667,-2,29
9/20/97,10/2/97,13,425,423,-0.004705882,-0.166666667,-2,2
10/4/97,10/16/97,13,423,420,-0.007092199,-0.25,-3,2
10/18/97,11/18/97,32,420,410,-0.023809524,-0.322580645,-10,3
11/21/97,11/30/97,10,409,408,-0.002444988,-0.111111111,-1,2
12/2/97,12/7/97,6,408,407,-0.00245098,-0.2,-1,3
12/10/97,12/19/97,10,409,408,-0.002444988,-0.111111111,-1,6
12/25/97,1/3/98,10,408,405,-0.007352941,-0.333333333,-3,16
1/19/98,1/28/98,10,425,421,-0.009411765,-0.444444444,-4,18
2/15/98,2/19/98,5,423,419,-0.009456265,-1,-4,84
5/14/98,5/21/98,8,446,442,-0.00896861,-0.571428571,-4,58
7/18/98,8/4/98,18,464,461,-0.006465517,-0.176470588,-3,1
8/5/98,8/15/98,11,461,458,-0.006507592,-0.3,-3,2
8/17/98,9/9/98,24,457,450,-0.015317287,-0.304347826,-7,1
9/10/98,11/7/98,59,451,429,-0.048780488,-0.379310345,-22,2
11/9/98,11/24/98,16,429,424,-0.011655012,-0.333333333,-5,1
11/25/98,11/30/98,6,424,423,-0.002358491,-0.2,-1,13
12/13/98,12/22/98,10,426,425,-0.002347418,-0.111111111,-1,6
12/28/98,1/8/99,12,425,423,-0.004705882,-0.181818182,-2,1
1/9/99,1/17/99,9,423,421,-0.004728132,-0.25,-2,3
1/20/99,2/1/99,13,428,421,-0.01635514,-0.583333333,-7,9
2/10/99,2/20/99,11,430,416,-0.03255814,-1.4,-14,1
2/21/99,2/28/99,8,417,416,-0.002398082,-0.142857143,-1,117
6/25/99,8/6/99,43,464,447,-0.036637931,-0.404761905,-17,1
8/7/99,8/16/99,10,447,446,-0.002237136,-0.111111111,-1,6
8/22/99,8/31/99,10,446,445,-0.002242152,-0.111111111,-1,3
9/3/99,9/12/99,10,445,444,-0.002247191,-0.111111111,-1,9
9/21/99,10/1/99,11,444,442,-0.004504505,-0.2,-2,2
10/3/99,11/16/99,45,441,428,-0.029478458,-0.295454545,-13,10
11/26/99,12/5/99,10,427,426,-0.00234192,-0.111111111,-1,5
12/10/99,1/14/00,36,426,417,-0.021126761,-0.257142857,-9,12
1/26/00,2/7/00,13,430,423,-0.01627907,-0.583333333,-7,8
2/15/00,2/22/00,8,434,424,-0.023041475,-1.428571429,-10,6
2/28/00,3/6/00,8,429,427,-0.004662005,-0.285714286,-2,47
4/22/00,5/8/00,17,441,437,-0.009070295,-0.25,-4,46
6/23/00,8/3/00,42,449,435,-0.031180401,-0.341463415,-14,2
8/5/00,8/14/00,10,435,434,-0.002298851,-0.111111111,-1,38
9/21/00,10/3/00,13,437,435,-0.004576659,-0.166666667,-2,4
10/7/00,10/30/00,24,434,426,-0.01843318,-0.347826087,-8,6
