Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
1/23/97,1/25/97,3,402.4,398.4,-4.0
12/24/97,12/26/97,3,407.8,407.2,-0.6000000000000227
1/13/98,1/14/98,2,414.4,414.2,-0.19999999999998863
1/30/98,2/1/98,3,421.8,421.6,-0.19999999999998863
2/3/98,2/6/98,4,428.0,418.8,-9.199999999999989
2/9/98,2/10/98,2,421.0,420.8,-0.19999999999998863
5/30/98,6/1/98,3,444.8,444.6,-0.19999999999998863
2/3/99,2/6/99,4,420.8,419.8,-1.0
2/17/99,2/20/99,4,421.8,416.0,-5.800000000000011
2/21/99,2/24/99,4,416.6,416.2,-0.4000000000000341
2/26/99,2/28/99,3,416.4,416.0,-0.39999999999997726
3/5/99,3/6/99,2,419.0,418.8,-0.19999999999998863
2/24/00,2/26/00,3,426.2,425.0,-1.1999999999999886
4/15/00,4/16/00,2,440.8,440.6,-0.19999999999998863
6/10/00,6/12/00,3,448.4,448.2,-0.19999999999998863
8/13/00,8/14/00,2,433.8,433.6,-0.19999999999998863
8/19/00,8/21/00,3,434.2,434.0,-0.19999999999998863
8/29/00,8/31/00,3,434.8,434.6,-0.19999999999998863
9/15/00,9/16/00,2,436.2,436.0,-0.19999999999998863
11/11/00,11/13/00,3,425.4,425.2,-0.19999999999998863
12/16/00,12/18/00,3,423.4,423.0,-0.39999999999997726
11/27/01,11/28/01,2,380.0,379.8,-0.19999999999998863
12/10/01,12/12/01,3,383.6,383.4,-0.20000000000004547
4/27/02,4/30/02,4,445.8,445.4,-0.4000000000000341
5/2/02,5/5/02,4,445.8,445.6,-0.19999999999998863
5/10/02,5/13/02,4,447.0,446.6,-0.39999999999997726
9/2/02,9/5/02,4,422.2,421.8,-0.39999999999997726
3/8/03,3/11/03,4,420.6,420.4,-0.20000000000004547
12/8/03,12/9/03,2,415.0,414.8,-0.19999999999998863
12/17/03,12/18/03,2,417.0,416.8,-0.19999999999998863
12/19/03,12/20/03,2,417.0,416.8,-0.19999999999998863
2/9/04,2/10/04,2,424.4,424.2,-0.19999999999998863
2/13/04,2/15/04,3,424.4,424.2,-0.19999999999998863
6/3/04,6/5/04,3,432.4,432.2,-0.19999999999998863
12/21/04,12/22/04,2,395.8,395.6,-0.19999999999998863
12/25/04,12/27/04,3,395.8,395.6,-0.19999999999998863
2/20/05,2/23/05,4,428.8,428.0,-0.8000000000000114
5/17/05,5/18/05,2,460.6,459.8,-0.8000000000000114
6/6/05,6/8/05,3,463.6,463.4,-0.20000000000004547
6/25/05,6/28/05,4,462.2,461.8,-0.39999999999997726
12/16/05,12/17/05,2,423.4,423.2,-0.19999999999998863
1/16/06,1/17/06,2,398.0,397.8,-0.19999999999998863
2/24/06,2/26/06,3,403.0,401.8,-1.1999999999999886
3/23/06,3/24/06,2,433.4,433.2,-0.19999999999998863
4/1/06,4/2/06,2,440.8,440.4,-0.4000000000000341
4/17/06,4/19/06,3,439.6,439.2,-0.4000000000000341
12/18/06,12/21/06,4,414.4,414.0,-0.39999999999997726
12/25/06,12/26/06,2,414.2,414.0,-0.19999999999998863
12/31/08,1/2/09,3,371.2,370.8,-0.39999999999997726
4/16/09,4/18/09,3,446.8,446.6,-0.19999999999998863
5/13/10,5/14/10,2,456.2,456.0,-0.19999999999998863
12/8/10,12/10/10,3,420.6,420.2,-0.4000000000000341
3/1/11,3/3/11,3,430.2,429.8,-0.39999999999997726
7/5/11,7/6/11,2,463.6,463.4,-0.20000000000004547
5/12/12,5/13/12,2,459.8,459.6,-0.19999999999998863
12/24/12,12/25/12,2,427.8,427.4,-0.4000000000000341
1/24/13,1/25/13,2,423.6,423.4,-0.20000000000004547
4/23/14,4/24/14,2,420.6,420.4,-0.20000000000004547
1/22/15,1/23/15,2,409.8,409.6,-0.19999999999998863
12/1/15,12/4/15,4,349.0,348.6,-0.39999999999997726
12/6/15,12/7/15,2,349.0,348.8,-0.19999999999998863
12/8/15,12/10/15,3,349.0,348.8,-0.19999999999998863
5/4/16,5/5/16,2,453.0,452.8,-0.19999999999998863
10/23/16,10/25/16,3,390.6,390.4,-0.20000000000004547
12/13/16,12/15/16,3,431.2,427.8,-3.3999999999999773
1/5/17,1/7/17,3,411.6,408.6,-3.0
3/27/17,3/30/17,4,429.6,427.2,-2.400000000000034
6/29/17,7/1/17,3,464.0,463.8,-0.19999999999998863
1/14/18,1/16/18,3,426.0,425.8,-0.19999999999998863
4/3/18,4/6/18,4,451.2,447.6,-3.599999999999966
5/26/18,5/28/18,3,464.2,464.0,-0.19999999999998863
2/8/19,2/9/19,2,430.4,430.2,-0.19999999999998863
2/10/19,2/13/19,4,430.8,427.6,-3.1999999999999886
2/28/19,3/2/19,3,428.2,427.4,-0.8000000000000114
4/12/19,4/15/19,4,450.2,449.8,-0.39999999999997726
5/19/19,5/21/19,3,461.8,461.4,-0.4000000000000341
5/22/19,5/25/19,4,461.6,461.4,-0.20000000000004547
11/15/20,11/18/20,4,393.0,392.8,-0.19999999999998863
4/11/21,4/13/21,3,397.8,397.4,-0.4000000000000341
