Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,9,0.5671232876712329,23.0,23.47102232304526,-0.027874944816066324,0.03939038870996427,-0.7036776658345291,1.0518429455630827,-7.990000000000009
1998,11,0.5808219178082191,19.272727272727273,22.43005657631137,-0.01213544629588425,0.016801704079088226,-0.30823134956925763,0.19996913901768118,-4.350000000000023
1999,8,0.6136986301369863,28.0,21.10094784600919,-0.0180882785420484,0.013998356976305476,-0.36157797728276364,0.35403647380075587,-3.180000000000007
2000,9,0.5808219178082191,23.555555555555557,15.312385046179747,-0.015697931011082744,0.009960233075753345,-0.40986732764510475,0.3995399922817819,-2.6000000000000227
2001,2,0.5397260273972603,98.5,84.5,-0.07211320128554459,0.06730550897785229,-0.24560439560439554,0.09175824175824168,-0.6299999999999955
2002,4,0.4958904109589041,45.25,30.053078045351693,-0.026875958230491624,0.02500875514778021,-0.22760844868306943,0.08188252936730624,-0.7599999999999909
2003,3,0.6027397260273972,73.33333333333333,75.30530452025866,-0.043104090326706875,0.0468231840696951,-0.20352180741814593,0.10858148345501123,-0.7400000000000091
2004,13,0.6301369863013698,17.692307692307693,21.634675213592487,-0.010483314732341613,0.018656403697704743,-0.20134524651378546,0.15569852966213601,-0.9399999999999977
2005,8,0.5342465753424658,24.375,47.15383733059272,-0.022549941499934112,0.03060917703621152,-0.9058773546273569,1.0291475450997167,-5.329999999999984
2006,5,0.6054794520547945,44.2,68.96201853194265,-0.049435082010699447,0.04083896613758081,-1.153430514237143,0.9780259666894235,-5.060000000000002
2007,5,0.673972602739726,49.2,73.16665907365184,-0.03730928125677715,0.06459844660492542,-0.20090370310002587,0.09660002790865195,-0.9099999999999682
2008,3,0.5452054794520548,66.33333333333333,40.827550610940264,-0.051021854283779006,0.04337240382754966,-0.2720903996370279,0.0859986760736695,-0.8700000000000045
2009,7,0.684931506849315,35.714285714285715,41.33042561639854,-0.028946598200088675,0.044590886952145706,-0.21648756677812472,0.13785319580647956,-0.9700000000000273
2010,7,0.547945205479452,28.571428571428573,38.56296203374848,-0.02552570997822413,0.022296164205442996,-0.925585021039567,1.0604097191649746,-5.409999999999968
2011,5,0.6027397260273972,44.0,73.51190379795642,-0.0330877956960413,0.05207521149939285,-0.47245112781954923,0.39234743953969753,-1.6899999999999977
2012,6,0.6219178082191781,37.833333333333336,59.288606737626154,-0.02733290097767323,0.05022633900352991,-0.2840613026819916,0.14881170318443912,-0.8799999999999955
2013,3,0.7753424657534247,94.33333333333333,100.27406887570132,-0.06883742956005474,0.0870628272445039,-0.22056737588652497,0.10782474551644877,-0.6499999999999773
2014,6,0.5698630136986301,34.666666666666664,36.33486235314814,-0.017840449988129347,0.021150128371563194,-0.1834737484737493,0.04068430531188709,-0.5500000000000114
2015,6,0.6794520547945205,41.333333333333336,68.89766969128121,-0.030527730017578258,0.06471962650772085,-0.10890416189385209,0.12506369807871842,-1.0600000000000023
2016,5,0.5068493150684932,37.0,55.183330816470296,-0.04855979130611508,0.05482462466806401,-0.8869321975365466,0.42436957864812236,-4.189999999999998
2017,8,0.6493150684931507,29.625,39.962286909034624,-0.04680516751245726,0.03843167954661444,-1.4819800950683295,1.6591363701601094,-7.930000000000007
2018,7,0.7123287671232876,37.142857142857146,58.20267193530004,-0.027700583596692172,0.05149520955844134,-0.27591423885026856,0.10266358212233195,-2.099999999999966
2019,7,0.6356164383561644,33.142857142857146,31.890117463514223,-0.02115940109100403,0.02022481115452359,-0.34378597592883137,0.16801211227356305,-1.5600000000000023
2020,3,0.7342465753424657,89.33333333333333,51.53855083548841,-0.05809874551987466,0.04781885050860311,-0.2441260162601623,0.07759666965991185,-0.7599999999999909
2021,2,0.052054794520547946,9.5,0.5,-0.005297703349963405,0.0017765765893999388,-0.2527777777777804,0.09722222222222104,-0.6400000000000432
