Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,15,0.536986301369863,13.066666666666666,6.136955452194698,-0.016905297008575623,0.032550537841339156,-0.5073125413153377,0.865682351838675,-7.990000000000009
1998,11,0.4904109589041096,16.272727272727273,14.50448776376664,-0.01145221142275987,0.012369750544864836,-0.3638422182986799,0.23779845654235662,-4.350000000000023
1999,12,0.5917808219178082,18.0,13.656500283747663,-0.013071295676180676,0.012922326872282472,-0.331499518999519,0.3501325369158259,-3.180000000000007
2000,12,0.5424657534246575,16.5,10.484114968211035,-0.011487933977865164,0.009333089955622332,-0.35006645317488366,0.34914692272879716,-2.6000000000000227
2001,4,0.5123287671232877,46.75,38.40166012036459,-0.03601140651632476,0.03267153219145413,-0.270004095004095,0.080135021507009,-0.6299999999999955
2002,8,0.44931506849315067,20.5,22.787057730211682,-0.013043022208687409,0.02112204389285197,-0.21413901674977626,0.08672122922198314,-0.7599999999999909
2003,9,0.5643835616438356,22.88888888888889,15.905585632757685,-0.014272081683709942,0.013906012692877223,-0.24047884466184538,0.07581939771068327,-0.7400000000000091
2004,12,0.5013698630136987,15.25,13.814997888768085,-0.010822326500445388,0.015747207781758945,-0.27279079477355345,0.18922072643502427,-0.9399999999999977
2005,11,0.5205479452054794,17.272727272727273,23.886439321738063,-0.016322226376902137,0.018963549852136642,-0.6770316804407713,0.9077875510097984,-5.329999999999984
2006,7,0.5808219178082191,30.285714285714285,28.080060468566792,-0.035479614691491176,0.025857305167140077,-0.8623015873015873,0.7985655365089163,-5.060000000000002
2007,9,0.5643835616438356,22.88888888888889,28.21522222900431,-0.019702346063930308,0.03594669609767324,-0.25327285774654196,0.10976986707496553,-0.9099999999999682
2008,7,0.4904109589041096,25.571428571428573,22.6202004718737,-0.021138850792687867,0.02940841140283416,-0.2637999538135162,0.10321949004824663,-0.8700000000000045
2009,10,0.589041095890411,21.5,23.988538930080757,-0.019662221444603112,0.03390478034873444,-0.2816477666477667,0.1442868231749313,-0.9700000000000273
2010,13,0.4849315068493151,13.615384615384615,10.217168518938047,-0.013637689512918102,0.014021615319528578,-0.6126426112851452,0.8427089046497062,-5.409999999999968
2011,7,0.5506849315068493,28.714285714285715,47.52657688287766,-0.022522690490225733,0.0399246854801233,-0.3644099947671376,0.27575314193434,-1.6899999999999977
2012,10,0.5945205479452055,21.7,25.872958856690513,-0.016961204270025117,0.027843811372234805,-0.3110790598290598,0.12666651572781876,-0.8799999999999955
2013,4,0.7013698630136986,64.0,91.23595782365635,-0.04977678253673718,0.07943880889687271,-0.21568627450980393,0.10045432560092905,-0.6499999999999773
2014,11,0.5232876712328767,17.363636363636363,17.70091280272254,-0.009660265373377112,0.012198167034176482,-0.21735537190082646,0.03966833805045842,-0.5500000000000114
2015,10,0.5643835616438356,20.6,23.143897683838823,-0.018715085279669346,0.037043944218953295,-0.23244588744588746,0.14094900257044748,-1.0600000000000023
2016,9,0.4958904109589041,20.11111111111111,25.57100981990888,-0.026794459401458567,0.03927126894181857,-0.567283950617284,0.45284078516722326,-4.189999999999998
2017,8,0.6273972602739726,28.625,37.798602818093684,-0.04739151058498184,0.03694220637756477,-1.5113906926406926,1.5888386343490954,-7.930000000000007
2018,12,0.684931506849315,20.833333333333332,21.71724864914727,-0.015685249575429706,0.027213636298892743,-0.22650603538761435,0.1233699458524504,-2.099999999999966
2019,10,0.5589041095890411,20.4,15.666524822052912,-0.013779754963146993,0.01491366913966344,-0.2904762612115553,0.10636272439097992,-1.5600000000000023
2020,10,0.6438356164383562,23.5,19.011838417154717,-0.016724705314368662,0.02046389866167947,-0.2509810343595173,0.08504212269792566,-0.7599999999999909
2021,3,0.08767123287671233,10.666666666666666,1.247219128924647,-0.005936405512410537,0.0011616074082955428,-0.25227272727272726,0.08709815241593803,-0.6400000000000432
