Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
1/10/01,1/19/01,10,7887,7886,-0.000126791,-0.111111111,-1,1
1/20/01,1/29/01,10,7886,7885,-0.000126807,-0.111111111,-1,1
1/30/01,2/8/01,10,7885,7884,-0.000126823,-0.111111111,-1,1
2/9/01,2/18/01,10,7884,7883,-0.000126839,-0.111111111,-1,11
3/1/01,3/10/01,10,7882,7881,-0.000126871,-0.111111111,-1,7
3/17/01,3/25/01,9,7881,7880,-0.000126887,-0.125,-1,21
4/15/01,4/21/01,7,7881,7880,-0.000126887,-0.166666667,-1,99
7/29/01,8/8/01,11,7945,7943,-0.000251731,-0.2,-2,10
8/18/01,11/5/01,75,7943,7907,-0.004532293,-0.486486486,-36,34
12/9/01,12/18/01,10,7907,7906,-0.00012647,-0.111111111,-1,24
1/11/02,1/20/02,10,7906,7905,-0.000126486,-0.111111111,-1,2
1/22/02,1/31/02,10,7905,7904,-0.000126502,-0.111111111,-1,4
2/4/02,2/14/02,10,7904,7903,-0.000126518,-0.111111111,-1,4
2/18/02,2/27/02,10,7903,7902,-0.000126534,-0.111111111,-1,17
3/16/02,3/25/02,10,7902,7901,-0.00012655,-0.111111111,-1,7
4/1/02,4/14/02,14,7901,7899,-0.000253133,-0.153846154,-2,5
4/19/02,5/2/02,14,7900,7897,-0.000379747,-0.230769231,-3,50
6/21/02,8/11/02,52,7911,7884,-0.003412969,-0.529411765,-27,2
8/13/02,9/2/02,21,7883,7875,-0.001014842,-0.4,-8,54
10/26/02,11/20/02,26,7882,7874,-0.001014971,-0.32,-8,8
11/28/02,12/11/02,14,7874,7872,-0.000254001,-0.153846154,-2,13
12/24/02,1/2/03,10,7872,7871,-0.000127033,-0.111111111,-1,5
1/7/03,1/16/03,10,7871,7870,-0.000127049,-0.111111111,-1,3
1/19/03,1/28/03,10,7870,7869,-0.000127065,-0.111111111,-1,6
2/3/03,2/16/03,14,7869,7867,-0.000254162,-0.153846154,-2,4
2/20/03,3/5/03,14,7867,7865,-0.000254227,-0.153846154,-2,1
3/6/03,3/15/03,10,7865,7864,-0.000127146,-0.111111111,-1,7
3/22/03,3/31/03,10,7865,7864,-0.000127146,-0.111111111,-1,114
7/23/03,7/29/03,7,7950,7949,-0.000125786,-0.166666667,-1,2
7/31/03,8/7/03,8,7950,7946,-0.000503145,-0.571428571,-4,3
8/10/03,8/21/03,12,7947,7944,-0.000377501,-0.272727273,-3,4
8/25/03,9/11/03,18,7943,7938,-0.000629485,-0.294117647,-5,7
9/18/03,11/4/03,48,7939,7904,-0.004408616,-0.744680851,-35,19
11/23/03,12/2/03,10,7904,7903,-0.000126518,-0.111111111,-1,10
12/12/03,12/21/03,10,7903,7902,-0.000126534,-0.111111111,-1,1
12/22/03,12/31/03,10,7902,7901,-0.00012655,-0.111111111,-1,4
1/4/04,1/13/04,10,7901,7900,-0.000126566,-0.111111111,-1,3
1/16/04,1/25/04,10,7900,7899,-0.000126582,-0.111111111,-1,5
1/30/04,2/8/04,10,7899,7898,-0.000126598,-0.111111111,-1,1
2/9/04,2/18/04,10,7898,7897,-0.000126614,-0.111111111,-1,2
2/20/04,2/29/04,10,7897,7896,-0.00012663,-0.111111111,-1,6
3/6/04,3/15/04,10,7896,7895,-0.000126646,-0.111111111,-1,132
7/25/04,9/6/04,44,7936,7923,-0.001638105,-0.302325581,-13,1
9/7/04,9/22/04,16,7923,7917,-0.000757289,-0.4,-6,10
10/2/04,10/15/04,14,7918,7916,-0.000252589,-0.153846154,-2,9
10/24/04,11/6/04,14,7915,7913,-0.000252685,-0.153846154,-2,1
11/7/04,11/17/04,11,7913,7911,-0.000252749,-0.2,-2,3
11/20/04,12/7/04,18,7911,7904,-0.000884844,-0.411764706,-7,8
12/15/04,12/24/04,10,7908,7907,-0.000126454,-0.111111111,-1,3
12/27/04,1/5/05,10,7907,7906,-0.00012647,-0.111111111,-1,5
1/10/05,1/23/05,14,7906,7904,-0.000252972,-0.153846154,-2,3
1/26/05,2/4/05,10,7904,7903,-0.000126518,-0.111111111,-1,4
2/8/05,2/17/05,10,7903,7902,-0.000126534,-0.111111111,-1,29
3/18/05,3/27/05,10,7902,7901,-0.00012655,-0.111111111,-1,3
3/30/05,4/9/05,11,7901,7899,-0.000253133,-0.2,-2,125
8/12/05,10/2/05,52,7950,7928,-0.002767296,-0.431372549,-22,3
10/5/05,10/15/05,10,7927,7926,-0.000126151,-0.111111111,-1,11
10/26/05,11/4/05,10,7926,7924,-0.000252334,-0.222222222,-2,18
11/22/05,12/3/05,12,7923,7921,-0.00025243,-0.181818182,-2,5
12/8/05,12/21/05,14,7920,7917,-0.000378788,-0.230769231,-3,1
12/22/05,1/2/06,12,7917,7915,-0.000252621,-0.181818182,-2,2
1/4/06,1/16/06,13,7915,7913,-0.000252685,-0.166666667,-2,1
1/17/06,1/28/06,12,7913,7911,-0.000252749,-0.181818182,-2,1
1/29/06,2/11/06,14,7911,7909,-0.000252813,-0.153846154,-2,3
2/14/06,4/9/06,55,7908,7894,-0.001770359,-0.259259259,-14,111
7/29/06,8/7/06,10,7950,7949,-0.000125786,-0.111111111,-1,4
8/11/06,9/29/06,50,7949,7929,-0.00251604,-0.408163265,-20,2
10/1/06,10/10/06,10,7929,7928,-0.000126119,-0.111111111,-1,14
10/24/06,11/4/06,12,7928,7926,-0.00025227,-0.181818182,-2,13
11/17/06,11/26/06,10,7926,7925,-0.000126167,-0.111111111,-1,3
11/29/06,12/10/06,12,7925,7923,-0.000252366,-0.181818182,-2,1
12/11/06,12/21/06,11,7923,7921,-0.00025243,-0.2,-2,1
12/22/06,1/1/07,11,7921,7919,-0.000252493,-0.2,-2,5
1/6/07,1/15/07,10,7918,7916,-0.000252589,-0.222222222,-2,4
1/19/07,1/28/07,10,7915,7913,-0.000252685,-0.222222222,-2,5
2/2/07,2/14/07,13,7912,7910,-0.000252781,-0.166666667,-2,5
2/19/07,3/2/07,12,7909,7907,-0.000252876,-0.181818182,-2,4
3/6/07,3/15/07,10,7906,7904,-0.000252972,-0.222222222,-2,1
3/16/07,3/28/07,13,7904,7902,-0.000253036,-0.166666667,-2,1
3/29/07,4/9/07,12,7902,7900,-0.0002531,-0.181818182,-2,3
4/12/07,4/22/07,11,7900,7898,-0.000253165,-0.2,-2,97
7/28/07,8/6/07,10,7950,7949,-0.000125786,-0.111111111,-1,3
8/9/07,10/29/07,82,7949,7916,-0.004151466,-0.407407407,-33,5
11/3/07,11/12/07,10,7916,7915,-0.000126326,-0.111111111,-1,34
12/16/07,12/25/07,10,7915,7914,-0.000126342,-0.111111111,-1,3
12/28/07,1/6/08,10,7914,7913,-0.000126358,-0.111111111,-1,3
1/9/08,1/18/08,10,7913,7912,-0.000126374,-0.111111111,-1,1
1/19/08,1/28/08,10,7912,7911,-0.00012639,-0.111111111,-1,2
1/30/08,2/11/08,13,7911,7909,-0.000252813,-0.166666667,-2,4
2/15/08,4/16/08,62,7908,7889,-0.00240263,-0.31147541,-19,82
7/7/08,7/16/08,10,7950,7949,-0.000125786,-0.111111111,-1,41
8/26/08,11/1/08,68,7949,7904,-0.005661089,-0.671641791,-45,1
11/2/08,11/11/08,10,7904,7903,-0.000126518,-0.111111111,-1,2
11/13/08,11/22/08,10,7903,7902,-0.000126534,-0.111111111,-1,8
11/30/08,12/9/08,10,7902,7901,-0.00012655,-0.111111111,-1,4
12/13/08,12/25/08,13,7901,7899,-0.000253133,-0.166666667,-2,6
12/31/08,1/9/09,10,7899,7898,-0.000126598,-0.111111111,-1,1
1/10/09,1/23/09,14,7898,7896,-0.000253229,-0.153846154,-2,6
1/29/09,2/7/09,10,7896,7895,-0.000126646,-0.111111111,-1,1
2/8/09,2/21/09,14,7895,7893,-0.000253325,-0.153846154,-2,5
2/26/09,3/7/09,10,7893,7892,-0.000126695,-0.111111111,-1,116
7/1/09,7/10/09,10,7950,7949,-0.000125786,-0.111111111,-1,24
8/3/09,8/12/09,10,7950,7949,-0.000125786,-0.111111111,-1,1
8/13/09,11/1/09,81,7949,7908,-0.005157881,-0.5125,-41,21
11/22/09,12/1/09,10,7909,7908,-0.000126438,-0.111111111,-1,43
1/13/10,1/22/10,10,7908,7907,-0.000126454,-0.111111111,-1,15
2/6/10,2/15/10,10,7907,7906,-0.00012647,-0.111111111,-1,28
3/15/10,3/24/10,10,7906,7905,-0.000126486,-0.111111111,-1,91
6/23/10,7/2/10,10,7950,7949,-0.000125786,-0.111111111,-1,10
7/12/10,7/17/10,6,7950,7949,-0.000125786,-0.2,-1,6
7/23/10,8/1/10,10,7950,7949,-0.000125786,-0.111111111,-1,4
8/5/10,8/14/10,10,7950,7949,-0.000125786,-0.111111111,-1,3
8/17/10,10/30/10,75,7949,7907,-0.005283683,-0.567567568,-42,26
11/25/10,12/4/10,10,7907,7906,-0.00012647,-0.111111111,-1,38
1/11/11,1/20/11,10,7906,7905,-0.000126486,-0.111111111,-1,15
2/4/11,2/17/11,14,7905,7903,-0.000253004,-0.153846154,-2,4
2/21/11,3/6/11,14,7903,7901,-0.000253068,-0.153846154,-2,1
3/7/11,3/17/11,11,7901,7899,-0.000253133,-0.2,-2,6
3/23/11,4/2/11,11,7898,7896,-0.000253229,-0.2,-2,3
4/5/11,5/15/11,41,7896,7881,-0.001899696,-0.375,-15,67
7/21/11,7/30/11,10,7950,7949,-0.000125786,-0.111111111,-1,12
8/11/11,8/20/11,10,7949,7948,-0.000125802,-0.111111111,-1,14
9/3/11,9/16/11,14,7948,7946,-0.000251636,-0.153846154,-2,5
9/21/11,11/5/11,46,7946,7923,-0.002894538,-0.511111111,-23,5
11/10/11,11/19/11,10,7923,7922,-0.000126215,-0.111111111,-1,5
11/24/11,12/3/11,10,7922,7921,-0.000126231,-0.111111111,-1,17
12/20/11,1/2/12,14,7921,7917,-0.000504987,-0.307692308,-4,4
1/6/12,1/16/12,11,7916,7914,-0.000252653,-0.2,-2,5
1/21/12,1/30/12,10,7914,7913,-0.000126358,-0.111111111,-1,8
2/7/12,2/16/12,10,7912,7911,-0.00012639,-0.111111111,-1,8
2/24/12,3/8/12,14,7910,7908,-0.000252845,-0.153846154,-2,4
3/12/12,3/21/12,10,7908,7907,-0.000126454,-0.111111111,-1,94
6/23/12,7/8/12,16,7928,7924,-0.000504541,-0.266666667,-4,1
7/9/12,7/27/12,19,7924,7919,-0.000630994,-0.277777778,-5,2
7/29/12,8/16/12,19,7919,7915,-0.000505114,-0.222222222,-4,3
8/19/12,9/9/12,22,7914,7907,-0.000884508,-0.333333333,-7,10
9/19/12,9/29/12,11,7907,7905,-0.00025294,-0.2,-2,1
9/30/12,10/19/12,20,7905,7900,-0.000632511,-0.263157895,-5,3
10/22/12,10/31/12,10,7900,7899,-0.000126582,-0.111111111,-1,6
11/6/12,11/15/12,10,7899,7898,-0.000126598,-0.111111111,-1,9
11/24/12,12/3/12,10,7898,7897,-0.000126614,-0.111111111,-1,15
12/18/12,12/30/12,13,7897,7895,-0.000253261,-0.166666667,-2,6
1/5/13,1/14/13,10,7895,7894,-0.000126662,-0.111111111,-1,3
1/17/13,1/26/13,10,7894,7893,-0.000126678,-0.111111111,-1,3
1/29/13,2/7/13,10,7893,7892,-0.000126695,-0.111111111,-1,15
2/22/13,3/3/13,10,7892,7891,-0.000126711,-0.111111111,-1,8
3/11/13,3/20/13,10,7891,7890,-0.000126727,-0.111111111,-1,128
7/26/13,9/14/13,51,7944,7922,-0.002769386,-0.44,-22,41
10/25/13,11/5/13,12,7926,7922,-0.000504668,-0.363636364,-4,6
11/11/13,11/23/13,13,7921,7919,-0.000252493,-0.166666667,-2,3
11/26/13,12/8/13,13,7919,7917,-0.000252557,-0.166666667,-2,4
12/12/13,12/21/13,10,7917,7916,-0.00012631,-0.111111111,-1,11
1/1/14,1/11/14,11,7915,7913,-0.000252685,-0.2,-2,1
1/12/14,1/23/14,12,7913,7911,-0.000252749,-0.181818182,-2,4
1/27/14,3/26/14,59,7910,7891,-0.002402023,-0.327586207,-19,12
4/7/14,4/16/14,10,7891,7890,-0.000126727,-0.111111111,-1,120
8/14/14,8/30/14,17,7949,7945,-0.000503208,-0.25,-4,3
9/2/14,11/5/14,65,7944,7913,-0.003902316,-0.484375,-31,1
11/6/14,11/15/14,10,7913,7912,-0.000126374,-0.111111111,-1,4
11/19/14,11/28/14,10,7912,7911,-0.00012639,-0.111111111,-1,3
12/1/14,12/14/14,14,7911,7909,-0.000252813,-0.153846154,-2,5
12/19/14,12/31/14,13,7909,7907,-0.000252876,-0.166666667,-2,1
1/1/15,1/12/15,12,7907,7905,-0.00025294,-0.181818182,-2,3
1/15/15,1/24/15,10,7905,7904,-0.000126502,-0.111111111,-1,20
2/13/15,2/24/15,12,7903,7901,-0.000253068,-0.181818182,-2,1
2/25/15,3/8/15,12,7901,7899,-0.000253133,-0.181818182,-2,1
3/9/15,3/18/15,10,7899,7898,-0.000126598,-0.111111111,-1,21
4/8/15,4/14/15,7,7899,7898,-0.000126598,-0.166666667,-1,126
8/18/15,11/4/15,79,7949,7905,-0.005535287,-0.564102564,-44,2
11/6/15,11/15/15,10,7905,7904,-0.000126502,-0.111111111,-1,1
11/16/15,11/25/15,10,7904,7903,-0.000126518,-0.111111111,-1,1
11/26/15,12/5/15,10,7903,7902,-0.000126534,-0.111111111,-1,10
12/15/15,12/27/15,13,7902,7900,-0.0002531,-0.166666667,-2,5
1/1/16,1/10/16,10,7900,7899,-0.000126582,-0.111111111,-1,10
1/20/16,1/29/16,10,7899,7898,-0.000126598,-0.111111111,-1,3
2/1/16,2/10/16,10,7898,7897,-0.000126614,-0.111111111,-1,4
2/14/16,2/23/16,10,7897,7896,-0.00012663,-0.111111111,-1,12
3/6/16,3/19/16,14,7896,7894,-0.000253293,-0.153846154,-2,2
3/21/16,4/2/16,13,7894,7892,-0.000253357,-0.166666667,-2,2
4/4/16,4/13/16,10,7892,7891,-0.000126711,-0.111111111,-1,109
7/31/16,8/9/16,10,7950,7949,-0.000125786,-0.111111111,-1,3
8/12/16,11/5/16,86,7949,7906,-0.005409485,-0.505882353,-43,2
11/7/16,11/16/16,10,7906,7905,-0.000126486,-0.111111111,-1,8
11/24/16,12/3/16,10,7905,7904,-0.000126502,-0.111111111,-1,5
12/8/16,12/17/16,10,7904,7903,-0.000126518,-0.111111111,-1,3
12/20/16,12/29/16,10,7903,7902,-0.000126534,-0.111111111,-1,8
1/6/17,1/17/17,12,7901,7899,-0.000253133,-0.181818182,-2,8
1/25/17,2/3/17,10,7898,7897,-0.000126614,-0.111111111,-1,14
2/17/17,2/26/17,10,7897,7896,-0.00012663,-0.111111111,-1,3
3/1/17,3/10/17,10,7896,7895,-0.000126646,-0.111111111,-1,1
3/11/17,3/20/17,10,7895,7894,-0.000126662,-0.111111111,-1,115
7/13/17,7/20/17,8,7950,7949,-0.000125786,-0.142857143,-1,2
7/22/17,7/29/17,8,7950,7949,-0.000125786,-0.142857143,-1,2
7/31/17,8/8/17,9,7950,7949,-0.000125786,-0.125,-1,2
8/10/17,11/5/17,88,7950,7907,-0.005408805,-0.494252874,-43,3
11/8/17,11/17/17,10,7907,7905,-0.00025294,-0.222222222,-2,5
11/22/17,12/1/17,10,7905,7904,-0.000126502,-0.111111111,-1,2
12/3/17,12/12/17,10,7904,7903,-0.000126518,-0.111111111,-1,16
12/28/17,1/6/18,10,7903,7902,-0.000126534,-0.111111111,-1,3
1/9/18,1/18/18,10,7902,7901,-0.00012655,-0.111111111,-1,1
1/19/18,1/28/18,10,7901,7900,-0.000126566,-0.111111111,-1,8
2/5/18,2/14/18,10,7900,7899,-0.000126582,-0.111111111,-1,6
2/20/18,3/1/18,10,7899,7898,-0.000126598,-0.111111111,-1,12
3/13/18,3/22/18,10,7898,7897,-0.000126614,-0.111111111,-1,4
3/26/18,4/6/18,12,7897,7895,-0.000253261,-0.181818182,-2,1
4/7/18,4/23/18,17,7895,7891,-0.00050665,-0.25,-4,73
7/5/18,7/14/18,10,7948,7947,-0.000125818,-0.111111111,-1,3
7/17/18,10/1/18,77,7947,7900,-0.005914181,-0.618421053,-47,1
10/2/18,10/12/18,11,7900,7898,-0.000253165,-0.2,-2,4
10/16/18,10/25/18,10,7897,7896,-0.00012663,-0.111111111,-1,2
10/27/18,11/8/18,13,7896,7894,-0.000253293,-0.166666667,-2,6
11/14/18,11/23/18,10,7893,7892,-0.000126695,-0.111111111,-1,6
11/29/18,12/12/18,14,7892,7890,-0.000253421,-0.153846154,-2,5
12/17/18,12/26/18,10,7890,7889,-0.000126743,-0.111111111,-1,5
12/31/18,1/9/19,10,7889,7888,-0.000126759,-0.111111111,-1,3
1/12/19,1/21/19,10,7888,7887,-0.000126775,-0.111111111,-1,3
1/24/19,2/2/19,10,7887,7886,-0.000126791,-0.111111111,-1,9
2/11/19,2/20/19,10,7885,7884,-0.000126823,-0.111111111,-1,6
2/26/19,3/7/19,10,7884,7883,-0.000126839,-0.111111111,-1,4
3/11/19,3/22/19,12,7883,7881,-0.000253711,-0.181818182,-2,2
3/24/19,4/2/19,10,7881,7880,-0.000126887,-0.111111111,-1,111
7/22/19,7/27/19,6,7950,7949,-0.000125786,-0.2,-1,18
8/14/19,8/23/19,10,7950,7949,-0.000125786,-0.111111111,-1,6
8/29/19,11/9/19,73,7949,7908,-0.005157881,-0.569444444,-41,2
11/11/19,11/22/19,12,7908,7906,-0.000252908,-0.181818182,-2,3
11/25/19,12/4/19,10,7906,7905,-0.000126486,-0.111111111,-1,5
12/9/19,12/18/19,10,7905,7904,-0.000126502,-0.111111111,-1,4
12/22/19,12/31/19,10,7904,7903,-0.000126518,-0.111111111,-1,4
1/4/20,1/13/20,10,7903,7902,-0.000126534,-0.111111111,-1,5
