Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2001,7,0.7068493150684931,36.857142857142854,32.12666258701006,-0.000951075418596261,0.001547230777849477,-0.15682388173286374,0.12884056839919084,-2.2600000000002183
2002,8,0.7424657534246575,33.875,28.339184444863616,-0.000955759075222211,0.0013937309677161105,-0.1848215571701294,0.1446859013296771,-0.9299999999993815
2003,8,0.4465753424657534,20.375,15.8187981528307,-0.0008631505957861336,0.0013936102502454058,-0.26769814175669576,0.23511914108722104,-2.300000000000182
2004,7,0.7013698630136986,36.57142857142857,22.4617588858241,-0.0007791039222639006,0.0007393436365182583,-0.16814307324398353,0.08258105475559888,-4.059999999999491
2005,7,0.7890410958904109,41.142857142857146,46.264545423740046,-0.0010840847012673696,0.0014545764526765637,-0.13949874836366158,0.11086264644110766,-0.6500000000005457
2006,3,0.7150684931506849,87.0,57.758116312774604,-0.0021841930884552996,0.0013765788531721306,-0.19298826472427386,0.09200419080054426,-0.7300000000004729
2007,4,0.6821917808219178,62.25,49.037613114832574,-0.001928398276317815,0.0018406766921383023,-0.1830316742081462,0.13301742928627208,-0.6499999999996362
2008,4,0.5972602739726027,54.5,46.542990879400946,-0.0018510980944931826,0.0024496435379180994,-0.18818060557555133,0.1730531550208109,-0.9499999999998181
2009,6,0.3863013698630137,23.5,30.69066090306083,-0.0009310158631538882,0.0019465358606721764,-0.12483553483552327,0.15233278412259016,-0.6700000000000728
2010,12,0.5808219178082191,17.666666666666668,22.088207009372415,-0.000503386129941122,0.0014793769908597624,-0.08242843195092278,0.1225049843400156,-0.8000000000001819
2011,7,0.9698630136986301,50.57142857142857,44.45497607646622,-0.0012255036810979987,0.001380463241155007,-0.13395261696234112,0.09191082175456697,-2.0600000000004
2012,5,0.6301369863013698,46.0,27.611591768675705,-0.0009295376997249508,0.000991648899758369,-0.11748473748473084,0.08087946188870694,-0.4400000000005093
2013,3,0.6493150684931507,79.0,56.32642955723953,-0.002470911724050677,0.0017477697733278748,-0.23433349459765052,0.14984684937293394,-0.6700000000000728
2014,3,0.5452054794520548,66.33333333333333,81.81415253827149,-0.002013224694971796,0.00270447239862589,-0.14545119705338208,0.08841005132891144,-1.5399999999999636
2015,6,0.5808219178082191,35.333333333333336,39.25840320520209,-0.0011793751249864796,0.00215424772581558,-0.12090353286006779,0.13360928342950454,-0.8600000000005821
2016,7,0.7589041095890411,39.57142857142857,33.47859505013035,-0.001087165405492715,0.0018729747999806643,-0.12718759126090393,0.1272686184049105,-0.75
2017,6,0.5726027397260274,34.833333333333336,42.74894410651826,-0.0010823618439465557,0.002152789525828053,-0.10305555555559813,0.12219447350430902,-0.7200000000002547
2018,6,0.8958904109589041,54.5,77.83261955418607,-0.001540579028615606,0.002879567083005208,-0.1168021130390865,0.08166120713727588,-1.019999999999527
2019,4,0.6054794520547945,55.25,60.54492133944845,-0.0016870518550430068,0.002525533815758906,-0.12005824372765421,0.11409876728301746,-0.7899999999999636
2020,16,1.021917808219178,23.3125,42.33455850425276,-0.000417091854669069,0.0013295195165912942,-0.057048174877135975,0.05096500586928742,-0.6899999999995998
