Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
5/14/02,5/16/02,3,7898.4,7898.2,-0.1999999999998181
4/8/03,4/9/03,2,7864.2,7864.0,-0.1999999999998181
7/8/03,7/10/03,2,7944.2,7943.2,-1.0
7/14/04,7/15/04,2,7934.6,7934.4,-0.2000000000007276
7/22/04,7/23/04,2,7935.6,7935.4,-0.2000000000007276
8/6/05,8/9/05,4,7949.6,7949.4,-0.2000000000007276
6/30/06,7/1/06,2,7949.6,7949.4,-0.2000000000007276
7/13/06,7/14/06,2,7949.6,7949.4,-0.2000000000007276
7/22/06,7/23/06,2,7949.6,7949.4,-0.2000000000007276
7/24/06,7/26/06,3,7949.6,7949.4,-0.2000000000007276
6/26/07,6/28/07,3,7949.6,7949.4,-0.2000000000007276
6/30/07,7/3/07,4,7949.6,7949.4,-0.2000000000007276
7/8/07,7/11/07,4,7949.6,7949.4,-0.2000000000007276
7/23/07,7/24/07,2,7949.6,7949.4,-0.2000000000007276
7/24/08,7/27/08,4,7949.0,7948.6,-0.3999999999996362
11/28/08,11/29/08,2,7901.6,7901.4,-0.2000000000007276
4/24/09,4/25/09,2,7898.8,7898.6,-0.1999999999998181
6/27/09,6/30/09,4,7949.6,7949.2,-0.4000000000005457
7/20/09,7/22/09,3,7949.2,7949.0,-0.1999999999998181
6/14/10,6/16/10,3,7949.2,7948.8,-0.3999999999996362
7/15/11,7/18/11,4,7949.8,7949.2,-0.6000000000003638
7/16/13,7/18/13,3,7944.0,7943.8,-0.1999999999998181
10/7/13,10/8/13,2,7925.8,7925.6,-0.1999999999998181
7/19/14,7/21/14,3,7949.2,7949.0,-0.1999999999998181
7/26/14,7/29/14,4,7949.4,7949.0,-0.3999999999996362
3/25/15,3/26/15,2,7897.6,7897.4,-0.2000000000007276
7/17/15,7/19/15,3,7949.4,7949.2,-0.1999999999998181
7/18/16,7/19/16,2,7949.8,7949.6,-0.1999999999998181
2/8/17,2/9/17,2,7897.0,7896.8,-0.1999999999998181
4/15/19,4/18/19,4,7879.2,7878.6,-0.5999999999994543
8/3/19,8/4/19,2,7949.6,7949.4,-0.2000000000007276
