Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2004,2,0.34794520547945207,63.5,45.5,-0.0018216898499010931,0.0008694125909646092,-0.2873045822102307,0.13126684636117444,-16.539999999999964
2005,1,0.26575342465753427,97.0,0.0,-0.0017487962830778402,0.0,-0.11468085106382708,0.0,-10.779999999999745
2006,1,0.7178082191780822,262.0,0.0,-0.004151880996710991,0.0,-0.09961089494163566,0.0,-25.600000000000364
2007,2,0.4,73.0,51.0,-0.0021097043058070294,0.001985856618907131,-0.12605042016805196,0.08605042016808832,-25.24000000000069
2008,2,0.6931506849315069,126.5,116.5,-0.0025608759546913414,0.0025070915713945006,-0.09810416666665939,0.03210416666667395,-31.25
2009,1,0.726027397260274,265.0,0.0,-0.005230032223485358,0.0,-0.1235632183908046,0.0,-32.25
2010,1,0.3287671232876712,120.0,0.0,-0.004122052983461531,0.0,-0.2210434782608702,0.0,-25.420000000000073
2011,2,0.5863013698630137,107.0,71.0,-0.001792470527280721,0.0007245665049508997,-0.14643465909091058,0.0582528409090951,-15.519999999999527
2012,1,0.4246575342465753,155.0,0.0,-0.006574121557146695,0.0,-0.2682781456953657,0.0,-40.51000000000022
2013,1,0.6465753424657534,236.0,0.0,-0.004657746929083585,0.0,-0.1231034482758638,0.0,-28.5600000000004
2014,1,0.25205479452054796,92.0,0.0,-0.0039025849747226318,0.0,-0.27586206896551724,0.0,-24.0
2015,1,0.684931506849315,250.0,0.0,-0.006535735188918485,0.0,-0.16275303643724623,0.0,-40.19999999999982
2016,1,0.4794520547945205,175.0,0.0,-0.006619753070383454,0.0,-0.23703488372093276,0.0,-40.77000000000044
2017,1,0.26301369863013696,96.0,0.0,-0.0029560851897374655,0.0,-0.20032967032966553,0.0,-18.229999999999563
2018,1,0.6136986301369863,224.0,0.0,-0.007304289161628475,0.0,-0.2038009049773754,0.0,-45.039999999999964
2019,1,0.4054794520547945,148.0,0.0,-0.0024782222971887658,0.0,-0.10611111111110934,0.0,-15.279999999999745
