Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2004,12,0.37534246575342467,11.416666666666666,1.7057907908715602,-0.0003119689894121503,0.0002144055957370306,-0.17230639730639732,0.07767764153109201,-0.7899999999999636
2005,6,0.2,12.166666666666666,1.6749792701868151,-0.0002705453084839908,7.642122059256448e-05,-0.1463998963998964,0.026666730687147235,-0.22000000000025466
2006,15,0.4465753424657534,10.866666666666667,1.2578641509408803,-0.0002274100831950172,7.937388967668321e-05,-0.13894327894327896,0.03567885365202087,-0.27999999999974534
2007,13,0.4876712328767123,13.692307692307692,10.527506939768022,-0.0004000129895810802,0.0006390324926162287,-0.14967096395667825,0.06080421684297217,-0.48000000000047294
2008,9,0.4273972602739726,17.333333333333332,19.367785395111934,-0.0005412067433302069,0.0010138503115847395,-0.13637761994569508,0.057909256095754064,-0.3999999999996362
2009,12,0.4849315068493151,14.75,14.277750756567599,-0.00043311960978605996,0.0008007457105451675,-0.13833002152674287,0.0572577016610238,-0.4400000000005093
2010,9,0.4246575342465753,17.22222222222222,18.6891399111164,-0.0005232424540407923,0.000906704102490598,-0.14339042599912166,0.05342365405666515,-0.3400000000001455
2011,14,0.5068493150684932,13.214285714285714,5.002550369969464,-0.0003368928914128996,0.00026370855179540264,-0.1523953404205505,0.04872194607455506,-0.3500000000003638
2012,11,0.5013698630136987,16.636363636363637,17.036179294626997,-0.000650208687338364,0.0012908568840191957,-0.16198605445292263,0.09076841960352137,-0.5299999999997453
2013,12,0.4986301369863014,15.166666666666666,12.615026313444174,-0.00040832629168521665,0.0005939239388958094,-0.1369431025228127,0.04858177956095858,-0.2899999999999636
2014,7,0.36712328767123287,19.142857142857142,12.955181770005296,-0.0006515026072552956,0.0007117124575970915,-0.1693808557905921,0.07488289488109562,-0.3400000000001455
2015,11,0.4575342465753425,15.181818181818182,12.379001147971818,-0.000547915146278646,0.0009128973778257245,-0.17267281984263116,0.08102904089178674,-0.5
2016,9,0.4849315068493151,19.666666666666668,26.641654936917448,-0.000794972424893496,0.001674675846794686,-0.15691190868495833,0.08821452623181283,-0.6399999999994179
2017,10,0.3287671232876712,12.0,3.687817782917155,-0.00032491623484024563,0.0001775933701270562,-0.17393345216874628,0.04482214415866268,-0.32000000000061846
2018,6,0.473972602739726,28.833333333333332,41.224655513687715,-0.001217160566941401,0.0022846183479926637,-0.15854377104377107,0.07879171198839591,-0.4600000000000364
2019,9,0.3287671232876712,13.333333333333334,7.071067811865475,-0.00032487614501553624,0.0002958347411946421,-0.14555221013554348,0.04168324333800712,-0.2899999999999636
2020,8,0.4328767123287671,19.75,20.980645843252777,-0.0006496995445454489,0.000931181586520585,-0.17212817212817214,0.06195676935849061,-0.32999999999992724
