Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
3/29/97,4/4/97,7,1731.0,1730.8,-0.00011554015020222153,-0.03333333333334091
5/10/97,5/16/97,7,1731.2,1731.0,-0.00011552680221814087,-0.03333333333334091
6/7/97,6/16/97,10,1731.4,1731.2,-0.00011551345731780377,-0.022222222222227275
6/20/97,6/26/97,7,1731.2,1730.8,-0.00023105360443628173,-0.06666666666668182
6/30/97,8/30/97,62,1731.0,1727.0,-0.002310803004043905,-0.06557377049180328
9/4/97,9/13/97,10,1727.2,1727.0,-0.00011579434923578363,-0.022222222222227275
9/30/97,10/9/97,10,1727.2,1727.0,-0.00011579434923578363,-0.022222222222227275
5/27/98,6/5/98,10,1731.2,1731.0,-0.00011552680221814087,-0.022222222222227275
6/14/98,7/9/98,26,1731.2,1729.8,-0.0008086876155268547,-0.05600000000000364
7/13/98,7/26/98,14,1729.8,1729.0,-0.0004624812117007484,-0.06153846153845804
8/4/98,8/31/98,28,1728.8,1727.4,-0.0008098102730216703,-0.0518518518518468
9/7/98,9/16/98,10,1727.4,1727.2,-0.00011578094245689792,-0.022222222222227275
9/21/98,9/30/98,10,1727.2,1727.0,-0.00011579434923578363,-0.022222222222227275
7/4/99,7/19/99,16,1730.6,1729.8,-0.0004622674217034292,-0.053333333333330304
7/22/99,8/1/99,11,1729.6,1728.8,-0.00046253469010173136,-0.07999999999999545
8/12/99,8/30/99,19,1729.2,1728.2,-0.0005783021050196623,-0.05555555555555555
9/9/99,9/18/99,10,1728.2,1728.0,-0.000115727346371974,-0.022222222222227275
5/21/00,5/25/00,5,1730.6,1730.4,-0.00011556685542575876,-0.049999999999954525
5/29/00,6/7/00,10,1730.6,1730.4,-0.00011556685542575876,-0.02222222222220201
6/8/00,8/29/00,83,1730.4,1724.6,-0.003351826167360253,-0.07073170731707538
9/3/00,9/12/00,10,1724.6,1724.4,-0.00011596892032924627,-0.02222222222220201
9/25/00,10/4/00,10,1724.2,1724.0,-0.00011599582415035696,-0.022222222222227275
10/15/00,10/22/00,8,1724.0,1723.8,-0.00011600928074248577,-0.02857142857143507
6/18/01,7/6/01,19,1727.2,1726.0,-0.0006947660954145701,-0.06666666666666919
7/7/01,8/1/01,26,1726.2,1724.4,-0.0010427528675703594,-0.07199999999999818
8/3/01,8/25/01,23,1724.2,1722.4,-0.001043962417352949,-0.08181818181817975
8/27/01,9/5/01,10,1722.4,1722.0,-0.00023223409196475322,-0.04444444444445455
9/11/01,9/17/01,7,1722.0,1721.8,-0.00011614401858306939,-0.03333333333334091
9/27/01,10/6/01,10,1722.0,1721.8,-0.00011614401858306939,-0.022222222222227275
10/25/01,11/3/01,10,1721.8,1721.6,-0.00011615750958302095,-0.022222222222227275
12/6/01,12/15/01,10,1721.8,1721.6,-0.00011615750958302095,-0.022222222222227275
4/24/02,4/29/02,6,1722.8,1722.6,-0.00011609008590668997,-0.0400000000000091
5/16/02,5/25/02,10,1722.8,1722.6,-0.00011609008590668997,-0.022222222222227275
6/1/02,6/10/02,10,1722.8,1722.6,-0.00011609008590668997,-0.022222222222227275
6/19/02,8/26/02,69,1722.6,1716.0,-0.00383141762452102,-0.09705882352941042
8/27/02,9/5/02,10,1716.0,1715.8,-0.00011655011655014305,-0.022222222222227275
9/20/02,9/29/02,10,1715.6,1715.4,-0.0001165772907436571,-0.02222222222220201
10/4/02,10/13/02,10,1715.6,1715.4,-0.0001165772907436571,-0.02222222222220201
10/18/02,10/23/02,6,1715.4,1715.2,-0.00011659088259300773,-0.0400000000000091
12/2/02,12/11/02,10,1715.4,1715.2,-0.00011659088259300773,-0.022222222222227275
2/22/03,2/27/03,6,1715.4,1715.2,-0.00011659088259300773,-0.0400000000000091
6/14/03,6/23/03,10,1716.0,1715.8,-0.00011655011655014305,-0.022222222222227275
6/30/03,8/22/03,54,1715.8,1709.2,-0.0038466021680848054,-0.12452830188679073
9/6/03,9/10/03,5,1709.2,1709.0,-0.00011701380762932686,-0.05000000000001137
9/22/03,10/1/03,10,1709.2,1709.0,-0.00011701380762932686,-0.022222222222227275
10/10/03,10/19/03,10,1709.0,1708.8,-0.00011702750146287038,-0.022222222222227275
10/28/03,11/6/03,10,1708.8,1708.6,-0.00011704119850189928,-0.022222222222227275
12/8/03,12/17/03,10,1708.6,1708.4,-0.00011705489874740612,-0.02222222222220201
2/11/04,2/15/04,5,1708.6,1708.4,-0.00011705489874740612,-0.049999999999954525
4/17/04,4/23/04,7,1708.8,1708.6,-0.00011704119850189928,-0.03333333333334091
5/4/04,5/13/04,10,1708.8,1708.6,-0.00011704119850189928,-0.022222222222227275
5/25/04,6/7/04,14,1708.6,1708.2,-0.00023410979749494533,-0.030769230769220276
6/22/04,7/1/04,10,1708.2,1708.0,-0.0001170823088631574,-0.022222222222227275
7/17/04,8/24/04,39,1708.2,1702.6,-0.003278304648167742,-0.14736842105263517
9/1/04,9/10/04,10,1702.6,1702.4,-0.00011746740279561735,-0.02222222222220201
9/13/04,9/22/04,10,1702.4,1702.2,-0.0001174812030075455,-0.022222222222227275
9/23/04,10/2/04,10,1702.4,1702.2,-0.0001174812030075455,-0.022222222222227275
11/9/04,11/18/04,10,1702.2,1702.0,-0.00011749500646225207,-0.022222222222227275
11/19/04,11/28/04,10,1702.2,1702.0,-0.00011749500646225207,-0.022222222222227275
11/30/04,12/6/04,7,1702.2,1702.0,-0.00011749500646225207,-0.03333333333334091
