Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
7/7/97,7/16/97,10,1731,1730,-0.000577701,-0.111111111,-1,5
7/21/97,7/30/97,10,1730,1729,-0.000578035,-0.111111111,-1,5
8/4/97,8/13/97,10,1729,1728,-0.000578369,-0.111111111,-1,9
8/22/97,8/31/97,10,1728,1727,-0.000578704,-0.111111111,-1,299
6/26/98,7/5/98,10,1731,1730,-0.000577701,-0.111111111,-1,12
7/17/98,7/26/98,10,1730,1729,-0.000578035,-0.111111111,-1,16
8/11/98,8/20/98,10,1729,1728,-0.000578369,-0.111111111,-1,6
8/26/98,9/4/98,10,1728,1727,-0.000578704,-0.111111111,-1,303
7/4/99,7/13/99,10,1731,1730,-0.000577701,-0.111111111,-1,9
7/22/99,7/31/99,10,1730,1729,-0.000578035,-0.111111111,-1,21
8/21/99,8/30/99,10,1729,1728,-0.000578369,-0.111111111,-1,265
5/21/00,5/25/00,5,1731,1730,-0.000577701,-0.25,-1,4
5/29/00,6/7/00,10,1731,1730,-0.000577701,-0.111111111,-1,13
6/20/00,6/29/00,10,1730,1729,-0.000578035,-0.111111111,-1,7
7/6/00,7/15/00,10,1729,1728,-0.000578369,-0.111111111,-1,2
7/17/00,7/26/00,10,1728,1727,-0.000578704,-0.111111111,-1,6
8/1/00,8/10/00,10,1727,1726,-0.000579039,-0.111111111,-1,3
8/13/00,8/22/00,10,1726,1725,-0.000579374,-0.111111111,-1,12
9/3/00,9/12/00,10,1725,1724,-0.00057971,-0.111111111,-1,291
6/30/01,7/9/01,10,1727,1726,-0.000579039,-0.111111111,-1,4
7/13/01,7/22/01,10,1726,1725,-0.000579374,-0.111111111,-1,5
7/27/01,8/5/01,10,1725,1724,-0.00057971,-0.111111111,-1,4
8/9/01,8/18/01,10,1724,1723,-0.000580046,-0.111111111,-1,2
8/20/01,8/29/01,10,1723,1722,-0.000580383,-0.111111111,-1,294
6/19/02,6/28/02,10,1723,1722,-0.000580383,-0.111111111,-1,5
7/3/02,7/16/02,14,1722,1720,-0.00116144,-0.153846154,-2,4
7/20/02,7/29/02,10,1720,1719,-0.000581395,-0.111111111,-1,9
8/7/02,8/16/02,10,1718,1717,-0.000582072,-0.111111111,-1,1
8/17/02,8/26/02,10,1717,1716,-0.000582411,-0.111111111,-1,25
9/20/02,9/29/02,10,1716,1715,-0.000582751,-0.111111111,-1,5
10/4/02,10/13/02,10,1716,1715,-0.000582751,-0.111111111,-1,262
7/2/03,7/15/03,14,1716,1714,-0.001165501,-0.153846154,-2,3
7/18/03,7/30/03,13,1714,1712,-0.001166861,-0.166666667,-2,3
8/2/03,8/13/03,12,1712,1710,-0.001168224,-0.181818182,-2,3
8/16/03,8/25/03,10,1710,1709,-0.000584795,-0.111111111,-1,105
12/8/03,12/17/03,10,1709,1708,-0.000585138,-0.111111111,-1,56
2/11/04,2/15/04,5,1709,1708,-0.000585138,-0.25,-1,100
5/25/04,6/3/04,10,1709,1708,-0.000585138,-0.111111111,-1,51
7/24/04,8/5/04,13,1708,1706,-0.00117096,-0.166666667,-2,5
8/10/04,8/20/04,11,1705,1703,-0.001173021,-0.2,-2,12
9/1/04,9/10/04,10,1703,1702,-0.000587199,-0.111111111,-1,288
6/25/05,7/4/05,10,1706,1705,-0.000586166,-0.111111111,-1,12
7/16/05,7/25/05,10,1705,1704,-0.00058651,-0.111111111,-1,369
7/29/06,8/7/06,10,1706,1705,-0.000586166,-0.111111111,-1,40
9/16/06,9/25/06,10,1706,1705,-0.000586166,-0.111111111,-1,288
7/10/07,7/23/07,14,1712,1710,-0.001168224,-0.153846154,-2,2
7/25/07,7/29/07,5,1710,1709,-0.000584795,-0.25,-1,7
8/5/07,8/18/07,13,1710,1708,-0.001169591,-0.166666667,-2,338
7/21/08,7/30/08,10,1721,1720,-0.000581058,-0.111111111,-1,7
8/6/08,8/13/08,8,1720,1719,-0.000581395,-0.142857143,-1,313
