Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
6/15/06,6/21/06,7,2989,2988,-0.00033456,-0.166666667,-1,20
7/11/06,7/20/06,10,2989,2988,-0.00033456,-0.111111111,-1,6
7/26/06,8/4/06,10,2988,2987,-0.000334672,-0.111111111,-1,6
8/10/06,8/19/06,10,2987,2986,-0.000334784,-0.111111111,-1,7
8/26/06,9/4/06,10,2986,2985,-0.000334896,-0.111111111,-1,5
9/9/06,9/18/06,10,2985,2984,-0.000335008,-0.111111111,-1,11
9/29/06,10/8/06,10,2984,2983,-0.000335121,-0.111111111,-1,11
10/19/06,10/28/06,10,2983,2982,-0.000335233,-0.111111111,-1,65
1/1/07,1/10/07,10,2982,2981,-0.000335345,-0.111111111,-1,8
1/18/07,1/27/07,10,2981,2980,-0.000335458,-0.111111111,-1,1
1/28/07,2/6/07,10,2980,2979,-0.00033557,-0.111111111,-1,2
2/8/07,2/17/07,10,2979,2978,-0.000335683,-0.111111111,-1,2
2/19/07,2/28/07,10,2978,2977,-0.000335796,-0.111111111,-1,135
7/13/07,7/22/07,10,2983,2982,-0.000335233,-0.111111111,-1,9
7/31/07,8/9/07,10,2982,2981,-0.000335345,-0.111111111,-1,5
8/14/07,8/23/07,10,2981,2980,-0.000335458,-0.111111111,-1,7
8/30/07,9/8/07,10,2980,2979,-0.00033557,-0.111111111,-1,6
9/14/07,9/23/07,10,2979,2978,-0.000335683,-0.111111111,-1,21
10/14/07,10/23/07,10,2978,2977,-0.000335796,-0.111111111,-1,31
11/23/07,12/2/07,10,2977,2976,-0.000335909,-0.111111111,-1,33
1/4/08,1/13/08,10,2976,2975,-0.000336022,-0.111111111,-1,29
2/11/08,2/20/08,10,2975,2974,-0.000336134,-0.111111111,-1,151
7/20/08,7/29/08,10,2994,2993,-0.000334001,-0.111111111,-1,1
7/30/08,8/12/08,14,2993,2991,-0.000668226,-0.153846154,-2,5
8/17/08,8/26/08,10,2991,2990,-0.000334336,-0.111111111,-1,1
8/27/08,9/5/08,10,2990,2989,-0.000334448,-0.111111111,-1,11
