Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2006,8,0.21095890410958903,9.625,0.9921567416492215,-0.00033485429756340235,2.374753690281517e-07,-0.11805555555555558,0.018373272993504098,-0.13999999999987267
2007,12,0.3287671232876712,10.0,0.0,-0.00033557058945999567,2.0038675555461562e-07,-0.11111111111111115,1.3877787807814457e-17,-0.11000000000012733
2008,12,0.33972602739726027,10.333333333333334,1.1055415967851332,-0.00036268408320426867,9.212628034224893e-05,-0.11467236467236469,0.011811341845995017,-0.13000000000010914
2009,12,0.3287671232876712,10.0,0.0,-0.0003348405612170925,3.870380112787726e-07,-0.11111111111111115,1.3877787807814457e-17,-0.07000000000016371
2010,8,0.2191780821917808,10.0,0.0,-0.00033492459683414976,3.537003339258585e-07,-0.11111111111111113,0.0,-0.0500000000001819
2011,15,0.4438356164383562,10.8,1.222020185321557,-0.0005340725291598107,0.00020273300977233965,-0.1600984200984201,0.04816824009123426,-0.24000000000023647
2012,10,0.27123287671232876,9.9,0.3,-0.00033482920426152255,3.179161311995963e-07,-0.11250000000000002,0.004166666666666668,-0.07000000000016371
2013,12,0.3287671232876712,10.0,0.0,-0.0003346910325574269,3.385454888956378e-07,-0.11111111111111115,1.3877787807814457e-17,-0.08000000000038199
2014,12,0.3232876712328767,9.833333333333334,0.5527707983925667,-0.00033472855562945847,4.1815896766879513e-07,-0.11375661375661378,0.008774139657024867,-0.15999999999985448
2015,11,0.3013698630136986,10.0,0.0,-0.000334641777657421,3.170151397014068e-07,-0.11111111111111115,1.3877787807814457e-17,-0.08000000000038199
2016,10,0.273972602739726,10.0,0.0,-0.00033509835531013156,2.397269163058524e-07,-0.11111111111111113,1.3877787807814457e-17,-0.09999999999990905
2017,11,0.29315068493150687,9.727272727272727,0.8624393618641034,-0.00033471327585617806,4.1739090335392393e-07,-0.11616161616161619,0.01597109929377969,-0.11000000000012733
2018,14,0.4,10.428571428571429,1.2936264483053452,-0.0003822752040997125,0.0001165572853782339,-0.11912393162393164,0.017334381132038407,-0.19000000000005457
2019,10,0.3315068493150685,12.1,6.3,-0.0005678167570836231,0.0006993205646346133,-0.12666666666666668,0.04666666666666666,-0.32999999999992724
2020,11,0.3095890410958904,10.272727272727273,0.8624393618641034,-0.0003648630101013936,9.586146837358965e-05,-0.11616161616161619,0.01597109929377969,-0.19000000000005457
