Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
2/24/97,3/2/97,7,7472.0,7470.6,-0.00018736616702350593,-0.2333333333332727
3/9/97,3/13/97,5,7472.8,7471.6,-0.0001605823787602797,-0.2999999999999545
3/14/97,3/23/97,10,7471.8,7465.2,-0.0008833212880430905,-0.7333333333333738
8/27/97,9/1/97,6,7473.0,7471.4,-0.00021410410812262328,-0.3200000000000728
9/20/97,9/24/97,5,7473.2,7470.2,-0.00040143445913397204,-0.75
10/17/97,10/22/97,6,7471.0,7460.2,-0.001445589613170952,-2.1600000000000366
12/19/97,12/25/97,7,7472.8,7471.6,-0.0001605823787602797,-0.19999999999996967
2/7/98,2/13/98,7,7472.2,7470.4,-0.00024089290971871497,-0.3000000000000303
2/25/98,3/3/98,7,7473.0,7470.2,-0.0003746821892145299,-0.466666666666697
3/10/98,3/15/98,6,7473.2,7471.6,-0.0002140983782047121,-0.31999999999989087
7/10/98,7/15/98,6,7472.6,7471.6,-0.0001338222305489388,-0.2
7/19/98,7/24/98,6,7472.6,7471.4,-0.0001605866766588239,-0.2400000000001455
9/30/98,10/4/98,5,7472.4,7469.8,-0.0003479471120388971,-0.6499999999998636
10/20/98,10/30/98,11,7472.2,7471.4,-0.0001070635154305535,-0.0800000000000182
10/31/98,11/8/98,9,7471.2,7470.2,-0.0001338473069921833,-0.125
11/9/98,11/21/98,13,7471.4,7470.2,-0.0001606124688813098,-0.09999999999998484
11/22/98,12/3/98,12,7470.6,7461.2,-0.0012582657350146634,-0.8545454545455041
12/10/98,12/15/98,6,7472.0,7471.0,-0.00013383297644539615,-0.2
12/21/98,12/25/98,5,7471.6,7470.4,-0.00016060816960232447,-0.3000000000001819
1/11/99,1/19/99,9,7471.8,7470.0,-0.00024090580582994484,-0.22500000000002274
1/25/99,1/31/99,7,7472.6,7470.2,-0.0003211733533175261,-0.40000000000009095
2/2/99,2/7/99,6,7472.2,7470.0,-0.0002944246674339309,-0.43999999999996364
3/16/99,3/22/99,7,7472.8,7465.6,-0.0009634942725617998,-1.1999999999999698
4/29/99,5/3/99,5,7473.0,7470.8,-0.00029439314866851576,-0.5499999999999545
5/13/99,5/17/99,5,7472.4,7471.6,-0.00010706064985804728,-0.1999999999998181
5/18/99,5/23/99,6,7473.4,7471.0,-0.0003211389728904697,-0.47999999999992726
8/26/99,8/31/99,6,7473.4,7470.8,-0.00034790055396465523,-0.5199999999998909
9/12/99,9/16/99,5,7471.6,7471.4,-2.676802826713523e-05,-0.0500000000001819
9/29/99,10/3/99,5,7473.6,7472.4,-0.00016056518946702092,-0.3000000000001819
10/4/99,10/20/99,17,7472.6,7460.0,-0.0016861601049166773,-0.7875000000000227
10/25/99,10/31/99,7,7460.4,7458.6,-0.0002412739263309303,-0.29999999999987875
12/28/99,1/1/00,5,7473.2,7470.4,-0.00037467216185839826,-0.7000000000000455
2/20/00,2/24/00,5,7472.4,7471.0,-0.00018735613725170445,-0.34999999999990905
3/21/00,3/28/00,8,7473.0,7460.2,-0.001712832864980621,-1.8285714285714545
4/12/00,4/21/00,10,7473.0,7469.8,-0.00042820821624512485,-0.35555555555553536
5/5/00,5/9/00,5,7472.4,7470.0,-0.00032118194957438524,-0.599999999999909
5/18/00,5/22/00,5,7472.8,7470.6,-0.00029440102772719973,-0.5499999999999545
