Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
1/1/97,1/2/97,2,7472.2,7472.0,-0.1999999999998181
1/3/97,1/17/97,3,7472.6,7472.4,-0.2000000000007276
1/18/97,1/20/97,3,7472.8,7472.0,-0.8000000000001819
1/21/97,1/22/97,2,7472.4,7472.0,-0.3999999999996362
1/23/97,1/25/97,3,7472.4,7472.0,-0.3999999999996362
1/26/97,1/27/97,2,7473.0,7472.4,-0.6000000000003638
1/29/97,1/31/97,3,7472.6,7472.4,-0.2000000000007276
2/2/97,2/3/97,2,7472.8,7471.8,-1.0
2/6/97,2/7/97,2,7472.8,7472.6,-0.1999999999998181
2/8/97,2/9/97,2,7473.0,7471.2,-1.800000000000182
2/10/97,2/13/97,4,7473.0,7471.8,-1.199999999999818
2/15/97,2/17/97,3,7473.2,7472.0,-1.199999999999818
2/18/97,2/20/97,3,7472.8,7472.0,-0.8000000000001819
2/22/97,2/23/97,2,7472.4,7471.4,-1.0
3/3/97,3/6/97,4,7470.8,7469.6,-1.199999999999818
4/13/97,4/16/97,4,7472.2,7471.4,-0.8000000000001819
4/17/97,4/20/97,4,7472.8,7471.8,-1.0
4/21/97,4/23/97,3,7472.4,7471.4,-1.0
4/25/97,4/27/97,3,7472.2,7471.6,-0.5999999999994543
4/29/97,5/1/97,3,7472.6,7471.2,-1.4000000000005457
5/3/97,5/4/97,2,7472.4,7471.8,-0.5999999999994543
5/8/97,5/9/97,2,7472.4,7471.8,-0.5999999999994543
5/10/97,5/13/97,4,7473.0,7471.6,-1.3999999999996362
5/14/97,5/16/97,3,7472.8,7472.2,-0.6000000000003638
5/17/97,5/20/97,4,7472.8,7470.8,-2.0
5/22/97,5/23/97,2,7472.8,7470.6,-2.199999999999818
5/24/97,5/26/97,3,7471.4,7471.0,-0.3999999999996362
5/27/97,5/28/97,2,7472.2,7471.6,-0.5999999999994543
5/30/97,5/31/97,2,7472.6,7471.6,-1.0
6/1/97,6/2/97,2,7472.4,7471.6,-0.7999999999992724
6/3/97,6/4/97,2,7471.8,7470.8,-1.0
6/5/97,6/7/97,3,7472.6,7470.4,-2.2000000000007276
6/9/97,6/10/97,2,7471.6,7471.0,-0.6000000000003638
6/11/97,6/13/97,3,7472.2,7471.0,-1.199999999999818
6/15/97,6/16/97,2,7472.4,7471.6,-0.7999999999992724
6/18/97,6/20/97,3,7472.2,7471.8,-0.3999999999996362
6/21/97,6/23/97,3,7472.2,7471.2,-1.0
6/24/97,6/25/97,2,7471.4,7471.0,-0.3999999999996362
6/29/97,7/1/97,3,7473.0,7471.8,-1.199999999999818
7/2/97,7/3/97,2,7472.2,7471.2,-1.0
7/4/97,7/5/97,2,7471.8,7471.4,-0.4000000000005457
7/7/97,7/8/97,2,7471.6,7471.2,-0.4000000000005457
7/9/97,7/12/97,4,7473.0,7471.0,-2.0
7/13/97,7/15/97,3,7472.0,7471.6,-0.3999999999996362
7/16/97,7/17/97,2,7472.0,7471.8,-0.1999999999998181
7/18/97,7/19/97,2,7472.0,7471.6,-0.3999999999996362
7/21/97,7/23/97,3,7472.4,7471.4,-1.0
