Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,7,0.12602739726027398,6.571428571428571,1.590789817951435,-0.0004932829132878147,0.00045675239857102936,-0.670952380952383,0.6438148069662266,-5.630000000000109
1998,12,0.2547945205479452,7.75,2.680951323690902,-0.00028552163906258725,0.0003045296388902911,-0.3196843434343597,0.22289267941048943,-3.5
1999,13,0.2465753424657534,6.923076923076923,3.1246301556292155,-0.0004138408334896194,0.0004242894743431609,-0.4732692307692268,0.28667756045534754,-3.0799999999999272
2000,7,0.15342465753424658,8.0,2.9277002188455996,-0.0006270906265989553,0.0004965919325714942,-0.6826530612244602,0.49254482868681543,-3.619999999999891
2001,7,0.12876712328767123,6.714285714285714,2.762725657973388,-0.00026381759230357805,0.000124246507086768,-0.36823129251706416,0.1845044693460529,-1.8800000000001091
2002,11,0.2273972602739726,7.545454545454546,3.798651348322941,-0.0003479300509947754,0.0004513315319762964,-0.35462694168576736,0.2088921557810592,-4.020000000000437
2003,13,0.2219178082191781,6.230769230769231,0.8904489925223251,-0.000352063178350333,0.0006096381236202585,-0.5122710622710703,0.9098564521034902,-16.4399999999996
2004,13,0.21643835616438356,6.076923076923077,1.8589301497837805,-0.00028205983678219847,0.00036486485037461237,-0.3574125874125439,0.2316998986864062,-3.800000000000182
2005,14,0.2328767123287671,6.071428571428571,1.751092953161609,-0.0002695314451306872,0.0001651177712123172,-0.4442857142856943,0.3285319408392383,-2.819999999999709
2006,14,0.2356164383561644,6.142857142857143,1.7261494247992246,-0.0002810042243106873,0.00034610317640874303,-0.3873129251700787,0.35689132217699515,-2.2100000000000364
2007,13,0.23013698630136986,6.461538461538462,2.205426336435608,-0.0001852801984245396,6.337819620137359e-05,-0.28433233433231725,0.13141430018724615,-1.930000000000291
2008,14,0.27945205479452057,7.285714285714286,2.050385727772475,-0.0002007243940539652,0.00010051337542711108,-0.25074829931975745,0.1113531285291791,-2.280000000000655
2009,19,0.38904109589041097,7.473684210526316,3.168403567008929,-0.00017044228652429846,0.00010390803632659437,-0.21576858813699853,0.1464908696744589,-1.75
2010,13,0.2493150684931507,7.0,1.1094003924504583,-0.00019146101694505257,9.320277776108647e-05,-0.24254578754578432,0.11013032353378584,-1.7299999999995634
2011,17,0.33424657534246577,7.176470588235294,1.6173796570432377,-0.00021412100586766996,0.000351761163583702,-0.23411764705879023,0.29328284526250176,-3.930000000000291
2012,15,0.3452054794520548,8.4,2.3036203390894663,-0.00030151639830169966,0.00040670937601658413,-0.2948677248677336,0.3083381424133426,-2.069999999999709
2013,19,0.4246575342465753,8.157894736842104,2.158536489937882,-0.0001676730860630499,0.0002710618122734538,-0.18055973266496936,0.22375073063912052,-3.8599999999996726
2014,12,0.26301369863013696,8.0,2.857738033247041,-0.0002809991680221193,0.0004531712587940665,-0.3144017094017091,0.42030291800217207,-4.130000000000109
2015,20,0.4191780821917808,7.65,2.3932195887548637,-0.00023550932682942053,0.00037576857496069365,-0.2515822510822163,0.2399286620443863,-7.940000000000509
2016,19,0.35342465753424657,6.7894736842105265,2.307401075450839,-0.00020285863110686223,0.00032970187896810463,-0.26929141034407006,0.410298355688888,-4.389999999999418
2017,15,0.28493150684931506,6.933333333333334,2.644911256650316,-0.00014630834258284162,7.990778130700849e-05,-0.19434391534388998,0.09043795937211699,-1.9400000000005093
2018,23,0.4794520547945205,7.608695652173913,4.18838072305819,-0.00020366157546515928,0.00030779989598718824,-0.20971423661403796,0.12846049029527923,-5.0
2019,12,0.2465753424657534,7.5,2.9297326385411577,-0.00012043947144542713,4.9463018538835855e-05,-0.16581349206350646,0.1039042935303183,-2.630000000000109
2020,39,0.8547945205479452,8.0,3.071790591153218,-0.00013244721577891207,9.129912023519564e-05,-0.15178062678063298,0.09903045178756019,-1.5799999999999272
2021,7,0.1232876712328767,6.428571428571429,1.6781914463529615,-0.00013000160436776818,6.621763323389352e-05,-0.18412698412699063,0.07700457918473216,-1.8099999999994907
