Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,29,0.726027397260274,9.137931034482758,3.5009765921371185,-9.284188063151477e-05,0.0002095133770690236,-0.0592652012738232,0.15144001626460463,-7.430000000000291
1998,26,0.6547945205479452,9.192307692307692,3.198788602066423,-5.82594952582655e-05,0.0001122692236701646,-0.0351423320269524,0.07660298483785268,-2.9600000000000364
1999,33,0.8547945205479452,9.454545454545455,3.4120189445893927,-0.00010821760309830576,0.0003110614588821008,-0.05261426042849627,0.13162420239950812,-13.159999999999854
2000,30,0.7589041095890411,9.233333333333333,3.0296681153038674,-0.00014853438700073755,0.00029084225345849056,-0.09561854904354795,0.1954991669029563,-9.039999999999964
2001,36,0.873972602739726,8.86111111111111,2.668257627260175,-4.7317313315699795e-05,9.726191320091172e-05,-0.02437610229278467,0.0900126822059987,-1.8999999999996362
2002,35,0.852054794520548,8.885714285714286,3.370217700229286,-9.088066562376118e-05,0.0002782552592570959,-0.043874046588335346,0.1224907140834657,-12.180000000000291
2003,29,0.7205479452054795,9.068965517241379,2.65136314299877,-0.00010100541511524437,0.0002779260886447128,-0.060165983948434934,0.20382743863662822,-10.840000000000146
2004,29,0.7232876712328767,9.10344827586207,2.7208622820108777,-0.00010788829878711848,0.00027825652345940223,-0.07429056145004001,0.23520644302855742,-11.029999999999745
2005,30,0.7205479452054795,8.766666666666667,2.3478122203920444,-9.487068273999866e-05,0.00012869858835204287,-0.06956654641652844,0.11650149062779067,-4.399999999999636
2006,27,0.6547945205479452,8.851851851851851,2.8376268606485855,-8.954706472389931e-05,0.000267897846949009,-0.041561736617296924,0.21927123849984523,-9.899999999999636
2007,30,0.8054794520547945,9.8,2.749545416973504,-7.671870636830942e-05,9.004693372030619e-05,-0.05112381692381835,0.06860607833462046,-2.2299999999995634
2008,29,0.7534246575342466,9.482758620689655,2.9198569834505586,-6.815323869047732e-05,8.758960077636234e-05,-0.04511069677450039,0.06335253917542262,-2.050000000000182
2009,24,0.6931506849315069,10.541666666666666,2.7076922318133243,-6.952742696017328e-05,7.819097867747327e-05,-0.04494318181817921,0.06505657413355122,-2.0
2010,27,0.6602739726027397,8.925925925925926,2.308212807538205,-8.509387730917548e-05,9.24198166135259e-05,-0.06285337502005335,0.08090990201661304,-2.3900000000003274
2011,25,0.5863013698630137,8.56,2.6393938698117796,-5.331115788431572e-05,8.716468907143984e-05,-0.03642737373738296,0.08107302070877144,-1.7799999999997453
2012,25,0.6602739726027397,9.64,4.37154434954056,-0.00012561384702227017,0.0003453712328934515,-0.07102514041514113,0.18861679552589602,-13.090000000000146
2013,21,0.6520547945205479,11.333333333333334,6.985245220724236,-0.00015111141539882813,0.0002810770092942918,-0.07464665889665272,0.10661991175067873,-9.390000000000327
2014,27,0.6191780821917808,8.37037037037037,3.5916379029335284,-9.386460890443923e-05,0.0003067069932226414,-0.0635602555275781,0.22936157787956138,-12.009999999999309
2015,27,0.6821917808219178,9.222222222222221,3.034777840832814,-6.691732827185686e-05,0.0003813867881171747,0.006684818268134253,0.34227547371506356,-13.409999999999854
2016,22,0.5178082191780822,8.590909090909092,2.3482893369253617,-0.00012774417292289925,0.00030985144912249206,-0.10559740259741365,0.2564112101532603,-11.36999999999989
2017,23,0.5972602739726027,9.478260869565217,3.44988424780476,-6.731325458503655e-05,9.706554137504194e-05,-0.04859303377781107,0.08111972100831237,-2.1099999999996726
2018,30,0.673972602739726,8.2,2.8565713714171403,-7.203623880183082e-05,0.0002566156800697008,-0.04104866152363916,0.13822389403876706,-10.36999999999989
2019,26,0.7095890410958904,9.961538461538462,4.6116972449728255,-6.242929644843373e-05,7.602390127362553e-05,-0.04232923131001138,0.053168650209698985,-2.0399999999999636
2020,28,0.7945205479452054,10.357142857142858,2.767338661115788,-7.751812602023513e-05,7.06263101431817e-05,-0.053981005106012524,0.04861461004815376,-1.8699999999998909
2021,6,0.15342465753424658,9.333333333333334,2.357022603955158,-6.400967999650624e-05,6.8072016992247e-05,-0.04942129629627187,0.04312214210926376,-1.430000000000291
