Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
1/6/97,1/11/97,6,446.6,446.2,-0.0008956560680699375,-0.08000000000000682
1/20/97,1/27/97,8,447.6,447.0,-0.0013404825737265923,-0.08571428571428896
2/23/97,3/7/97,13,449.0,447.8,-0.0026726057906458545,-0.09999999999999905
3/8/97,3/12/97,5,447.8,447.6,-0.0004466279589102024,-0.04999999999999716
3/14/97,3/18/97,5,447.8,447.4,-0.0008932559178205317,-0.10000000000000853
3/20/97,3/25/97,6,447.6,446.8,-0.0017873100983020807,-0.16000000000000228
4/11/97,4/15/97,5,448.0,447.6,-0.0008928571428570921,-0.09999999999999432
4/25/97,4/30/97,6,448.4,448.0,-0.0008920606601248378,-0.07999999999999545
5/2/97,5/6/97,5,448.2,448.0,-0.00044622936189198716,-0.04999999999999716
5/24/97,5/28/97,5,449.6,449.4,-0.0004448398576513467,-0.05000000000001137
5/30/97,6/4/97,6,449.6,449.2,-0.000889679715302567,-0.08000000000000682
6/7/97,6/18/97,12,449.4,449.0,-0.0008900756564307461,-0.036363636363634294
6/26/97,7/1/97,6,449.4,448.6,-0.0017801513128614921,-0.1599999999999909
7/4/97,7/14/97,11,449.2,446.8,-0.0053428317008013745,-0.23999999999999772
7/26/97,8/6/97,12,449.0,447.8,-0.0026726057906458545,-0.10909090909090806
8/15/97,8/20/97,6,448.2,447.6,-0.0013386880856759613,-0.11999999999999318
8/29/97,9/3/97,6,448.0,447.8,-0.00044642857142854604,-0.039999999999997725
9/4/97,9/9/97,6,448.2,447.4,-0.0017849174475680753,-0.16000000000000228
9/12/97,9/17/97,6,448.4,447.6,-0.0017841213202496756,-0.1599999999999909
9/25/97,9/29/97,5,448.6,447.8,-0.0017833259028087636,-0.20000000000000284
10/3/97,10/13/97,11,448.6,446.4,-0.0049041462327241315,-0.22000000000000455
10/23/97,11/5/97,14,447.8,446.2,-0.003573023671281873,-0.12307692307692483
11/7/97,11/11/97,5,446.6,446.4,-0.0004478280340350324,-0.05000000000001137
11/29/97,12/4/97,6,447.2,446.4,-0.001788908765652977,-0.16000000000000228
12/29/97,1/7/98,10,449.4,448.8,-0.001335113484646119,-0.06666666666666288
1/11/98,1/25/98,15,449.0,446.0,-0.0066815144766146995,-0.21428571428571427
1/29/98,2/2/98,5,446.4,446.0,-0.0008960573476702,-0.09999999999999432
3/10/98,3/30/98,21,447.8,446.0,-0.0040196516301920756,-0.09000000000000057
4/5/98,4/9/98,5,447.6,446.6,-0.002234137622877569,-0.25
4/24/98,4/28/98,5,448.4,447.6,-0.0017841213202496756,-0.19999999999998863
6/4/98,6/10/98,7,449.8,449.0,-0.0017785682525567172,-0.13333333333333522
6/16/98,6/22/98,7,449.2,447.4,-0.004007123775601094,-0.3000000000000019
6/24/98,7/1/98,8,447.6,446.4,-0.0026809651474531846,-0.17142857142857792
8/20/98,8/26/98,7,449.0,448.2,-0.0017817371937639452,-0.13333333333333522
9/7/98,9/17/98,11,449.6,447.2,-0.005338078291815022,-0.2400000000000034
10/3/98,10/7/98,5,447.6,446.6,-0.002234137622877569,-0.25
10/8/98,10/14/98,7,446.8,445.8,-0.0022381378692927483,-0.16666666666666666
10/22/98,10/28/98,7,446.0,445.4,-0.0013452914798206788,-0.1000000000000038
10/31/98,11/4/98,5,445.6,445.2,-0.0008976660682226977,-0.10000000000000853
12/17/98,12/22/98,6,449.6,449.2,-0.000889679715302567,-0.08000000000000682
12/28/98,1/2/99,6,449.6,449.2,-0.000889679715302567,-0.08000000000000682
