Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
1/3/97,1/4/97,2,446.8,446.4,-0.4000000000000341
1/16/97,1/17/97,2,447.2,447.0,-0.19999999999998863
3/29/97,4/1/97,4,447.2,446.2,-1.0
4/18/97,4/21/97,4,448.0,447.8,-0.19999999999998863
5/17/97,5/20/97,4,449.0,448.6,-0.39999999999997726
6/21/97,6/23/97,3,449.2,448.8,-0.39999999999997726
8/7/97,8/8/97,2,448.2,448.0,-0.19999999999998863
8/10/97,8/13/97,4,448.2,448.0,-0.19999999999998863
8/23/97,8/26/97,4,448.0,447.4,-0.6000000000000227
9/18/97,9/20/97,3,447.8,447.2,-0.6000000000000227
11/22/97,11/23/97,2,447.0,446.8,-0.19999999999998863
11/27/97,11/28/97,2,447.2,447.0,-0.19999999999998863
12/8/97,12/11/97,4,447.0,446.6,-0.39999999999997726
12/19/97,12/21/97,3,447.4,447.2,-0.19999999999998863
2/13/98,2/14/98,2,447.0,446.8,-0.19999999999998863
2/15/98,2/16/98,2,447.2,447.0,-0.19999999999998863
2/18/98,2/19/98,2,447.4,447.2,-0.19999999999998863
5/1/98,5/4/98,4,448.0,447.4,-0.6000000000000227
5/8/98,5/10/98,3,448.0,447.6,-0.39999999999997726
5/24/98,5/25/98,2,449.6,449.4,-0.20000000000004547
5/31/98,6/3/98,4,449.8,449.6,-0.19999999999998863
6/12/98,6/15/98,4,449.2,448.4,-0.8000000000000114
7/4/98,7/7/98,4,446.8,446.6,-0.19999999999998863
7/10/98,7/13/98,4,447.4,447.0,-0.39999999999997726
7/27/98,7/29/98,3,448.2,448.0,-0.19999999999998863
8/4/98,8/5/98,2,448.2,448.0,-0.19999999999998863
8/16/98,8/19/98,4,449.0,448.8,-0.19999999999998863
9/19/98,9/22/98,4,447.4,446.8,-0.5999999999999659
9/28/98,9/29/98,2,447.2,447.0,-0.19999999999998863
10/17/98,10/20/98,4,446.0,445.6,-0.39999999999997726
11/14/98,11/16/98,3,445.8,445.6,-0.19999999999998863
12/10/98,12/13/98,4,449.4,448.8,-0.5999999999999659
12/24/98,12/25/98,2,449.6,449.4,-0.20000000000004547
12/26/98,12/27/98,2,449.6,449.4,-0.20000000000004547
1/29/99,1/30/99,2,445.6,445.4,-0.20000000000004547
1/31/99,2/3/99,4,445.6,445.2,-0.4000000000000341
2/21/99,2/23/99,3,445.0,444.4,-0.6000000000000227
2/26/99,2/27/99,2,444.8,444.6,-0.19999999999998863
3/15/99,3/16/99,2,445.0,444.8,-0.19999999999998863
3/19/99,3/21/99,3,445.4,445.2,-0.19999999999998863
3/29/99,3/30/99,2,446.0,445.8,-0.19999999999998863
4/24/99,4/27/99,4,448.4,447.8,-0.5999999999999659
5/17/99,5/19/99,3,448.4,448.2,-0.19999999999998863
6/20/99,6/23/99,4,449.4,449.2,-0.19999999999998863
7/30/99,8/1/99,3,448.6,448.2,-0.4000000000000341
8/3/99,8/4/99,2,448.4,448.2,-0.19999999999998863
8/26/99,8/27/99,2,449.6,449.4,-0.20000000000004547
10/29/99,10/31/99,3,447.2,446.8,-0.39999999999997726
12/1/99,12/3/99,3,446.6,446.4,-0.20000000000004547
12/7/99,12/8/99,2,447.2,447.0,-0.19999999999998863
1/2/00,1/5/00,4,446.2,446.0,-0.19999999999998863
1/8/00,1/11/00,4,446.4,446.0,-0.39999999999997726
1/15/00,1/18/00,4,446.8,446.4,-0.4000000000000341
1/22/00,1/24/00,3,446.8,446.4,-0.4000000000000341
3/3/00,3/4/00,2,446.0,445.8,-0.19999999999998863
3/25/00,3/27/00,3,445.8,445.4,-0.4000000000000341
8/13/00,8/15/00,3,447.8,447.6,-0.19999999999998863
8/20/00,8/23/00,4,448.0,447.8,-0.19999999999998863
9/26/00,9/27/00,2,446.8,446.6,-0.19999999999998863
9/30/00,10/1/00,2,447.2,447.0,-0.19999999999998863
12/5/00,12/6/00,2,446.2,446.0,-0.19999999999998863
12/10/00,12/13/00,4,446.4,446.2,-0.19999999999998863
12/23/00,12/24/00,2,446.6,446.4,-0.20000000000004547
12/25/00,12/28/00,4,446.6,445.8,-0.8000000000000114
12/30/00,1/1/01,3,446.4,446.2,-0.19999999999998863
1/15/01,1/16/01,2,448.6,448.4,-0.20000000000004547
2/17/01,2/20/01,4,446.8,446.6,-0.19999999999998863
3/2/01,3/5/01,4,449.4,449.2,-0.19999999999998863
5/24/01,5/25/01,2,447.8,447.2,-0.6000000000000227
5/26/01,5/27/01,2,447.6,447.4,-0.20000000000004547
6/23/01,6/25/01,3,448.2,448.0,-0.19999999999998863
7/28/01,7/31/01,4,448.2,447.8,-0.39999999999997726
8/11/01,8/12/01,2,448.0,447.6,-0.39999999999997726
8/24/01,8/27/01,4,448.0,447.4,-0.6000000000000227
9/8/01,9/11/01,4,447.0,446.6,-0.39999999999997726
9/22/01,9/24/01,3,447.2,446.8,-0.39999999999997726
9/30/01,10/3/01,4,447.4,447.2,-0.19999999999998863
10/5/01,10/6/01,2,447.8,447.4,-0.4000000000000341
12/8/01,12/11/01,4,446.4,446.0,-0.39999999999997726
12/24/01,12/25/01,2,446.6,446.4,-0.20000000000004547
1/5/02,1/6/02,2,446.4,446.2,-0.19999999999998863
1/20/02,1/23/02,4,446.4,446.2,-0.19999999999998863
2/2/02,2/4/02,3,446.4,446.2,-0.19999999999998863
3/2/02,3/3/02,2,447.2,447.0,-0.19999999999998863
4/28/02,5/1/02,4,448.4,448.2,-0.19999999999998863
5/27/02,5/29/02,3,449.0,448.4,-0.6000000000000227
6/17/02,6/18/02,2,448.6,448.4,-0.20000000000004547
7/29/02,7/31/02,3,447.2,447.0,-0.19999999999998863
