Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
1/29/97,2/7/97,10,1195.8,1195.4,-0.00033450409767508244,-0.044444444444429285
5/26/97,6/4/97,10,1200.2,1200.0,-0.00016663889351778492,-0.022222222222227275
8/31/97,9/5/97,6,1204.6,1204.2,-0.00033206043499905665,-0.07999999999997272
1/5/98,1/14/98,10,1214.8,1214.6,-0.00016463615409947769,-0.022222222222227275
1/19/98,1/30/98,12,1214.8,1214.4,-0.0003292723081987682,-0.03636363636362396
2/2/98,2/13/98,12,1214.4,1214.0,-0.00032938076416344774,-0.03636363636364463
2/16/98,2/21/98,6,1214.2,1214.0,-0.00016471750947129424,-0.0400000000000091
3/2/98,3/6/98,5,1214.2,1214.0,-0.00016471750947129424,-0.05000000000001137
3/8/98,3/17/98,10,1214.2,1214.0,-0.00016471750947129424,-0.022222222222227275
3/29/98,4/3/98,6,1214.4,1214.2,-0.00016469038208172387,-0.0400000000000091
4/5/98,4/20/98,16,1214.4,1213.2,-0.000988142292490156,-0.08000000000000303
4/27/98,5/2/98,6,1213.0,1212.8,-0.00016488046166533016,-0.0400000000000091
5/3/98,5/25/98,23,1213.0,1211.8,-0.0009892827699917934,-0.05454545454545661
6/15/98,6/19/98,5,1211.8,1211.6,-0.00016504373659023393,-0.05000000000001137
7/5/98,7/14/98,10,1211.8,1211.6,-0.00016504373659023393,-0.022222222222227275
9/16/98,9/29/98,14,1215.8,1214.6,-0.0009870044415200242,-0.09230769230769581
10/18/98,10/24/98,7,1215.4,1215.2,-0.0001645548790522013,-0.03333333333334091
11/2/98,11/11/98,10,1215.8,1215.6,-0.00016450074025336855,-0.022222222222227275
11/17/98,12/5/98,19,1215.6,1214.6,-0.0008226390259953932,-0.05555555555555555
12/6/98,12/24/98,19,1214.6,1212.6,-0.0016466326362588508,-0.1111111111111111
12/29/98,1/11/99,14,1212.8,1212.0,-0.0006596306068601209,-0.06153846153845804
3/2/99,3/15/99,14,1213.2,1212.6,-0.0004945598417409631,-0.04615384615385665
3/23/99,3/27/99,5,1212.4,1212.0,-0.0003299241174530608,-0.10000000000002274
3/28/99,4/25/99,29,1212.2,1209.4,-0.0023098498597590783,-0.09999999999999838
4/26/99,5/13/99,18,1209.2,1207.4,-0.001488587495864997,-0.10588235294117379
5/17/99,5/30/99,14,1207.6,1207.2,-0.0003312355084463925,-0.030769230769220276
6/6/99,6/18/99,13,1207.6,1206.6,-0.0008280887711162638,-0.08333333333333333
6/21/99,6/26/99,6,1206.8,1206.4,-0.0003314550878354852,-0.07999999999997272
6/27/99,7/3/99,7,1206.6,1206.4,-0.00016575501408902545,-0.03333333333330302
8/12/99,8/18/99,7,1207.8,1207.6,-0.0001655903295247934,-0.03333333333334091
10/29/99,11/6/99,9,1212.4,1212.0,-0.0003299241174530608,-0.05000000000001137
2/7/00,2/16/00,10,1214.4,1214.2,-0.00016469038208172387,-0.022222222222227275
2/24/00,3/12/00,18,1214.2,1213.0,-0.000988305056827578,-0.07058823529412032
3/13/00,4/12/00,31,1213.0,1210.2,-0.0023083264633140597,-0.09333333333333181
4/15/00,5/4/00,20,1210.0,1208.4,-0.0013223140495867017,-0.08421052631578468
5/9/00,8/30/00,114,1209.0,1196.8,-0.010090984284532709,-0.1079646017699119
9/11/00,9/20/00,10,1197.4,1197.0,-0.0003340571237682403,-0.04444444444445455
9/26/00,10/6/00,11,1197.0,1196.6,-0.00033416875522146276,-0.0400000000000091
10/8/00,10/12/00,5,1196.8,1196.6,-0.00016711229946527863,-0.05000000000001137
10/16/00,10/25/00,10,1196.8,1196.6,-0.00016711229946527863,-0.022222222222227275
11/6/00,11/10/00,5,1196.6,1196.4,-0.0001671402306533663,-0.049999999999954525
11/12/00,11/21/00,10,1196.6,1196.4,-0.0001671402306533663,-0.02222222222220201
11/27/00,12/13/00,17,1196.6,1195.6,-0.0008357011532675915,-0.0625
1/3/01,1/12/01,10,1196.2,1196.0,-0.00016719612105002966,-0.022222222222227275
2/6/01,2/10/01,5,1197.4,1197.2,-0.00016702856188412015,-0.05000000000001137
2/11/01,2/20/01,10,1197.4,1197.0,-0.0003340571237682403,-0.04444444444445455
2/26/01,3/10/01,13,1196.8,1196.0,-0.0006684491978609246,-0.06666666666666288
3/11/01,3/25/01,15,1196.2,1195.6,-0.000501588363150089,-0.0428571428571526
3/26/01,7/8/01,105,1195.6,1182.4,-0.011040481766476932,-0.12692307692307517
7/9/01,7/31/01,23,1182.6,1180.8,-0.001522070015220662,-0.08181818181817975
8/6/01,8/18/01,13,1180.6,1180.2,-0.00033881077418250347,-0.03333333333332197
8/29/01,9/30/01,33,1180.2,1178.0,-0.0018640908320624009,-0.06875000000000142
11/14/01,11/21/01,8,1178.4,1177.6,-0.0006788866259336235,-0.11428571428574028
11/23/01,12/3/01,11,1177.8,1177.2,-0.0005094243504838759,-0.05999999999999091
2/4/02,2/14/02,11,1178.0,1177.6,-0.000339558573854067,-0.0400000000000091
2/19/02,6/7/02,109,1177.6,1161.6,-0.013586956521739132,-0.14814814814814814
6/9/02,7/3/02,25,1161.8,1158.8,-0.0025822000344293337,-0.125
7/8/02,7/17/02,10,1159.2,1158.4,-0.0006901311249136944,-0.08888888888888384
7/22/02,8/4/02,14,1158.6,1157.6,-0.0008631106507854308,-0.07692307692307693
8/7/02,8/16/02,10,1157.6,1157.0,-0.0005183137525914903,-0.06666666666665656
8/17/02,9/2/02,17,1157.2,1156.4,-0.0006913238852401957,-0.04999999999999716
9/3/02,9/16/02,14,1156.4,1155.8,-0.0005188516084401041,-0.04615384615385665
9/22/02,10/3/02,12,1155.8,1155.4,-0.00034608063678825366,-0.03636363636362396
10/7/02,10/16/02,10,1155.4,1155.2,-0.00017310022503033189,-0.022222222222227275
10/19/02,10/25/02,7,1155.2,1154.8,-0.00034626038781171306,-0.06666666666668182
10/27/02,11/8/02,13,1155.0,1154.6,-0.0003463203463204251,-0.03333333333334091
11/12/02,12/4/02,23,1154.6,1153.2,-0.0012125411397885533,-0.06363636363635744
12/8/02,12/28/02,21,1153.2,1152.2,-0.0008671522719389524,-0.05
12/29/02,1/3/03,6,1152.4,1152.2,-0.0001735508503992064,-0.0400000000000091
2/4/03,2/8/03,5,1153.4,1153.2,-0.00017340038148087867,-0.05000000000001137
3/11/03,5/25/03,76,1154.6,1145.4,-0.007968127490039684,-0.12266666666666425
5/26/03,6/4/03,10,1145.6,1144.6,-0.000872905027932961,-0.1111111111111111
6/5/03,6/20/03,16,1144.8,1143.6,-0.0010482180293501446,-0.08000000000000303
6/23/03,7/5/03,13,1143.8,1143.0,-0.0006994229760447233,-0.06666666666666288
7/8/03,7/20/03,13,1143.2,1142.4,-0.0006997900629810658,-0.06666666666666288
7/27/03,8/1/03,6,1142.4,1142.0,-0.00035014005602248855,-0.0800000000000182
9/3/03,9/12/03,10,1143.4,1143.2,-0.00017491691446566858,-0.022222222222227275
9/15/03,9/26/03,12,1143.2,1142.4,-0.0006997900629810658,-0.07272727272726859
10/15/03,11/11/03,28,1142.4,1140.6,-0.0015756302521009995,-0.06666666666667341
11/12/03,11/27/03,16,1140.6,1139.4,-0.001052077853761019,-0.07999999999998787
11/28/03,12/7/03,10,1139.6,1139.4,-0.0001755001755000159,-0.02222222222220201
12/9/03,12/13/03,5,1139.4,1139.2,-0.0001755309812182249,-0.05000000000001137
12/14/03,12/20/03,7,1139.4,1139.0,-0.0003510619624364498,-0.06666666666668182
1/25/04,2/3/04,10,1140.6,1140.4,-0.00017534630896003691,-0.02222222222220201
2/10/04,2/14/04,5,1140.4,1140.2,-0.00017537706068050286,-0.05000000000001137
2/24/04,2/28/04,5,1140.4,1140.0,-0.0003507541213610057,-0.10000000000002274
2/29/04,3/13/04,14,1140.2,1139.8,-0.0003508156463779082,-0.030769230769237765
3/15/04,3/26/04,12,1139.8,1139.0,-0.0007018775223723062,-0.07272727272726859
3/27/04,6/7/04,73,1139.2,1129.2,-0.008778089887640448,-0.1388888888888889
6/9/04,7/5/04,27,1129.2,1126.8,-0.002125398512221122,-0.09230769230769581
7/11/04,7/20/04,10,1126.6,1126.0,-0.0005325758920645385,-0.06666666666665656
