Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
8/31/97,9/9/97,10,1205,1204,-0.000829876,-0.111111111,-1,138
1/25/98,2/3/98,10,1215,1214,-0.000823045,-0.111111111,-1,69
4/13/98,4/22/98,10,1214,1213,-0.000823723,-0.111111111,-1,20
5/12/98,5/21/98,10,1213,1212,-0.000824402,-0.111111111,-1,119
9/17/98,9/26/98,10,1216,1215,-0.000822368,-0.111111111,-1,52
11/17/98,11/26/98,10,1216,1215,-0.000822368,-0.111111111,-1,10
12/6/98,12/15/98,10,1215,1214,-0.000823045,-0.111111111,-1,2
12/17/98,12/26/98,10,1214,1213,-0.000823723,-0.111111111,-1,8
1/3/99,1/12/99,10,1213,1212,-0.000824402,-0.111111111,-1,62
3/15/99,3/24/99,10,1213,1212,-0.000824402,-0.111111111,-1,11
4/4/99,4/16/99,13,1212,1210,-0.001650165,-0.166666667,-2,4
4/20/99,4/29/99,10,1210,1209,-0.000826446,-0.111111111,-1,4
5/3/99,5/12/99,10,1209,1208,-0.00082713,-0.111111111,-1,5
5/17/99,5/26/99,10,1208,1207,-0.000827815,-0.111111111,-1,11
6/6/99,6/15/99,10,1208,1207,-0.000827815,-0.111111111,-1,12
6/27/99,7/3/99,7,1207,1206,-0.0008285,-0.166666667,-1,244
3/3/00,3/12/00,10,1214,1213,-0.000823723,-0.111111111,-1,7
3/19/00,3/28/00,10,1213,1212,-0.000824402,-0.111111111,-1,2
3/30/00,4/11/00,13,1212,1210,-0.001650165,-0.166666667,-2,9
4/20/00,4/29/00,10,1210,1209,-0.000826446,-0.111111111,-1,18
5/17/00,5/26/00,10,1209,1208,-0.00082713,-0.111111111,-1,6
6/1/00,6/10/00,10,1208,1207,-0.000827815,-0.111111111,-1,8
6/18/00,7/1/00,14,1206,1204,-0.001658375,-0.153846154,-2,5
7/6/00,7/16/00,11,1204,1202,-0.00166113,-0.2,-2,3
7/19/00,7/31/00,13,1202,1200,-0.001663894,-0.166666667,-2,2
8/2/00,8/15/00,14,1200,1198,-0.001666667,-0.153846154,-2,5
8/20/00,8/29/00,10,1198,1197,-0.000834725,-0.111111111,-1,5
9/3/00,9/7/00,5,1197,1196,-0.000835422,-0.25,-1,60
11/6/00,11/10/00,5,1197,1196,-0.000835422,-0.25,-1,2
11/12/00,11/21/00,10,1197,1196,-0.000835422,-0.111111111,-1,6
11/27/00,12/6/00,10,1197,1196,-0.000835422,-0.111111111,-1,85
3/1/01,3/10/01,10,1197,1196,-0.000835422,-0.111111111,-1,16
3/26/01,4/6/01,12,1196,1194,-0.001672241,-0.181818182,-2,2
4/8/01,4/17/01,10,1194,1193,-0.000837521,-0.111111111,-1,8
4/25/01,5/6/01,12,1192,1190,-0.001677852,-0.181818182,-2,3
5/9/01,5/18/01,10,1190,1189,-0.000840336,-0.111111111,-1,2
5/20/01,5/29/01,10,1189,1188,-0.000841043,-0.111111111,-1,9
6/7/01,6/19/01,13,1187,1185,-0.00168492,-0.166666667,-2,1
6/20/01,7/2/01,13,1185,1183,-0.001687764,-0.166666667,-2,1
7/3/01,7/8/01,6,1183,1182,-0.000845309,-0.2,-1,1
7/9/01,7/18/01,10,1183,1182,-0.000845309,-0.111111111,-1,19
8/6/01,8/15/01,10,1181,1180,-0.00084674,-0.111111111,-1,27
9/11/01,9/20/01,10,1180,1179,-0.000847458,-0.111111111,-1,67
11/26/01,12/5/01,10,1178,1177,-0.000848896,-0.111111111,-1,76
2/19/02,3/4/02,14,1178,1176,-0.001697793,-0.153846154,-2,3
3/7/02,3/19/02,13,1176,1174,-0.00170068,-0.166666667,-2,1
3/20/02,4/1/02,13,1174,1172,-0.001703578,-0.166666667,-2,2
4/3/02,4/16/02,14,1172,1170,-0.001706485,-0.153846154,-2,2
4/18/02,4/29/02,12,1170,1168,-0.001709402,-0.181818182,-2,8
5/7/02,5/19/02,13,1167,1165,-0.001713796,-0.166666667,-2,1
5/20/02,5/29/02,10,1165,1163,-0.001716738,-0.222222222,-2,1
5/30/02,6/8/02,10,1163,1162,-0.000859845,-0.111111111,-1,3
6/11/02,6/20/02,10,1162,1161,-0.000860585,-0.111111111,-1,7
6/27/02,7/6/02,10,1160,1159,-0.000862069,-0.111111111,-1,16
7/22/02,7/31/02,10,1159,1158,-0.000862813,-0.111111111,-1,7
8/7/02,8/16/02,10,1158,1157,-0.000863558,-0.111111111,-1,12
8/28/02,9/6/02,10,1157,1156,-0.000864304,-0.111111111,-1,22
9/28/02,10/7/02,10,1156,1155,-0.000865052,-0.111111111,-1,36
11/12/02,11/21/02,10,1155,1154,-0.000865801,-0.111111111,-1,5
11/26/02,12/5/02,10,1154,1153,-0.000866551,-0.111111111,-1,17
12/22/02,12/31/02,10,1153,1152,-0.000867303,-0.111111111,-1,70
3/11/03,3/20/03,10,1155,1154,-0.000865801,-0.111111111,-1,8
3/28/03,4/10/03,14,1154,1152,-0.001733102,-0.153846154,-2,8
4/18/03,4/28/03,11,1151,1149,-0.001737619,-0.2,-2,9
5/7/03,5/20/03,14,1148,1146,-0.00174216,-0.153846154,-2,6
5/26/03,6/4/03,10,1146,1145,-0.0008726,-0.111111111,-1,3
6/7/03,6/16/03,10,1145,1144,-0.000873362,-0.111111111,-1,8
6/24/03,7/3/03,10,1144,1143,-0.000874126,-0.111111111,-1,12
7/15/03,7/24/03,10,1143,1142,-0.000874891,-0.111111111,-1,59
9/21/03,9/30/03,10,1143,1142,-0.000874891,-0.111111111,-1,28
10/28/03,11/6/03,10,1142,1141,-0.000875657,-0.111111111,-1,6
11/12/03,11/21/03,10,1141,1140,-0.000876424,-0.111111111,-1,7
11/28/03,12/7/03,10,1140,1139,-0.000877193,-0.111111111,-1,49
1/25/04,2/3/04,10,1141,1140,-0.000876424,-0.111111111,-1,44
3/18/04,3/27/04,10,1140,1139,-0.000877193,-0.111111111,-1,7
4/3/04,4/12/04,10,1139,1138,-0.000877963,-0.111111111,-1,8
4/20/04,4/30/04,11,1137,1135,-0.001759015,-0.2,-2,2
5/2/04,5/13/04,12,1135,1133,-0.001762115,-0.181818182,-2,3
5/16/04,6/1/04,17,1133,1130,-0.002647838,-0.1875,-3,12
6/13/04,6/22/04,10,1129,1128,-0.00088574,-0.111111111,-1,19
7/11/04,7/20/04,10,1127,1126,-0.000887311,-0.111111111,-1,51
9/9/04,9/18/04,10,1127,1126,-0.000887311,-0.111111111,-1,199
4/5/05,4/14/05,10,1148,1147,-0.00087108,-0.111111111,-1,2
4/16/05,4/27/05,12,1147,1145,-0.001743679,-0.181818182,-2,1
4/28/05,5/7/05,10,1145,1144,-0.000873362,-0.111111111,-1,4
5/11/05,5/20/05,10,1144,1143,-0.000874126,-0.111111111,-1,3
5/23/05,6/1/05,10,1143,1142,-0.000874891,-0.111111111,-1,1
6/2/05,6/11/05,10,1142,1141,-0.000875657,-0.111111111,-1,18
6/29/05,7/8/05,10,1141,1140,-0.000876424,-0.111111111,-1,10
7/18/05,7/27/05,10,1140,1139,-0.000877193,-0.111111111,-1,26
8/22/05,8/29/05,8,1140,1139,-0.000877193,-0.142857143,-1,16
9/14/05,9/23/05,10,1140,1139,-0.000877193,-0.111111111,-1,4
9/27/05,10/6/05,10,1139,1138,-0.000877963,-0.111111111,-1,10
10/16/05,10/25/05,10,1138,1137,-0.000878735,-0.111111111,-1,22
11/16/05,11/25/05,10,1137,1136,-0.000879507,-0.111111111,-1,2
11/27/05,12/6/05,10,1136,1135,-0.000880282,-0.111111111,-1,96
3/12/06,3/21/06,10,1141,1140,-0.000876424,-0.111111111,-1,8
3/29/06,4/7/06,10,1140,1139,-0.000877193,-0.111111111,-1,1
4/8/06,4/17/06,10,1139,1138,-0.000877963,-0.111111111,-1,1
4/18/06,5/1/06,14,1138,1136,-0.001757469,-0.153846154,-2,2
5/3/06,5/15/06,13,1136,1134,-0.001760563,-0.166666667,-2,2
5/17/06,5/29/06,13,1134,1132,-0.001763668,-0.166666667,-2,13
6/11/06,6/24/06,14,1131,1129,-0.001768347,-0.153846154,-2,3
6/27/06,7/6/06,10,1129,1128,-0.00088574,-0.111111111,-1,11
7/17/06,7/26/06,10,1128,1127,-0.000886525,-0.111111111,-1,42
9/6/06,9/15/06,10,1127,1126,-0.000887311,-0.111111111,-1,10
9/25/06,10/4/06,10,1126,1125,-0.000888099,-0.111111111,-1,144
2/25/07,3/6/07,10,1130,1129,-0.000884956,-0.111111111,-1,2
3/8/07,3/17/07,10,1129,1128,-0.00088574,-0.111111111,-1,1
3/18/07,3/27/07,10,1128,1127,-0.000886525,-0.111111111,-1,6
4/2/07,4/14/07,13,1126,1124,-0.001776199,-0.166666667,-2,5
4/19/07,5/1/07,13,1123,1121,-0.001780944,-0.166666667,-2,6
5/7/07,5/20/07,14,1120,1118,-0.001785714,-0.153846154,-2,2
5/22/07,6/2/07,12,1118,1116,-0.001788909,-0.181818182,-2,2
6/4/07,6/13/07,10,1116,1115,-0.000896057,-0.111111111,-1,4
6/17/07,6/26/07,10,1115,1114,-0.000896861,-0.111111111,-1,4
6/30/07,7/9/07,10,1114,1113,-0.000897666,-0.111111111,-1,5
7/14/07,7/23/07,10,1113,1112,-0.000898473,-0.111111111,-1,51
9/12/07,9/21/07,10,1112,1111,-0.000899281,-0.111111111,-1,164
3/3/08,3/7/08,5,1117,1116,-0.000895255,-0.25,-1,6
3/13/08,3/22/08,10,1118,1117,-0.000894454,-0.111111111,-1,1
3/23/08,4/5/08,14,1117,1115,-0.00179051,-0.153846154,-2,1
4/6/08,4/16/08,11,1115,1113,-0.001793722,-0.2,-2,1
4/17/08,4/30/08,14,1113,1111,-0.001796945,-0.153846154,-2,12
5/12/08,5/22/08,11,1110,1108,-0.001801802,-0.2,-2,4
5/26/08,6/4/08,10,1108,1107,-0.000902527,-0.111111111,-1,1
6/5/08,6/14/08,10,1107,1106,-0.000903342,-0.111111111,-1,4
6/18/08,6/27/08,10,1106,1105,-0.000904159,-0.111111111,-1,55
8/21/08,8/30/08,10,1106,1105,-0.000904159,-0.111111111,-1,85
11/23/08,12/2/08,10,1108,1107,-0.000902527,-0.111111111,-1,55
1/26/09,2/4/09,10,1113,1112,-0.000898473,-0.111111111,-1,8
2/12/09,2/19/09,8,1112,1111,-0.000899281,-0.142857143,-1,6
2/25/09,3/6/09,10,1112,1111,-0.000899281,-0.111111111,-1,3
3/9/09,3/18/09,10,1111,1110,-0.00090009,-0.111111111,-1,1
3/19/09,3/30/09,12,1110,1108,-0.001801802,-0.181818182,-2,6
4/5/09,4/21/09,17,1107,1104,-0.002710027,-0.1875,-3,5
4/26/09,5/9/09,14,1103,1100,-0.002719855,-0.230769231,-3,4
5/13/09,5/26/09,14,1100,1098,-0.001818182,-0.153846154,-2,2
5/28/09,6/9/09,13,1098,1096,-0.001821494,-0.166666667,-2,6
6/15/09,6/19/09,5,1096,1095,-0.000912409,-0.25,-1,6
6/25/09,7/4/09,10,1096,1095,-0.000912409,-0.111111111,-1,23
7/27/09,8/5/09,10,1095,1094,-0.000913242,-0.111111111,-1,84
10/28/09,11/6/09,10,1094,1093,-0.000914077,-0.111111111,-1,119
3/5/10,3/14/10,10,1103,1102,-0.000906618,-0.111111111,-1,8
3/22/10,3/31/10,10,1102,1101,-0.000907441,-0.111111111,-1,1
4/1/10,4/10/10,10,1101,1100,-0.000908265,-0.111111111,-1,3
4/13/10,4/22/10,10,1100,1099,-0.000909091,-0.111111111,-1,3
4/25/10,5/4/10,10,1099,1098,-0.000909918,-0.111111111,-1,1
5/5/10,5/18/10,14,1098,1096,-0.001821494,-0.153846154,-2,5
5/23/10,6/4/10,13,1096,1094,-0.001824818,-0.166666667,-2,1
6/5/10,6/14/10,10,1094,1093,-0.000914077,-0.111111111,-1,5
6/19/10,6/28/10,10,1092,1090,-0.001831502,-0.222222222,-2,1
6/29/10,7/8/10,10,1090,1089,-0.000917431,-0.111111111,-1,5
7/13/10,7/22/10,10,1089,1088,-0.000918274,-0.111111111,-1,3
7/25/10,8/3/10,10,1088,1087,-0.000919118,-0.111111111,-1,15
8/18/10,8/27/10,10,1088,1087,-0.000919118,-0.111111111,-1,8
9/4/10,9/13/10,10,1087,1086,-0.000919963,-0.111111111,-1,3
9/16/10,9/25/10,10,1086,1085,-0.00092081,-0.111111111,-1,18
10/13/10,10/22/10,10,1084,1083,-0.000922509,-0.111111111,-1,4
10/26/10,11/4/10,10,1083,1082,-0.000923361,-0.111111111,-1,158
4/11/11,4/20/11,10,1097,1096,-0.000911577,-0.111111111,-1,21
5/11/11,5/15/11,5,1096,1095,-0.000912409,-0.25,-1,252
1/22/12,1/31/12,10,1135,1134,-0.000881057,-0.111111111,-1,23
2/23/12,3/3/12,10,1134,1133,-0.000881834,-0.111111111,-1,4
3/7/12,3/20/12,14,1133,1131,-0.001765225,-0.153846154,-2,4
3/24/12,4/4/12,12,1131,1129,-0.001768347,-0.181818182,-2,1
4/5/12,4/16/12,12,1129,1127,-0.001771479,-0.181818182,-2,5
4/21/12,4/30/12,10,1126,1124,-0.001776199,-0.222222222,-2,3
5/3/12,5/12/12,10,1124,1122,-0.001779359,-0.222222222,-2,1
5/13/12,5/23/12,11,1123,1121,-0.001780944,-0.2,-2,7
5/30/12,6/12/12,14,1120,1118,-0.001785714,-0.153846154,-2,6
6/18/12,6/30/12,13,1118,1116,-0.001788909,-0.166666667,-2,8
7/8/12,7/17/12,10,1116,1115,-0.000896057,-0.111111111,-1,47
9/2/12,9/11/12,10,1117,1116,-0.000895255,-0.111111111,-1,8
9/19/12,9/28/12,10,1116,1115,-0.000896057,-0.111111111,-1,45
11/12/12,11/21/12,10,1116,1115,-0.000896057,-0.111111111,-1,67
1/27/13,2/1/13,6,1123,1122,-0.000890472,-0.2,-1,9
2/10/13,2/19/13,10,1123,1122,-0.000890472,-0.111111111,-1,16
3/7/13,3/16/13,10,1122,1121,-0.000891266,-0.111111111,-1,1
3/17/13,3/28/13,12,1121,1119,-0.001784121,-0.181818182,-2,4
4/1/13,4/11/13,11,1119,1117,-0.00178731,-0.2,-2,5
4/16/13,4/27/13,12,1116,1114,-0.001792115,-0.181818182,-2,1
4/28/13,5/7/13,10,1114,1112,-0.001795332,-0.222222222,-2,3
5/10/13,5/19/13,10,1112,1111,-0.000899281,-0.111111111,-1,5
5/24/13,6/3/13,11,1110,1108,-0.001801802,-0.2,-2,10
6/13/13,6/22/13,10,1108,1107,-0.000902527,-0.111111111,-1,2
6/24/13,7/3/13,10,1107,1106,-0.000903342,-0.111111111,-1,5
7/8/13,7/17/13,10,1106,1105,-0.000904159,-0.111111111,-1,78
10/3/13,10/13/13,11,1107,1105,-0.001806685,-0.2,-2,3
10/16/13,10/25/13,10,1105,1104,-0.000904977,-0.111111111,-1,2
10/27/13,11/5/13,10,1105,1104,-0.000904977,-0.111111111,-1,19
11/24/13,12/3/13,10,1107,1106,-0.000903342,-0.111111111,-1,63
2/4/14,2/13/14,10,1109,1108,-0.000901713,-0.111111111,-1,6
2/19/14,2/28/14,10,1109,1108,-0.000901713,-0.111111111,-1,3
3/3/14,3/14/14,12,1108,1106,-0.001805054,-0.181818182,-2,1
3/15/14,4/5/14,22,1106,1101,-0.004520796,-0.238095238,-5,4
4/9/14,4/25/14,17,1100,1096,-0.003636364,-0.25,-4,1
4/26/14,5/5/14,10,1096,1094,-0.001824818,-0.222222222,-2,6
5/11/14,5/27/14,17,1093,1089,-0.003659652,-0.25,-4,3
5/30/14,6/10/14,12,1088,1086,-0.001838235,-0.181818182,-2,2
6/12/14,6/24/14,13,1086,1084,-0.001841621,-0.166666667,-2,1
6/25/14,7/6/14,12,1084,1082,-0.001845018,-0.181818182,-2,10
7/16/14,7/25/14,10,1082,1081,-0.000924214,-0.111111111,-1,12
8/6/14,8/15/14,10,1081,1080,-0.000925069,-0.111111111,-1,20
9/4/14,9/13/14,10,1082,1081,-0.000924214,-0.111111111,-1,1
9/14/14,9/23/14,10,1082,1081,-0.000924214,-0.111111111,-1,43
11/5/14,11/12/14,8,1083,1082,-0.000923361,-0.142857143,-1,6
11/18/14,11/27/14,10,1085,1084,-0.000921659,-0.111111111,-1,97
3/4/15,3/13/15,10,1089,1088,-0.000918274,-0.111111111,-1,6
3/19/15,3/30/15,12,1087,1085,-0.001839926,-0.181818182,-2,3
4/2/15,4/12/15,11,1085,1083,-0.001843318,-0.2,-2,4
4/16/15,4/28/15,13,1082,1080,-0.001848429,-0.166666667,-2,8
5/6/15,5/17/15,12,1079,1077,-0.001853568,-0.181818182,-2,14
5/31/15,6/9/15,10,1077,1076,-0.000928505,-0.111111111,-1,3
6/12/15,6/21/15,10,1076,1075,-0.000929368,-0.111111111,-1,44
8/4/15,8/13/15,10,1079,1078,-0.000926784,-0.111111111,-1,53
10/5/15,10/14/15,10,1079,1078,-0.000926784,-0.111111111,-1,43
11/26/15,12/4/15,9,1079,1078,-0.000926784,-0.125,-1,93
3/6/16,3/15/16,10,1084,1083,-0.000922509,-0.111111111,-1,9
3/24/16,4/4/16,12,1082,1080,-0.001848429,-0.181818182,-2,2
4/6/16,4/18/16,13,1080,1078,-0.001851852,-0.166666667,-2,2
4/20/16,5/2/16,13,1078,1076,-0.001855288,-0.166666667,-2,6
5/8/16,5/17/16,10,1076,1075,-0.000929368,-0.111111111,-1,2
5/19/16,5/28/16,10,1075,1074,-0.000930233,-0.111111111,-1,4
6/1/16,6/10/16,10,1074,1073,-0.000931099,-0.111111111,-1,7
6/17/16,6/26/16,10,1073,1072,-0.000931966,-0.111111111,-1,143
11/16/16,11/29/16,14,1079,1077,-0.001853568,-0.153846154,-2,93
3/2/17,3/11/17,10,1090,1089,-0.000917431,-0.111111111,-1,17
3/28/17,4/6/17,10,1089,1088,-0.000918274,-0.111111111,-1,8
4/14/17,4/23/17,10,1087,1086,-0.000919963,-0.111111111,-1,2
4/25/17,5/7/17,13,1086,1084,-0.001841621,-0.166666667,-2,7
5/14/17,5/23/17,10,1084,1083,-0.000922509,-0.111111111,-1,8
5/31/17,6/9/17,10,1082,1081,-0.000924214,-0.111111111,-1,10
6/19/17,6/28/17,10,1081,1080,-0.000925069,-0.111111111,-1,6
7/4/17,7/13/17,10,1080,1079,-0.000925926,-0.111111111,-1,58
9/9/17,9/17/17,9,1082,1081,-0.000924214,-0.125,-1,57
11/13/17,11/22/17,10,1082,1081,-0.000924214,-0.111111111,-1,134
4/5/18,4/18/18,14,1088,1086,-0.001838235,-0.153846154,-2,4
4/22/18,5/4/18,13,1086,1084,-0.001841621,-0.166666667,-2,3
