Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
2/6/97,2/7/97,2,1196.0,1195.0,-1.0
7/20/97,7/21/97,2,1204.0,1203.0,-1.0
7/22/97,7/25/97,4,1204.0,1203.0,-1.0
7/30/97,7/31/97,2,1204.0,1203.0,-1.0
5/27/98,5/30/98,4,1212.0,1211.0,-1.0
6/1/98,6/2/98,2,1212.0,1211.0,-1.0
6/24/99,6/26/99,3,1207.0,1206.0,-1.0
7/14/99,7/15/99,2,1207.0,1206.0,-1.0
11/22/99,11/24/99,3,1213.0,1212.0,-1.0
5/3/00,5/4/00,2,1209.0,1208.0,-1.0
10/29/00,10/30/00,2,1197.0,1196.0,-1.0
8/2/01,8/3/01,2,1181.0,1180.0,-1.0
7/16/02,7/17/02,2,1159.0,1158.0,-1.0
7/18/02,7/19/02,2,1159.0,1158.0,-1.0
1/7/03,1/9/03,3,1153.0,1152.0,-1.0
5/22/03,5/25/03,4,1146.0,1145.0,-1.0
11/26/03,11/27/03,2,1140.0,1139.0,-1.0
1/30/06,2/1/06,3,1140.0,1139.0,-1.0
7/29/06,7/31/06,3,1127.0,1126.0,-1.0
8/9/06,8/12/06,4,1127.0,1126.0,-1.0
9/4/06,9/5/06,2,1127.0,1126.0,-1.0
10/9/06,10/10/06,2,1126.0,1125.0,-1.0
6/14/07,6/16/07,3,1115.0,1114.0,-1.0
7/29/07,7/30/07,2,1112.0,1111.0,-1.0
7/30/08,8/2/08,4,1105.0,1104.0,-1.0
11/19/08,11/22/08,4,1108.0,1107.0,-1.0
6/23/09,6/24/09,2,1096.0,1095.0,-1.0
11/30/09,12/3/09,4,1094.0,1093.0,-1.0
5/21/10,5/22/10,2,1096.0,1095.0,-1.0
12/12/10,12/13/10,2,1084.0,1083.0,-1.0
2/8/13,2/9/13,2,1123.0,1122.0,-1.0
7/26/13,7/27/13,2,1106.0,1105.0,-1.0
11/21/13,11/23/13,3,1107.0,1106.0,-1.0
7/31/14,8/2/14,3,1081.0,1080.0,-1.0
10/7/14,10/8/14,2,1082.0,1081.0,-1.0
1/29/15,1/30/15,2,1089.0,1088.0,-1.0
5/5/16,5/6/16,2,1076.0,1075.0,-1.0
12/1/16,12/3/16,3,1077.0,1076.0,-1.0
3/21/17,3/22/17,2,1089.0,1088.0,-1.0
3/23/17,3/24/17,2,1089.0,1088.0,-1.0
9/6/17,9/8/17,3,1082.0,1081.0,-1.0
7/6/18,7/7/18,2,1077.0,1076.0,-1.0
7/10/18,7/11/18,2,1077.0,1076.0,-1.0
