Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,3,0.07123287671232877,8.666666666666666,1.8856180831641267,-0.000277734475397308,7.856277365555485e-05,-0.04888888888887643,0.023796116154370887,-0.12999999999988177
1998,18,0.5589041095890411,11.333333333333334,5.174724898753341,-0.0004666381924569448,0.00042955707099818065,-0.048333765000436034,0.02426164603837865,-0.2400000000000091
1999,10,0.33424657534246577,12.2,6.910861017268399,-0.000677497014328312,0.0006621005723406746,-0.06628054298642332,0.029023367520323595,-0.5499999999999545
2000,12,0.7150684931506849,21.75,28.670905694332948,-0.00142058769406978,0.002688327709400988,-0.055808983985352896,0.027430071473494327,-0.2699999999999818
2001,11,0.673972602739726,22.363636363636363,27.160374636834874,-0.0016174621574612184,0.0030242475049061246,-0.06466370750461983,0.03098027176165402,-0.25
2002,15,0.8273972602739726,20.133333333333333,24.352595116103927,-0.0015503634673380588,0.003268159172789701,-0.06360018993352459,0.033578178667073265,-0.2599999999999909
2003,14,0.6219178082191781,16.214285714285715,17.542513956624557,-0.0011440365875939565,0.0019356524336028589,-0.06840115440115616,0.026919758400558103,-0.3400000000001455
2004,14,0.5753424657534246,15.0,16.941074346097416,-0.0010815181685048338,0.0021876969076949633,-0.061701433487151854,0.032262252750224873,-0.36000000000012733
2005,17,0.5643835616438356,12.117647058823529,5.8499105366832085,-0.0007311096268611494,0.0006932636711489533,-0.07071134094663446,0.036652281696299624,-0.2699999999999818
2006,12,0.5616438356164384,17.083333333333332,12.419462772421179,-0.0012922617014925778,0.0017103539718453993,-0.07183053928642126,0.03415647746564243,-0.2899999999999636
2007,12,0.5945205479452055,18.083333333333332,20.76237917216832,-0.0015877233371254084,0.0028784621793897193,-0.07247327775105493,0.03375085367405438,-0.32999999999992724
2008,13,0.5178082191780822,14.538461538461538,23.033805873492803,-0.0012556945623805808,0.0027423918439479175,-0.08330162668872751,0.04023888391332989,-0.2799999999999727
2009,11,0.5671232876712329,18.818181818181817,24.390080628358962,-0.0016735371871123886,0.0036449812873059375,-0.06436301287364928,0.035872721854834956,-0.39000000000010004
2010,14,0.6684931506849315,17.428571428571427,10.688540497148509,-0.0015675324777143212,0.0015170348388973162,-0.08935630917991792,0.02728724189713286,-0.2700000000002092
2011,5,0.11232876712328767,8.2,2.4,-0.00036485702997898165,0.00019969218429276005,-0.05399999999999636,0.017178798302299837,-0.18000000000006366
2012,12,0.6109589041095891,18.583333333333332,22.2315778917187,-0.0017297524133665322,0.0029418532419079584,-0.07632714256318372,0.037654517844750345,-0.3300000000001546
2013,12,0.6136986301369863,18.666666666666668,25.600564229893234,-0.001716117744168094,0.003434552144191645,-0.07158333333332782,0.03663512129654975,-0.36000000000012733
2014,10,0.5780821917808219,21.1,38.051149785518966,-0.0029334389270219557,0.007024007961990182,-0.09713707105497611,0.037470649957494204,-0.4199999999998454
2015,13,0.5013698630136987,14.076923076923077,14.376591756481936,-0.001276494190712732,0.002378123906294257,-0.0813108310311815,0.045855486747824574,-0.38000000000010914
2016,9,0.4821917808219178,19.555555555555557,20.320275102638586,-0.0016865573599579497,0.00240884298599501,-0.07799841858665818,0.028050276963056387,-0.3400000000001455
2017,16,0.5342465753424658,12.1875,8.70501830842417,-0.0007718353854107892,0.0009826292422749892,-0.06056194165030411,0.027200125797919254,-0.2999999999999545
2018,11,0.4931506849315068,16.363636363636363,20.01941206689478,-0.0013238192976884353,0.002454859998615668,-0.06925659667286282,0.028150532459184884,-0.2799999999999727
2019,14,0.4328767123287671,11.285714285714286,5.0487420134492265,-0.0006048402865732811,0.0005266043790336618,-0.0608183170213228,0.02677499060796053,-0.22000000000002728
2020,11,0.5863013698630137,19.454545454545453,22.544354811887995,-0.0015958998355455006,0.002970387298422984,-0.068451625968426,0.02948629276169345,-0.31999999999993634
