Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
1/24/97,1/29/97,6,641.4,641.2,-0.0003118178983472588,-0.03999999999998636
2/10/97,2/17/97,8,642.2,641.8,-0.0006228589224542057,-0.05714285714287014
4/2/97,4/6/97,5,644.0,643.4,-0.0009316770186335757,-0.15000000000000568
4/20/97,4/29/97,10,644.6,643.4,-0.0018616196090599525,-0.13333333333333838
5/2/97,5/7/97,6,644.0,643.4,-0.0009316770186335757,-0.12000000000000455
5/20/97,5/24/97,5,643.6,643.4,-0.00031075201988819994,-0.05000000000001137
5/30/97,6/8/97,10,645.0,643.4,-0.002480620155038795,-0.1777777777777803
6/20/97,7/2/97,13,644.8,643.2,-0.0024813895781636308,-0.13333333333332575
7/10/97,7/17/97,8,643.4,641.4,-0.003108486167236556,-0.2857142857142857
8/1/97,8/6/97,6,642.8,642.0,-0.001244555071561846,-0.1599999999999909
8/22/97,8/27/97,6,641.8,640.8,-0.0015581177937052041,-0.2
8/29/97,9/4/97,7,641.0,640.4,-0.0009360374414976954,-0.1000000000000038
9/16/97,9/21/97,6,641.4,640.0,-0.002182725288431521,-0.2799999999999955
10/3/97,10/14/97,12,642.8,639.8,-0.004667081518357188,-0.2727272727272727
10/15/97,11/3/97,20,640.0,634.4,-0.008750000000000036,-0.29473684210526435
11/5/97,11/10/97,6,634.8,634.0,-0.0012602394454945725,-0.1599999999999909
11/25/97,11/29/97,5,635.2,634.4,-0.0012594458438288227,-0.20000000000001705
12/30/97,1/4/98,6,643.2,642.2,-0.0015547263681592038,-0.2
1/23/98,2/5/98,14,643.4,642.0,-0.002175940317065554,-0.10769230769230595
2/10/98,2/16/98,7,642.6,641.6,-0.001556178026766262,-0.16666666666666666
3/26/98,3/30/98,5,641.6,641.0,-0.0009351620947631277,-0.15000000000000568
5/1/98,5/10/98,10,644.0,641.0,-0.004658385093167702,-0.3333333333333333
6/5/98,6/9/98,5,644.6,643.4,-0.0018616196090599525,-0.30000000000001137
6/16/98,6/22/98,7,644.4,642.6,-0.0027932960893854043,-0.29999999999999244
6/29/98,7/4/98,6,643.0,642.0,-0.0015552099533437014,-0.2
7/10/98,7/15/98,6,643.4,642.6,-0.0012433944668945518,-0.1599999999999909
7/21/98,7/26/98,6,643.6,643.0,-0.0009322560596644232,-0.12000000000000455
7/27/98,8/2/98,7,643.2,642.0,-0.0018656716417911154,-0.2000000000000076
8/6/98,8/10/98,5,643.0,642.0,-0.0015552099533437014,-0.25
8/14/98,8/19/98,6,643.0,642.0,-0.0015552099533437014,-0.2
9/3/98,9/14/98,12,643.8,638.8,-0.007766387076731905,-0.45454545454545453
9/28/98,10/5/98,8,644.8,642.8,-0.003101736972704715,-0.2857142857142857
10/8/98,10/12/98,5,643.0,642.2,-0.0012441679626748903,-0.19999999999998863
10/22/98,10/28/98,7,644.0,642.0,-0.003105590062111801,-0.3333333333333333
11/6/98,11/10/98,5,641.4,640.8,-0.0009354536950421309,-0.15000000000000568
11/12/98,11/17/98,6,641.2,640.0,-0.0018714909544604575,-0.2400000000000091
11/18/98,11/22/98,5,640.4,639.4,-0.0015615240474703312,-0.25
12/2/98,12/6/98,5,639.8,638.0,-0.0028133791809939897,-0.44999999999998863
12/11/98,12/16/98,6,638.6,636.8,-0.002818665831506527,-0.36000000000001364
12/23/98,12/29/98,7,639.0,635.6,-0.005320813771517961,-0.5666666666666629
2/11/99,2/21/99,11,645.2,643.4,-0.002789832610043503,-0.18000000000000682
2/23/99,2/28/99,6,643.6,642.2,-0.0021752641392168695,-0.2799999999999955
3/11/99,3/15/99,5,644.2,643.8,-0.00062092517851613,-0.10000000000002274
3/19/99,3/24/99,6,644.2,642.4,-0.0027941633033220555,-0.36000000000001364
4/21/99,4/25/99,5,643.4,641.8,-0.00248678893378928,-0.4000000000000057
4/28/99,5/2/99,5,642.4,641.0,-0.0021793275217932397,-0.3499999999999943
5/28/99,6/6/99,10,644.8,642.2,-0.004032258064515988,-0.28888888888887876
6/18/99,6/24/99,7,643.8,643.0,-0.0012426219322770342,-0.13333333333332575
6/25/99,7/5/99,11,643.4,641.2,-0.0034193347839601056,-0.21999999999999317
7/16/99,7/22/99,7,644.2,643.4,-0.0012418503570320834,-0.1333333333333447
7/23/99,7/28/99,6,643.6,642.2,-0.0021752641392168695,-0.2799999999999955
8/4/99,8/10/99,7,643.2,642.0,-0.0018656716417911154,-0.2000000000000076
8/27/99,9/6/99,11,644.6,641.6,-0.004654049022649705,-0.3
9/7/99,9/12/99,6,641.8,640.6,-0.0018697413524461387,-0.23999999999998636
9/14/99,9/21/99,8,640.8,637.8,-0.0046816479400749065,-0.42857142857142855
9/23/99,10/4/99,12,638.0,635.4,-0.004075235109717904,-0.23636363636363844
10/5/99,10/19/99,15,635.6,629.0,-0.010383889238514825,-0.47142857142857303
11/9/99,11/14/99,6,633.6,632.4,-0.0018939393939394655,-0.2400000000000091
11/23/99,11/27/99,5,634.4,633.0,-0.0022068095838587284,-0.3499999999999943
12/28/99,1/2/00,6,639.6,638.6,-0.0015634771732332708,-0.2
2/3/00,2/7/00,5,642.6,642.0,-0.0009337068160597926,-0.15000000000000568
