Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
1/10/97,1/12/97,3,639.2,638.8,-0.40000000000009095
1/20/97,1/22/97,3,640.8,640.6,-0.1999999999999318
1/31/97,2/2/97,3,642.0,641.6,-0.39999999999997726
2/7/97,2/9/97,3,642.4,642.0,-0.39999999999997726
2/21/97,2/23/97,3,642.4,641.8,-0.6000000000000227
2/24/97,2/25/97,2,642.0,641.6,-0.39999999999997726
3/1/97,3/2/97,2,642.6,642.4,-0.20000000000004547
3/14/97,3/16/97,3,643.4,643.2,-0.1999999999999318
3/22/97,3/23/97,2,644.2,643.8,-0.40000000000009095
3/27/97,3/28/97,2,644.0,643.8,-0.20000000000004547
3/29/97,3/30/97,2,644.0,643.8,-0.20000000000004547
4/12/97,4/13/97,2,644.0,643.8,-0.20000000000004547
5/9/97,5/10/97,2,643.8,643.4,-0.39999999999997726
5/16/97,5/19/97,4,643.8,643.4,-0.39999999999997726
6/13/97,6/15/97,3,644.2,643.6,-0.6000000000000227
7/3/97,7/6/97,4,643.4,642.4,-1.0
7/18/97,7/21/97,4,641.6,641.0,-0.6000000000000227
7/25/97,7/27/97,3,642.4,642.0,-0.39999999999997726
8/8/97,8/11/97,4,642.2,641.0,-1.2000000000000455
8/15/97,8/17/97,3,641.8,641.0,-0.7999999999999545
9/11/97,9/14/97,4,641.2,640.8,-0.40000000000009095
11/14/97,11/15/97,2,634.6,634.2,-0.39999999999997726
11/21/97,11/24/97,4,635.2,634.8,-0.40000000000009095
12/12/97,12/13/97,2,638.0,637.8,-0.20000000000004547
1/16/98,1/19/98,4,644.4,643.2,-1.1999999999999318
2/6/98,2/8/98,3,642.4,642.0,-0.39999999999997726
2/20/98,2/22/98,3,642.4,641.4,-1.0
2/24/98,2/27/98,4,641.6,641.2,-0.39999999999997726
2/28/98,3/1/98,2,641.6,641.2,-0.39999999999997726
3/2/98,3/3/98,2,641.4,641.2,-0.1999999999999318
3/6/98,3/7/98,2,642.0,641.8,-0.20000000000004547
3/11/98,3/12/98,2,642.8,642.6,-0.1999999999999318
3/13/98,3/16/98,4,642.8,642.0,-0.7999999999999545
3/20/98,3/23/98,4,642.4,641.4,-1.0
3/24/98,3/25/98,2,641.6,641.4,-0.20000000000004547
4/4/98,4/5/98,2,642.4,642.0,-0.39999999999997726
4/10/98,4/12/98,3,643.6,642.8,-0.8000000000000682
4/17/98,4/19/98,3,644.6,643.8,-0.8000000000000682
4/23/98,4/26/98,4,644.8,643.0,-1.7999999999999545
5/22/98,5/25/98,4,645.2,644.0,-1.2000000000000455
5/29/98,5/31/98,3,645.6,644.4,-1.2000000000000455
6/1/98,6/4/98,4,644.8,644.2,-0.599999999999909
6/12/98,6/14/98,3,644.2,643.6,-0.6000000000000227
6/26/98,6/28/98,3,643.4,642.8,-0.6000000000000227
7/18/98,7/19/98,2,643.4,643.2,-0.1999999999999318
8/28/98,8/31/98,4,643.6,643.2,-0.39999999999997726
9/19/98,9/20/98,2,641.8,641.6,-0.1999999999999318
9/25/98,9/27/98,3,644.6,644.2,-0.39999999999997726
10/16/98,10/18/98,3,643.2,642.8,-0.40000000000009095
10/29/98,11/1/98,4,642.2,640.8,-1.400000000000091
11/3/98,11/5/98,3,641.4,641.2,-0.1999999999999318
11/25/98,11/28/98,4,640.4,639.6,-0.7999999999999545
12/9/98,12/10/98,2,638.6,638.2,-0.39999999999997726
12/18/98,12/20/98,3,637.6,637.0,-0.6000000000000227
12/31/98,1/3/99,4,636.8,636.6,-0.1999999999999318
1/12/99,1/14/99,3,640.4,639.8,-0.6000000000000227
1/15/99,1/17/99,3,640.0,639.8,-0.20000000000004547
1/19/99,1/20/99,2,640.2,640.0,-0.20000000000004547
1/21/99,1/24/99,4,640.4,639.8,-0.6000000000000227
1/29/99,1/31/99,3,641.6,641.2,-0.39999999999997726
3/5/99,3/7/99,3,643.8,643.2,-0.599999999999909
3/26/99,3/28/99,3,642.6,641.6,-1.0
4/3/99,4/4/99,2,642.4,642.0,-0.39999999999997726
4/9/99,4/11/99,3,643.0,642.0,-1.0
4/16/99,4/18/99,3,643.6,642.8,-0.8000000000000682
5/7/99,5/9/99,3,643.2,642.4,-0.8000000000000682
5/13/99,5/16/99,4,643.6,643.0,-0.6000000000000227
5/21/99,5/23/99,3,644.0,643.4,-0.6000000000000227
