Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,18,0.3972602739726027,8.055555555555555,3.718903993595458,-0.0020252126199162136,0.0019362472815060022,-0.16748698345189686,0.07780831544021428,-0.6699999999999591
1998,22,0.410958904109589,6.818181818181818,2.3088045634909626,-0.00241939740062745,0.0016165620286449024,-0.26263418399782096,0.11543696553529628,-1.02699999999993
1999,20,0.4246575342465753,7.75,2.8084693339967237,-0.002917604570995461,0.0020377801981034394,-0.26959595959596067,0.09863033331882713,-1.1440000000001191
2000,15,0.33424657534246577,8.133333333333333,6.8104494875318045,-0.0030519487324995207,0.004097988298608482,-0.24757407407407037,0.09831755819616544,-0.8460000000000036
2001,22,0.4465753424657534,7.409090909090909,4.217486227914044,-0.002166752995732848,0.0016168025876550837,-0.21716312672834384,0.09230248379875816,-0.9809999999999945
2002,20,0.40821917808219177,7.45,2.6358110706194404,-0.0019948210780102804,0.0014927510779725738,-0.1930714285714305,0.10504908959381726,-0.7450000000000045
2003,18,0.410958904109589,8.333333333333334,4.096068575814836,-0.0023879990690370127,0.0019929208196566945,-0.19348244348244215,0.07968897860364126,-0.6499999999999773
2004,22,0.5150684931506849,8.545454545454545,4.271760045262084,-0.0020266509221723455,0.0015488224469863792,-0.16825216450216465,0.08498516825973836,-0.8300000000000409
2005,17,0.4520547945205479,9.705882352941176,6.104624147820991,-0.002673742552948612,0.0020002010299892017,-0.21337547299621443,0.11199568652992388,-1.3400000000000318
2006,21,0.4575342465753425,7.9523809523809526,3.1844292375810452,-0.0019474436197419783,0.0012733911761930678,-0.1817267917267924,0.101720003192024,-0.9099999999999682
2007,18,0.410958904109589,8.333333333333334,4.216370213557839,-0.0021641799806323384,0.0016260274241369605,-0.18359579504316345,0.06725445134057587,-0.6599999999999682
2008,17,0.39452054794520547,8.470588235294118,5.314991528506597,-0.0025847911572931446,0.0026282499334170854,-0.21329626800214896,0.10044196626168814,-0.6800000000000637
2009,22,0.4794520547945205,7.954545454545454,3.4703585448411616,-0.002169455115912255,0.0014456519125526591,-0.1981782106782091,0.06883658715260797,-0.6800000000000637
2010,20,0.4986301369863014,9.1,4.646504062195577,-0.0022914273074828248,0.0016885984566869933,-0.1809043374925741,0.08170514964420142,-0.7400000000000091
2011,17,0.4684931506849315,10.058823529411764,8.249567462709745,-0.0023810646976885463,0.0029003463758791106,-0.16631613484554747,0.06698491542007379,-0.5299999999999727
2012,15,0.4136986301369863,10.066666666666666,10.541768774209048,-0.0028837980170279176,0.004203665488021611,-0.19297568389057768,0.07390127237923118,-0.9700000000000273
2013,20,0.4821917808219178,8.8,4.995998398718719,-0.0023046862536172667,0.002008278433451694,-0.17048953823953375,0.0552885115144253,-0.6200000000000045
2014,19,0.4301369863013699,8.263157894736842,3.353585752015577,-0.002050032362064284,0.0017491007367311016,-0.1671664008506135,0.06478772499666383,-0.7720000000000482
2015,19,0.4547945205479452,8.736842105263158,3.0752339279982195,-0.0020496075450109584,0.0011658351590882543,-0.1717973254815368,0.07120731718204296,-0.9559999999999036
2016,20,0.4383561643835616,8.0,4.806245936279167,-0.001617848232859044,0.002252597689225953,-0.12978554778555196,0.05265611961397048,-0.6050000000000182
2017,18,0.3863013698630137,7.833333333333333,5.909032633745279,-0.0019677896964076895,0.0023986546801807594,-0.17666666666666866,0.07434487537031084,-0.7570000000000618
2018,16,0.410958904109589,9.375,6.193494570918747,-0.0019256721304786245,0.002363972775726954,-0.13809523809523883,0.05003825067497842,-0.8500000000000227
2019,18,0.4136986301369863,8.38888888888889,5.176215787285458,-0.0016250941841748038,0.0013832406085301796,-0.14672568172568223,0.0695757182282815,-0.5470000000000255
2020,18,0.44931506849315067,9.11111111111111,3.5728744868474505,-0.002023582537942379,0.001546974847544635,-0.15056980056979818,0.06810805140614332,-0.8010000000000446
