Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,14,0.3287671232876712,8.571428571428571,3.45820526768863,-0.002668183070540353,0.0013726392709799268,-0.23478188478188478,0.06630843947337244,-0.6699999999999591
1998,20,0.4657534246575342,8.5,2.5199206336708304,-0.0028003714432586354,0.001600717545355945,-0.24892857142857147,0.11392559969143973,-1.02699999999993
1999,17,0.4410958904109589,9.470588235294118,3.3801783290726215,-0.003576939899539892,0.0022719440282539067,-0.27780748663101607,0.11295709978107424,-1.1440000000001191
2000,17,0.4465753424657534,9.588235294117647,6.651482130538424,-0.00320396627132578,0.003972797572706214,-0.2307985939473829,0.1194136700265907,-0.8460000000000036
2001,16,0.4,9.125,3.179524335494226,-0.0030190457523177503,0.0011654007882309224,-0.2626848845598846,0.11303955323756273,-0.9809999999999945
2002,14,0.3643835616438356,9.5,3.698455275999891,-0.0025588461109059303,0.0019999292294882796,-0.1893424036281179,0.06814360790323806,-0.7450000000000045
2003,17,0.4054794520547945,8.705882352941176,3.2857035397103393,-0.002748958749443972,0.0018936766321175837,-0.23797852474323064,0.11243160945320509,-0.6499999999999773
2004,17,0.4191780821917808,9.0,2.5895718474182514,-0.002291820630900339,0.001081741886894197,-0.20335481511952103,0.11943635908734034,-0.8300000000000409
2005,16,0.4328767123287671,9.875,3.3330729064933458,-0.002820231763769658,0.0015756523993740103,-0.20923295454545454,0.09412148234755695,-1.3400000000000318
2006,16,0.4054794520547945,9.25,3.3819373146171707,-0.002341201104611633,0.0013539978637811868,-0.1824142156862745,0.05021250321021005,-0.9099999999999682
2007,17,0.42191780821917807,9.058823529411764,4.290490006778934,-0.002473778111678662,0.001320329945551108,-0.20975723622782447,0.07355621760283548,-0.6599999999999682
2008,15,0.37534246575342467,9.133333333333333,4.573352769637999,-0.0030109517207024756,0.002700471105041387,-0.23431154192023756,0.09622496189281027,-0.6800000000000637
2009,15,0.3917808219178082,9.533333333333333,3.9135093657171125,-0.0029111938316932636,0.0019602136927921125,-0.22346560846560848,0.09136283124234203,-0.6800000000000637
2010,16,0.4520547945205479,10.3125,3.0355961111452228,-0.0026282469347043355,0.001319058802453366,-0.1815067897788486,0.058564547375563526,-0.7400000000000091
2011,15,0.4246575342465753,10.333333333333334,3.858612300930075,-0.002493074166193041,0.0019536727033677877,-0.16363469059121233,0.06002355946376712,-0.5299999999999727
2012,15,0.3835616438356164,9.333333333333334,2.796823595120404,-0.002601153260874758,0.0013681745081303629,-0.2063954563954564,0.08031276646258963,-0.9700000000000273
2013,13,0.3315068493150685,9.307692307692308,4.083449058457537,-0.0027545656532633445,0.0017382364785697463,-0.21066915540599748,0.047779607749245126,-0.6200000000000045
2014,12,0.3095890410958904,9.416666666666666,2.1778557242286634,-0.002597112803923753,0.001726930207804305,-0.18726851851851853,0.06817556911756435,-0.7720000000000482
2015,16,0.41643835616438357,9.5,2.7386127875258306,-0.002528622319147132,0.001081660136204116,-0.20945391414141415,0.1077139341444551,-0.9559999999999036
2016,15,0.410958904109589,10.0,4.618802153517006,-0.002384998436993649,0.002335791361599667,-0.1605714285714286,0.06397669013653648,-0.6050000000000182
2017,10,0.25205479452054796,9.2,2.749545416973504,-0.002798920602140198,0.0011682770380714031,-0.22227272727272726,0.052282583367886847,-0.7570000000000618
2018,14,0.3506849315068493,9.142857142857142,2.614715031103304,-0.0022253886983085967,0.0009759996786710166,-0.18401875901875903,0.06288656950488648,-0.8500000000000227
2019,15,0.38082191780821917,9.266666666666667,2.0154955277107964,-0.0017640358546759205,0.0007774379255431679,-0.14351851851851855,0.055012780657455365,-0.5470000000000255
2020,14,0.3561643835616438,9.285714285714286,3.7307328163430276,-0.002781028499436107,0.0015744442418889114,-0.21488749345892202,0.05319521049690853,-0.8010000000000446
