Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
2/5/97,2/14/97,10,2062.8,2062.4,-0.00019391118867563065,-0.04444444444445455
2/16/97,2/25/97,10,2062.6,2062.4,-9.696499563648701e-05,-0.02222222222220201
3/6/97,3/11/97,6,2062.4,2062.0,-0.0001939487975174995,-0.0800000000000182
3/24/97,4/17/97,25,2082.2,2065.0,-0.00826049370857738,-0.7166666666666591
4/23/97,5/4/97,12,2067.6,2064.8,-0.0013542271232345362,-0.25454545454542976
6/18/97,6/27/97,10,2065.2,2065.0,-9.684292078240274e-05,-0.02222222222220201
7/11/97,7/17/97,7,2065.6,2065.2,-0.00019364833462436626,-0.06666666666668182
7/20/97,8/1/97,13,2066.0,2065.0,-0.000484027105517909,-0.08333333333333333
8/5/97,8/14/97,10,2065.0,2064.6,-0.00019370460048430554,-0.04444444444445455
8/19/97,9/7/97,20,2064.4,2063.4,-0.00048440224762642895,-0.05263157894736842
9/18/97,9/27/97,10,2063.2,2063.0,-9.693679720813209e-05,-0.02222222222220201
10/2/97,10/11/97,10,2063.0,2062.8,-9.69461948617635e-05,-0.02222222222220201
1/3/98,1/14/98,12,2062.8,2062.4,-0.00019391118867563065,-0.03636363636364463
1/15/98,1/24/98,10,2062.4,2062.2,-9.697439875886e-05,-0.02222222222225254
3/18/98,3/25/98,8,2062.2,2061.8,-0.0001939676074093862,-0.05714285714280517
4/13/98,4/22/98,10,2065.4,2065.2,-9.683354313947557e-05,-0.02222222222225254
4/25/98,5/4/98,10,2065.2,2065.0,-9.684292078240274e-05,-0.02222222222220201
5/28/98,6/9/98,13,2064.8,2064.2,-0.0002905850445565497,-0.05000000000003032
6/23/98,7/4/98,12,2066.4,2064.8,-0.0007742934572202425,-0.14545454545453718
7/11/98,7/31/98,21,2064.8,2063.0,-0.0008717551336692085,-0.0900000000000091
8/1/98,8/13/98,13,2063.2,2062.8,-0.00019387359441626418,-0.03333333333330302
8/23/98,9/5/98,14,2067.2,2064.4,-0.0013544891640865555,-0.21538461538459439
9/6/98,9/12/98,7,2064.4,2064.0,-0.00019376089905061565,-0.06666666666668182
9/13/98,9/17/98,5,2064.2,2063.8,-0.00019377967251217723,-0.09999999999990905
9/18/98,10/4/98,17,2064.0,2063.2,-0.00038759689922489434,-0.05000000000001137
10/30/98,11/3/98,5,2063.6,2063.4,-9.691800736568042e-05,-0.049999999999954525
12/4/98,12/13/98,10,2064.6,2064.4,-9.6871064612912e-05,-0.02222222222220201
12/16/98,12/25/98,10,2064.4,2064.2,-9.688044952541795e-05,-0.02222222222225254
12/28/98,1/6/99,10,2064.2,2064.0,-9.688983625608861e-05,-0.02222222222220201
1/15/99,1/24/99,10,2064.0,2063.8,-9.689922480611342e-05,-0.02222222222220201
1/28/99,2/7/99,11,2063.8,2063.0,-0.00038763446070364465,-0.0800000000000182
3/4/99,3/14/99,11,2069.0,2065.6,-0.0016433059449009622,-0.3400000000000091
3/19/99,3/29/99,11,2067.2,2064.8,-0.0011609907120741275,-0.23999999999996363
4/14/99,4/18/99,5,2065.2,2064.8,-0.00019368584156480547,-0.09999999999990905
4/19/99,4/28/99,10,2065.0,2064.6,-0.00019370460048430554,-0.04444444444445455
5/19/99,5/29/99,11,2065.6,2064.2,-0.0006777691711851719,-0.1400000000000091
7/9/99,7/18/99,10,2064.6,2064.0,-0.00029061319383895623,-0.06666666666665656
7/19/99,7/28/99,10,2064.2,2063.4,-0.00038755934502457477,-0.08888888888885857
7/29/99,8/11/99,14,2063.6,2062.6,-0.00048459003682884284,-0.07692307692307693
8/21/99,8/31/99,11,2063.2,2062.8,-0.00019387359441626418,-0.03999999999996362
9/3/99,9/12/99,10,2062.8,2062.6,-9.695559433792555e-05,-0.02222222222225254
9/22/99,10/1/99,10,2062.6,2062.4,-9.696499563648701e-05,-0.02222222222220201
10/7/99,10/16/99,10,2062.4,2062.2,-9.697439875886e-05,-0.02222222222225254
10/29/99,11/7/99,10,2062.2,2062.0,-9.69838037046931e-05,-0.02222222222220201
1/2/00,1/11/00,10,2062.0,2061.8,-9.699321047517852e-05,-0.02222222222220201
1/22/00,1/31/00,10,2061.6,2061.4,-9.701202949156873e-05,-0.02222222222220201
5/31/00,6/12/00,13,2064.0,2063.6,-0.00019379844961244717,-0.03333333333334091
