Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
2/4/99,2/7/99,4,2064.0,2063.0,-1.0
5/16/99,5/18/99,3,2066.0,2065.0,-1.0
7/27/99,7/28/99,2,2064.0,2063.0,-1.0
6/26/02,6/27/02,2,2064.0,2063.0,-1.0
8/14/02,8/15/02,2,2061.0,2060.0,-1.0
7/19/05,7/20/05,2,2065.0,2064.0,-1.0
10/14/05,10/15/05,2,2062.0,2061.0,-1.0
7/6/10,7/7/10,2,2065.0,2064.0,-1.0
12/5/13,12/6/13,2,2064.0,2063.0,-1.0
1/21/14,1/24/14,4,2063.0,2062.0,-1.0
5/20/14,5/22/14,3,2063.0,2062.0,-1.0
11/14/17,11/15/17,2,2060.0,2059.0,-1.0
9/6/18,9/8/18,3,2062.0,2061.0,-1.0
4/26/20,4/27/20,3,2064.0,2063.0,-1.0
