Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,12,0.3917808219178082,11.916666666666666,5.155229276073848,-0.0009788378345622366,0.0022216538136904814,-0.11930178982810062,0.19019603763483328,-1.4600000000000364
1998,17,0.5123287671232877,11.0,3.8956989858349287,-0.00031330722830955076,0.00034416743943214035,-0.06045170515757907,0.05094908004046682,-0.4800000000000182
1999,15,0.42191780821917807,10.266666666666667,1.7307673314329557,-0.000406566994551049,0.0004326387982733676,-0.08853561253560202,0.0879124423936518,-0.5199999999999818
2000,14,0.39452054794520547,10.285714285714286,2.2177392423228603,-0.00014546903151319406,7.981504791077576e-05,-0.0319841269841172,0.01198307574491741,-0.13000000000010914
2001,20,0.673972602739726,12.3,7.7852424496607675,-0.00037759364720880805,0.0005497138711226332,-0.054781746031750865,0.05059706423719587,-0.5099999999997635
2002,14,0.38904109589041097,10.142857142857142,2.8749445424997297,-0.00020095624199304013,0.0001293586733365978,-0.045609410430832505,0.024358225855993128,-0.25999999999976353
2003,13,0.4301369863013699,12.076923076923077,4.71432413724448,-0.0004019582547738782,0.0006405933835029288,-0.05538572538572627,0.05626517350060926,-0.9800000000000182
2004,11,0.3589041095890411,11.909090909090908,3.964720452246641,-0.000316829303656382,0.0003690047050330371,-0.05095598845598863,0.051604837885618766,-0.4099999999998545
2005,11,0.3041095890410959,10.090909090909092,2.5028908905338554,-0.0003082860217327354,0.00018832435211685162,-0.0757870916961849,0.06315530515828152,-0.45000000000027285
2006,7,0.3424657534246575,17.857142857142858,9.847821679779479,-0.0004986761928412713,0.0004380260658268169,-0.052691112808767857,0.020406175590937835,-0.23999999999978172
2007,9,0.27123287671232876,11.0,7.958224257542215,-0.0002155875778648192,0.00024088691852868258,-0.04180555555554922,0.019952360958517018,-0.169999999999618
2008,8,0.31232876712328766,14.25,11.019868420267095,-0.000315635518395763,0.00041401867777677594,-0.03926575203250338,0.01746228072021995,-0.11000000000012733
2009,11,0.4054794520547945,13.454545454545455,4.559976801448892,-0.001661082405008018,0.003061201181254069,-0.18622116890834295,0.30822397956662045,-1.650000000000091
2010,12,0.3835616438356164,11.666666666666666,4.459696053419884,-0.0003951995574393859,0.0006132482972210611,-0.05773324986560061,0.056589376139275,-0.4099999999998545
2011,17,0.5068493150684932,10.882352941176471,4.788249747051464,-0.0006369923927436714,0.000790282795984127,-0.1293117637840803,0.11746590297037993,-1.069999999999709
2012,10,0.30684931506849317,11.2,3.789459064299283,-0.00022290117586035372,0.00022105506188414956,-0.04134570108254805,0.02117230795341388,-1.0399999999999636
2013,12,0.36164383561643837,11.0,3.0550504633038935,-0.0005240099737168396,0.0007914239772899877,-0.08467272379036699,0.09573900481728506,-1.0300000000002
2014,13,0.4931506849315068,13.846153846153847,7.40941349123017,-0.0009745190679547411,0.0012854378136173373,-0.1103079870321244,0.09925248091297358,-1.0299999999997453
2015,15,0.5041095890410959,12.266666666666667,3.7499629627800624,-0.0002776778377214365,0.00036011022094760344,-0.041859407902883054,0.029671758519136757,-0.2300000000000182
2016,12,0.3643835616438356,11.083333333333334,1.7539637649874324,-0.00015354597389999743,8.363231922474707e-05,-0.02988215488216378,0.01008026770389464,-0.11000000000012733
2017,11,0.40821917808219177,13.545454545454545,6.228433866531141,-0.0002731789838648555,0.00025054945232109234,-0.03893162905019721,0.0172016045329747,-0.13000000000010914
2018,11,0.3150684931506849,10.454545454545455,4.849810424854232,-0.0003697864886593762,0.0005115313738292972,-0.06454432041389008,0.04266890267205256,-0.3100000000004002
2019,14,0.5068493150684932,13.214285714285714,5.531449970442669,-0.0007785635926740325,0.0017546394410504799,-0.09101309665448111,0.14564934334316315,-1.3800000000001091
2020,25,0.7726027397260274,11.28,5.875508488633133,-0.00015899270444233435,0.00018941375734690143,-0.029303009303014344,0.010651305030817295,-0.1999999999998181
2021,1,0.0273972602739726,10.0,0.0,-9.704027171267254e-05,0.0,-0.02222222222220201,0.0,-0.18999999999959982
