Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
1/1/97,4/11/97,101,5953.2,5835.0,-0.019854867970167275,-1.1819999999999982
5/29/97,8/15/97,79,5991.6,5912.8,-0.013151745777421753,-1.0102564102564127
10/29/97,11/7/97,10,5912.8,5843.6,-0.01170342308212688,-7.688888888888869
11/29/97,12/5/97,7,5843.6,5834.0,-0.0016428229173797596,-1.6000000000000607
4/4/98,4/20/98,17,5899.6,5892.8,-0.001152620516645227,-0.42500000000001137
5/21/98,5/27/98,7,5914.4,5907.2,-0.0012173677803327164,-1.1999999999999698
6/21/98,8/12/98,53,5919.4,5835.0,-0.014258201844781505,-1.623076923076916
8/18/98,9/4/98,18,5853.6,5835.0,-0.003177531775317815,-1.094117647058845
7/3/99,10/7/99,97,5996.4,5972.0,-0.004069108131545533,-0.2541666666666629
6/1/00,10/10/00,132,5992.0,5957.6,-0.005740987983978578,-0.2625954198473255
5/28/01,10/19/01,145,5985.2,5943.6,-0.006950477845351777,-0.2888888888888851
6/5/02,6/24/02,20,5973.2,5969.6,-0.0006026920243754528,-0.1894736842104976
6/25/02,9/30/02,98,5969.2,5941.8,-0.00459022984654554,-0.28247422680412
10/4/02,10/18/02,15,5942.0,5940.8,-0.0002019522046448701,-0.08571428571427273
5/25/03,10/18/03,147,5961.0,5921.2,-0.006676732091930915,-0.27260273972602866
10/23/03,10/28/03,6,5921.2,5921.0,-3.3776937107312386e-05,-0.03999999999996362
6/3/04,6/19/04,17,5959.8,5957.6,-0.0003691399040235944,-0.13749999999998863
6/20/04,6/30/04,11,5957.4,5956.8,-0.00010071507704694235,-0.05999999999994543
7/2/04,10/10/04,101,5956.8,5931.6,-0.004230459307010445,-0.25199999999999817
11/27/04,12/4/04,8,5934.6,5934.4,-3.3700670643468404e-05,-0.028571428571532515
6/27/05,10/7/05,103,6001.0,5982.4,-0.0030994834194301556,-0.18235294117647416
10/24/05,11/2/05,10,5982.4,5982.2,-3.3431398769694124e-05,-0.02222222222220201
4/5/06,4/12/06,8,5988.4,5987.2,-0.00020038741567026555,-0.17142857142854545
5/27/06,6/5/06,10,6005.8,6005.6,-3.3301142229148176e-05,-0.02222222222220201
6/8/06,6/17/06,10,6005.6,6005.2,-6.660450246445745e-05,-0.04444444444450508
6/22/06,9/21/06,92,6005.2,5986.4,-0.003130620129221372,-0.20659340659340858
9/22/06,10/4/06,13,5986.4,5985.6,-0.00013363624214874923,-0.06666666666660603
10/8/06,10/17/06,10,5985.6,5985.2,-6.6827051590575e-05,-0.04444444444450508
5/12/07,9/13/07,125,5998.4,5975.6,-0.0038010136036275128,-0.18387096774192963
9/15/07,9/26/07,12,5975.4,5974.8,-0.00010041168792038263,-0.05454545454540494
9/28/07,10/3/07,6,5974.6,5974.2,-6.695008870895887e-05,-0.08000000000010914
10/4/07,10/16/07,13,5974.4,5974.0,-6.695232994102106e-05,-0.03333333333330302
10/29/07,11/7/07,10,5974.2,5974.0,-3.34772856616481e-05,-0.02222222222220201
