Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
3/31/98,4/3/98,4,5901.2,5899.2,-2.0
5/13/98,5/14/98,2,5912.8,5912.0,-0.8000000000001819
5/17/98,5/18/98,2,5912.8,5908.4,-4.400000000000546
5/19/98,5/20/98,2,5912.8,5912.6,-0.1999999999998181
5/28/98,5/29/98,2,5907.6,5906.8,-0.8000000000001819
5/30/98,6/1/98,3,5907.6,5906.8,-0.8000000000001819
6/7/98,6/8/98,2,5915.6,5915.2,-0.4000000000005457
6/10/98,6/11/98,2,5915.6,5914.8,-0.8000000000001819
6/14/98,6/15/98,2,5916.0,5915.4,-0.6000000000003638
6/16/98,6/17/98,2,5916.4,5915.6,-0.7999999999992724
6/27/99,6/30/99,4,5996.0,5995.8,-0.1999999999998181
12/31/02,1/3/03,4,5942.8,5942.6,-0.1999999999998181
1/17/04,1/18/04,2,5925.4,5925.2,-0.1999999999998181
10/15/04,10/16/04,2,5931.4,5931.2,-0.1999999999998181
11/4/05,11/5/05,2,5982.2,5982.0,-0.1999999999998181
11/7/05,11/8/05,2,5982.2,5982.0,-0.1999999999998181
11/27/05,11/28/05,2,5982.4,5982.2,-0.1999999999998181
2/8/06,2/11/06,4,5984.2,5984.0,-0.1999999999998181
2/14/06,2/15/06,2,5984.4,5984.2,-0.1999999999998181
4/19/06,4/22/06,4,5989.2,5988.8,-0.3999999999996362
6/6/06,6/7/06,2,6005.6,6005.4,-0.2000000000007276
10/22/06,10/23/06,2,5985.2,5985.0,-0.1999999999998181
10/25/06,10/26/06,2,5985.2,5985.0,-0.1999999999998181
10/31/06,11/2/06,3,5985.2,5985.0,-0.1999999999998181
11/3/06,11/4/06,2,5985.2,5985.0,-0.1999999999998181
10/21/07,10/23/07,3,5974.2,5974.0,-0.1999999999998181
10/26/07,10/27/07,2,5974.2,5974.0,-0.1999999999998181
11/28/08,11/29/08,2,5984.6,5984.4,-0.2000000000007276
12/8/08,12/9/08,2,5984.6,5984.4,-0.2000000000007276
1/8/09,1/9/09,2,5985.2,5985.0,-0.1999999999998181
6/15/09,6/17/09,3,6005.4,6005.2,-0.1999999999998181
6/19/09,6/20/09,2,6005.4,6005.2,-0.1999999999998181
10/24/09,10/25/09,2,5987.8,5987.6,-0.1999999999998181
12/7/09,12/9/09,3,5988.0,5987.8,-0.1999999999998181
1/22/10,1/25/10,4,5988.4,5988.2,-0.1999999999998181
3/1/10,3/2/10,2,5988.8,5988.6,-0.1999999999998181
10/20/10,10/23/10,4,5981.2,5981.0,-0.1999999999998181
1/9/11,1/10/11,2,5984.2,5984.0,-0.1999999999998181
2/1/11,2/2/11,2,5985.4,5985.2,-0.1999999999998181
5/23/12,5/24/12,2,6005.4,6005.2,-0.1999999999998181
12/18/12,12/19/12,2,5983.0,5982.8,-0.1999999999998181
10/20/14,10/21/14,2,5975.4,5975.0,-0.3999999999996362
10/24/14,10/26/14,3,5975.4,5975.0,-0.3999999999996362
11/22/14,11/23/14,2,5975.8,5975.2,-0.6000000000003638
12/17/14,12/18/14,2,5976.2,5976.0,-0.1999999999998181
1/21/15,1/22/15,2,5976.8,5976.6,-0.1999999999998181
5/5/15,5/7/15,3,5982.0,5981.8,-0.1999999999998181
