Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,4,0.5397260273972603,49.25,41.49924698112003,-0.011588214936773917,0.006513568077489349,-2.870286324786335,2.790276868660227,-69.10000000000036
1998,4,0.2602739726027397,23.75,17.426631917843448,-0.004951430479269316,0.005434539797294711,-1.0855486425339356,0.42966082629245733,-5.799999999999272
1999,1,0.26575342465753427,97.0,0.0,-0.004069108131545533,0.0,-0.2541666666666629,0.0,-0.5999999999994543
2000,1,0.36164383561643837,132.0,0.0,-0.005740987983978578,0.0,-0.2625954198473255,0.0,-0.5200000000004366
2001,1,0.3972602739726027,145.0,0.0,-0.006950477845351777,0.0,-0.2888888888888851,0.0,-0.5
2002,3,0.3643835616438356,44.333333333333336,38.00292386412159,-0.0017982913585219546,0.0019809658404357526,-0.1858873989096301,0.08036692804926852,-0.7000000000007276
2003,2,0.4191780821917808,76.5,70.5,-0.0033552545145191133,0.003321477577411801,-0.15630136986299614,0.11630136986303252,-0.9000000000005457
2004,4,0.37534246575342467,34.25,38.674119253061214,-0.0011835037396811124,0.0017636329742610507,-0.11951785714286618,0.08615176119284694,-0.5
2005,2,0.3095890410958904,56.5,46.5,-0.0015664574090999248,0.0015330260103302306,-0.10228758169933809,0.08006535947713608,-0.4000000000005457
2006,6,0.3917808219178082,23.833333333333332,30.52002985290516,-0.0006052294138874279,0.0011307070999379226,-0.09263329263329538,0.0700855646267209,-0.4000000000005457
2007,5,0.4547945205479452,33.2,45.96259348644287,-0.0008137609991719048,0.0014937762724507367,-0.07479439556858974,0.05799598196286473,-0.3000000000001819
2008,5,0.3726027397260274,27.2,36.43295211755424,-0.0007260819606960728,0.001368851914393583,-0.0677979797980133,0.07172526345017438,-0.3999999999996362
2009,4,0.3178082191780822,29.0,35.85387008399512,-0.0007743272512512179,0.0012643377001458408,-0.08555555555558006,0.07215381375581302,-0.4000000000005457
2010,1,0.30684931506849317,112.0,0.0,-0.0035651217805618475,0.0,-0.1927927927927977,0.0,-0.4000000000005457
2011,7,0.3972602739726027,20.714285714285715,18.880937368636317,-0.0005669135122164694,0.0007197324889548287,-0.13391516042828194,0.11041791763235174,-0.5
2012,3,0.38904109589041097,47.333333333333336,50.690783733885546,-0.0013433227572878144,0.0018289644739241052,-0.08518518518522573,0.08131295703737526,-0.4899999999997817
2013,2,0.35342465753424657,64.5,54.5,-0.0024367446090816035,0.0024032033197544725,-0.1339924670433044,0.1117702448211024,-0.38000000000010914
2014,3,0.3424657534246575,41.666666666666664,40.67213078045238,-0.0010680563490822307,0.0012790951477441453,-0.10433673469387313,0.06171606791600303,-0.6100000000005821
2015,2,0.31232876712328766,57.0,52.0,-0.0017540939997837644,0.0017206804739884009,-0.12129629629638809,0.0712962962962062,-0.4099999999998545
2016,1,0.3287671232876712,120.0,0.0,-0.0035997600159988425,0.0,-0.18151260504201222,0.0,-0.3400000000001455
2017,5,0.37534246575342467,27.4,30.473595127585455,-0.0007600331433271635,0.0009474486216971051,-0.14072428720704064,0.138643491584673,-0.6899999999995998
2018,2,0.38904109589041097,71.0,64.0,-0.0021488525721365098,0.002115397686050427,-0.11218905472635096,0.07885572139304795,-0.3000000000001819
2019,4,0.36164383561643837,33.0,39.26194085880116,-0.0007992480050080795,0.0012882297516229036,-0.07216666666666723,0.06395511060767275,-0.3000000000001819
2020,1,0.39452054794520547,144.0,0.0,-0.004262688157719522,0.0,-0.17902097902098157,0.0,-0.3400000000001455
