Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,4,0.5424657534246575,49.5,40.40111384603152,-0.011536871837715984,0.0065446251903255055,-2.722499707602348,2.8617529977322644,-118.13000000000011
1998,4,0.29041095890410956,26.5,17.09532099727876,-0.004694640357089008,0.004984787151101484,-0.9061658249158389,0.41416832882741755,-78.20000000000073
1999,1,0.2684931506849315,98.0,0.0,-0.004057502126311213,0.0,-0.25082474226804047,0.0,-24.329999999999927
2000,1,0.3698630136986301,135.0,0.0,-0.005715859214632599,0.0,-0.2555970149253731,0.0,-34.25
2001,1,0.3917808219178082,143.0,0.0,-0.00688399137830203,0.0,-0.29014084507042126,0.0,-41.19999999999982
2002,3,0.3643835616438356,44.333333333333336,52.130178932702265,-0.0017883217859646498,0.00241762889807022,-0.12990028490031996,0.09859003277069647,-31.100000000000364
2003,1,0.3917808219178082,143.0,0.0,-0.006576850158549035,0.0,-0.27605633802816776,0.0,-39.19999999999982
2004,1,0.36712328767123287,134.0,0.0,-0.004748561169186399,0.0,-0.2127819548872194,0.0,-28.300000000000182
2005,1,0.2602739726027397,95.0,0.0,-0.002949901669944305,0.0,-0.18829787234042358,0.0,-17.699999999999818
2006,4,0.3589041095890411,32.75,40.61634523193833,-0.0008452775032349123,0.0013682661522322565,-0.07356654783123256,0.07236645020665561,-19.300000000000182
2007,1,0.40821917808219177,149.0,0.0,-0.004034409175780178,0.0,-0.1635135135135123,0.0,-24.199999999999818
2008,1,0.29041095890410956,106.0,0.0,-0.0034803750145710388,0.0,-0.19904761904762425,0.0,-20.900000000000546
2009,1,0.2356164383561644,86.0,0.0,-0.0028976818545164776,0.0,-0.2047058823529476,0.0,-17.400000000000546
2010,1,0.27945205479452057,102.0,0.0,-0.0034655114961679744,0.0,-0.20594059405940773,0.0,-20.800000000000182
2011,3,0.336986301369863,41.0,30.23243291566195,-0.0012004702467170402,0.0007098747218358592,-0.19534979423868307,0.07639746733779318,-11.199999999999818
2012,1,0.3589041095890411,131.0,0.0,-0.003938279746084973,0.0,-0.18192307692307413,0.0,-23.649999999999636
2013,1,0.3150684931506849,115.0,0.0,-0.004780137061751281,0.0,-0.25122807017544146,0.0,-28.640000000000327
2014,1,0.2410958904109589,88.0,0.0,-0.0025490317185015024,0.0,-0.17551724137931538,0.0,-15.270000000000437
2015,1,0.2958904109589041,108.0,0.0,-0.00344142642113376,0.0,-0.1925233644859847,0.0,-20.600000000000364
2016,1,0.2958904109589041,108.0,0.0,-0.003335689375804369,0.0,-0.18700934579439457,0.0,-20.01000000000022
2017,2,0.3561643835616438,65.0,46.0,-0.0017916955935008232,0.0007243313817717888,-0.24618181818182577,0.1088181818181924,-15.109999999999673
2018,1,0.2958904109589041,108.0,0.0,-0.003673321088929849,0.0,-0.2059813084112231,0.0,-22.040000000000873
2019,1,0.2136986301369863,78.0,0.0,-0.0025138268807889893,0.0,-0.19597402597402785,0.0,-15.090000000000146
2020,1,0.3150684931506849,115.0,0.0,-0.00341144492274673,0.0,-0.17956140350877417,0.0,-20.470000000000255
