Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
5/3/97,5/12/97,10,8126.0,8123.4,-0.0003199606202314009,-0.28888888888892933
7/4/97,8/12/97,40,8137.0,8120.6,-0.0020154848224160794,-0.4205128205128112
8/19/97,9/14/97,27,8123.8,8112.4,-0.001403284177355492,-0.43846153846155944
10/3/97,10/20/97,18,8125.0,8119.6,-0.0006646153846153398,-0.317647058823508
3/9/98,3/29/98,21,8136.4,8135.4,-0.0001229044786392016,-0.05
3/30/98,4/15/98,17,8135.4,8134.6,-9.833566880537804e-05,-0.049999999999954525
4/19/98,4/28/98,10,8134.4,8132.8,-0.0001966955153421831,-0.17777777777771714
4/30/98,5/27/98,28,8133.2,8117.6,-0.0019180642305610897,-0.5777777777777575
9/1/98,9/29/98,29,8130.0,8122.0,-0.0009840098400984009,-0.2857142857142857
11/1/98,11/5/98,5,8124.6,8124.0,-7.384978952814462e-05,-0.15000000000009095
4/13/99,5/7/99,25,8138.0,8133.2,-0.0005898255099533278,-0.2000000000000076
5/9/99,5/23/99,15,8133.6,8126.8,-0.000836038162683213,-0.4857142857142987
6/1/99,6/12/99,12,8133.8,8128.8,-0.000614718827608252,-0.45454545454545453
7/7/99,7/16/99,10,8137.8,8137.6,-2.4576666912410984e-05,-0.02222222222220201
7/20/99,7/24/99,5,8137.6,8137.4,-2.4577270939924253e-05,-0.0500000000001819
7/25/99,9/1/99,39,8137.6,8126.0,-0.0014254817145104655,-0.3052631578947464
9/11/99,10/13/99,33,8129.2,8121.2,-0.0009841066771638046,-0.25
4/29/00,5/4/00,6,8138.6,8136.2,-0.00029489101319643985,-0.4800000000001091
5/7/00,5/21/00,15,8136.4,8131.0,-0.000663684184651644,-0.38571428571425975
5/29/00,8/30/00,94,8137.8,8086.8,-0.0062670500626705004,-0.5483870967741935
9/10/00,9/20/00,11,8090.8,8087.6,-0.00039551095070942526,-0.3199999999999818
5/5/01,5/10/01,6,8122.0,8120.0,-0.0002462447672986949,-0.4
6/11/01,9/16/01,98,8137.6,8092.4,-0.005554463232402763,-0.4659793814433065
9/17/01,9/29/01,13,8092.2,8090.4,-0.00022243642025656583,-0.15000000000001515
5/4/02,5/18/02,15,8112.6,8103.6,-0.0011093854004881295,-0.6428571428571429
5/21/02,5/27/02,7,8104.8,8101.6,-0.00039482775639125187,-0.533333333333303
6/2/02,7/23/02,52,8106.0,8086.4,-0.0024179620034542764,-0.3843137254902032
7/28/02,8/4/02,8,8086.8,8084.0,-0.0003462432606222711,-0.400000000000026
8/8/02,8/17/02,10,8084.4,8084.0,-4.9478007025832e-05,-0.04444444444440402
5/11/03,5/21/03,11,8122.0,8118.2,-0.0004678650578675427,-0.3800000000000182
6/4/03,6/13/03,10,8137.8,8137.6,-2.4576666912410984e-05,-0.02222222222220201
6/17/03,9/21/03,97,8137.6,8091.2,-0.00570192685804175,-0.483333333333339
4/19/04,5/6/04,18,8116.0,8110.4,-0.0006899950714638201,-0.3294117647059038
5/13/04,5/17/04,5,8114.0,8111.8,-0.00027113630761644295,-0.5499999999999545
