Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
5/3/97,5/14/97,13,8125.92,8123.4,-0.00031011873117141645,-0.31500000000005457,-2.5200000000004366
7/4/97,8/13/97,42,8137.0,8120.6,-0.0020154848224160794,-0.4205128205128112,-16.399999999999636
8/19/97,9/14/97,28,8123.8,8112.5,-0.001390974667027768,-0.4346153846153916,-11.300000000000182
10/8/97,10/21/97,15,8124.41,8119.54,-0.0005994281430897617,-0.4427272727272628,-4.869999999999891
4/26/98,5/28/98,34,8133.7,8117.58,-0.001981877866161758,-0.5373333333333297,-16.11999999999989
8/1/98,9/29/98,32,8137.0,8121.9,-0.0018557207816148904,-0.5206896551724264,-15.100000000000364
1/18/99,1/23/99,6,8132.5,8132.0,-6.148170919151552e-05,-0.5,-0.5
4/15/99,5/7/99,24,8137.7,8133.2,-0.000552981800754513,-0.225,-4.5
5/9/99,5/24/99,17,8133.5,8126.8,-0.0008237536116062972,-0.5153846153846013,-6.699999999999818
6/1/99,6/12/99,13,8133.8,8128.8,-0.000614718827608252,-0.5,-5.0
7/7/99,7/15/99,9,8137.8,8137.5,-3.686500036867236e-05,-0.07500000000004547,-0.3000000000001819
7/25/99,9/2/99,41,8137.5,8126.0,-0.00141321044546851,-0.3026315789473684,-11.5
9/10/99,10/14/99,36,8129.3,8121.3,-0.00098409457148832,-0.25,-8.0
4/29/00,5/7/00,10,8138.6,8136.2,-0.00029489101319643985,-0.4800000000001091,-2.4000000000005457
5/8/00,5/22/00,16,8136.2,8131.0,-0.0006391189990412992,-0.4333333333333182,-5.199999999999818
6/4/00,8/30/00,89,8137.6,8086.7,-0.006254915454188033,-0.5988235294117711,-50.900000000000546
9/10/00,9/21/00,13,8090.8,8087.5,-0.00040787066791914047,-0.3666666666666869,-3.300000000000182
5/5/01,5/12/01,8,8121.9,8120.1,-0.00022162301924417592,-0.4499999999998181,-1.7999999999992724
6/14/01,10/1/01,111,8137.4,8090.2,-0.0058003784992749306,-0.43703703703703534,-47.19999999999982
5/5/02,5/20/02,17,8112.5,8103.6,-0.0010970724191062726,-0.6846153846153566,-8.899999999999636
5/21/02,5/29/02,10,8104.9,8101.7,-0.00039482288492144485,-0.533333333333303,-3.199999999999818
6/2/02,7/24/02,54,8106.1,8086.4,-0.002430268563180904,-0.39400000000001456,-19.700000000000728
7/28/02,8/7/02,12,8086.9,8084.1,-0.0003462389790895488,-0.39999999999989605,-2.7999999999992724
5/11/03,5/22/03,13,8121.9,8118.2,-0.0004555584284465234,-0.3699999999999818,-3.699999999999818
6/17/03,9/21/03,98,8137.5,8091.3,-0.0056774193548386875,-0.4812499999999981,-46.19999999999982
4/19/04,5/7/04,20,8115.9,8110.4,-0.000677682080853633,-0.34375,-5.5
5/13/04,5/21/04,10,8113.9,8111.8,-0.00025881511973273693,-0.5249999999998636,-2.0999999999994543
5/23/04,6/4/04,14,8113.1,8109.7,-0.00041907532262643694,-0.3400000000000546,-3.4000000000005457
6/10/04,6/20/04,12,8112.5,8110.2,-0.00028351309707244155,-0.32857142857145455,-2.300000000000182
7/8/04,7/18/04,12,8115.7,8113.2,-0.00030804490062471504,-0.3125,-2.5
7/20/04,7/28/04,10,8113.5,8112.4,-0.00013557650828869956,-0.22000000000007275,-1.1000000000003638
7/30/04,9/8/04,42,8112.9,8095.8,-0.0021077543171984683,-0.4621621621621474,-17.099999999999454
