Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,4,0.2602739726027397,23.75,11.143944544011335,-0.001100836251154578,0.0006572883979555422,-0.366377576671702,0.06423761023946009,-0.8000000000001819
1998,6,0.3013698630136986,18.333333333333332,8.787617550976044,-0.0005656432538290663,0.0006826969003094073,-0.2152116402116343,0.18104716297654908,-7.579999999999927
1999,7,0.38082191780821917,19.857142857142858,11.764699879950449,-0.0006427606899673426,0.00046819046367674045,-0.25253501719669874,0.16681547373820566,-0.9000000000005457
2000,4,0.3452054794520548,31.5,36.22499137335991,-0.0019052840528070024,0.0025218719990935026,-0.43352534562213607,0.0873599120383791,-0.9000000000005457
2001,3,0.32054794520547947,39.0,41.817061908587824,-0.0020077148066526746,0.002507948697776434,-0.3386597938144406,0.13609483959231386,-1.300000000000182
2002,5,0.25205479452054796,18.4,17.024687956024334,-0.0008635792855963521,0.0008516632820935556,-0.4009897292250158,0.2017019008781302,-0.9000000000005457
2003,3,0.3232876712328767,39.333333333333336,40.778534658431376,-0.0020647895276072344,0.002578203782961972,-0.2951851851851864,0.19757028927547532,-1.2000000000007276
2004,8,0.32054794520547947,14.625,11.301963325015702,-0.0005515734973391856,0.0006151506301753176,-0.30369270435448686,0.12337595372616109,-0.8000000000001819
2005,6,0.32602739726027397,19.833333333333332,20.260114072290467,-0.0011726918131662156,0.0013374911062811353,-0.43965329991643975,0.3604418073392847,-1.2800000000006548
2006,2,0.2958904109589041,54.0,39.0,-0.0030479472360004636,0.002063622605737403,-0.5118012422360219,0.05962732919254954,-1.0
2007,6,0.3643835616438356,22.166666666666668,16.80690995460564,-0.0013971282577228553,0.001513821222628238,-0.4192463092463225,0.2325912648966629,-3.5100000000002183
2008,4,0.29863013698630136,27.25,26.705570579937064,-0.001779529821742803,0.0019714475267909493,-0.4840277777777711,0.15214990932436068,-1.5399999999999636
2009,2,0.24383561643835616,44.5,34.5,-0.0030110601991364823,0.0029123532600386416,-0.3534188034188124,0.26452991452990327,-1.800000000000182
2010,5,0.3452054794520548,25.2,13.302631318652711,-0.001803970946415315,0.0012619064953162552,-0.5877948717948737,0.1805714029357528,-1.1900000000005093
2011,4,0.3424657534246575,31.25,19.828956099603428,-0.001926356505793202,0.0012583775818990712,-0.5080574912892055,0.08796774127254016,-1.6899999999995998
2012,5,0.36164383561643837,26.4,19.935897271003377,-0.0012954380409441258,0.001726388242033764,-0.31922413793105303,0.1927003952527144,-1.1899999999995998
2013,1,0.22465753424657534,82.0,0.0,-0.005268211023854679,0.0,-0.5283950617283973,0.0,-1.1299999999991996
2014,6,0.32054794520547947,19.5,16.42914077688382,-0.0010133848538834405,0.0013970312659736114,-0.2780059193488757,0.2037910586549205,-1.25
2015,5,0.29863013698630136,21.8,20.76920797719547,-0.0011606988660596593,0.0014663625971224961,-0.31177413479053306,0.17902660656332045,-0.9499999999998181
2016,5,0.2876712328767123,21.0,27.575351312358652,-0.0011604523782874241,0.0019433408234125135,-0.2765555555555096,0.16961408630068117,-1.1199999999998909
2017,9,0.35342465753424657,14.333333333333334,9.153020145163987,-0.0005769485854592932,0.0005095721805153524,-0.31625763125763157,0.16207821645037748,-1.25
2018,6,0.31232876712328766,19.0,29.535289626704753,-0.0010490825402807052,0.0022247866930950556,-0.18031746031742266,0.19489646197250543,-1.25
2019,6,0.2958904109589041,18.0,16.08311744241976,-0.0008162534585262241,0.0011239426932172767,-0.2769698819698905,0.17509126578471731,-1.1000000000003638
2020,5,0.36712328767123287,26.8,29.88243631299162,-0.0013177667574346139,0.002238393665784226,-0.20523809523813313,0.18313817689582432,-1.1200000000008004
