Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,4,0.2465753424657534,22.5,11.629703349613008,-0.0010790015909262563,0.0006699812659635389,-0.4032138694638801,0.05154683468565135,-16.399999999999636
1998,2,0.16986301369863013,31.0,1.0,-0.0019187993238883243,6.307854227343389e-05,-0.5290114942528781,0.008321839080451643,-16.11999999999989
1999,7,0.36712328767123287,19.142857142857142,12.135291760911601,-0.0006410151380694401,0.00045617668704262264,-0.33828802776171646,0.1580622148138125,-11.5
2000,4,0.3287671232876712,30.0,32.977264895682296,-0.0018991990335862283,0.0025178329843681658,-0.46970588235297134,0.08473101252133956,-50.900000000000546
2001,2,0.3178082191780822,58.0,51.0,-0.0030110007592595535,0.002789377740015377,-0.4435185185184267,0.006481481481391382,-47.19999999999982
2002,4,0.2328767123287671,21.25,17.93564885918544,-0.0010671007115745426,0.0008412377797739695,-0.5029871794871426,0.11873737657394283,-19.700000000000728
2003,2,0.29315068493150687,53.5,42.5,-0.0030664888916426053,0.002610930463196082,-0.42562499999998993,0.05562500000000817,-46.19999999999982
2004,8,0.31232876712328766,14.25,10.219466717984847,-0.0005377047925213968,0.000616187040999796,-0.3352479488416915,0.11200940958647951,-17.099999999999454
2005,3,0.29863013698630136,36.333333333333336,24.499433100017278,-0.002337307407738744,0.0015265771853594846,-0.5044856612098122,0.24815112774738243,-31.19000000000051
2006,2,0.29863013698630136,54.5,39.5,-0.0030479158323644577,0.0020635912021013973,-0.5118012422360267,0.0596273291925446,-41.600000000000364
2007,5,0.3561643835616438,26.0,16.037456157383563,-0.0016583121210810125,0.001512008010581238,-0.49439489633173866,0.23274910559262318,-34.720000000000255
2008,4,0.29041095890410956,26.5,25.985572920372565,-0.0017671967488440065,0.0019793815564077264,-0.5049163732394342,0.12940860822105216,-41.599999999999454
2009,2,0.24383561643835616,44.5,32.5,-0.0030258579368227334,0.0029024712181691292,-0.37159999999999854,0.2715999999999985,-48.23999999999978
2010,5,0.32602739726027397,23.8,11.889491158161478,-0.0017774048645771523,0.0012590740027890685,-0.6210310708898865,0.18324341213301157,-32.099999999999454
2011,5,0.336986301369863,24.6,19.365949499056327,-0.0015721015540323877,0.0013053509782552256,-0.5587162601625986,0.07050496206267529,-26.789999999999964
2012,4,0.30684931506849317,28.0,19.403607911932255,-0.0015359613051461557,0.0018240442002832957,-0.3970510651628939,0.18366451429965716,-38.06999999999971
2013,1,0.2219178082191781,81.0,0.0,-0.005258415680713758,0.0,-0.5340000000000031,0.0,-42.720000000000255
2014,4,0.3178082191780822,29.0,15.016657417681207,-0.001507475259746693,0.001476436361414396,-0.35193372935380735,0.2002764552426685,-32.409999999999854
2015,6,0.3424657534246575,20.833333333333332,20.464739322931912,-0.0009951935149166535,0.0013964732844927914,-0.3048822534477584,0.13389235642707129,-32.649999999999636
2016,5,0.3287671232876712,24.0,33.027261466854924,-0.0011921684435886324,0.001983012506604958,-0.3815461476724385,0.17256262211951115,-41.93000000000029
2017,4,0.35342465753424657,32.25,32.927002596653104,-0.001271105713228517,0.001412759638081884,-0.3574801349325298,0.08853836266623977,-29.9399999999996
2018,3,0.28493150684931506,34.666666666666664,40.549010126293126,-0.002070968482854018,0.0028252639529873706,-0.31499999999995687,0.18117415399026646,-49.350000000000364
2019,4,0.25753424657534246,23.5,16.224980739587952,-0.0011905367223548529,0.0011936894934644925,-0.35948851495724,0.184089777197988,-26.06999999999971
2020,2,0.3013698630136986,55.0,30.0,-0.003192229071818216,0.0025830807718956544,-0.3906809848088149,0.17546359350443544,-46.98999999999978
