Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
1/15/01,1/24/01,10,6055,6054,-0.000165153,-0.111111111,-1,12
2/5/01,2/14/01,10,6054,6053,-0.00016518,-0.111111111,-1,111
6/5/01,6/24/01,20,6074,6070,-0.000658545,-0.210526316,-4,22
7/16/01,7/25/01,10,6070,6069,-0.000164745,-0.111111111,-1,3
7/28/01,8/6/01,10,6069,6068,-0.000164772,-0.111111111,-1,29
9/4/01,9/13/01,10,6068,6067,-0.000164799,-0.111111111,-1,10
9/23/01,10/2/01,10,6066,6065,-0.000164853,-0.111111111,-1,11
10/13/01,10/22/01,10,6064,6063,-0.000164908,-0.111111111,-1,5
10/27/01,11/5/01,10,6063,6062,-0.000164935,-0.111111111,-1,5
11/10/01,11/19/01,10,6062,6061,-0.000164962,-0.111111111,-1,11
11/30/01,12/9/01,10,6061,6060,-0.000164989,-0.111111111,-1,9
12/18/01,12/27/01,10,6060,6059,-0.000165017,-0.111111111,-1,11
1/7/02,1/16/02,10,6059,6058,-0.000165044,-0.111111111,-1,10
1/26/02,2/4/02,10,6058,6057,-0.000165071,-0.111111111,-1,8
2/12/02,2/21/02,10,6057,6056,-0.000165098,-0.111111111,-1,9
3/2/02,3/11/02,10,6056,6055,-0.000165125,-0.111111111,-1,8
3/19/02,3/28/02,10,6055,6054,-0.000165153,-0.111111111,-1,5
4/2/02,4/11/02,10,6054,6053,-0.00016518,-0.111111111,-1,3
4/14/02,4/27/02,14,6053,6051,-0.000330415,-0.153846154,-2,1
4/28/02,5/9/02,12,6051,6049,-0.000330524,-0.181818182,-2,1
5/10/02,5/22/02,13,6049,6047,-0.000330633,-0.166666667,-2,2
5/24/02,6/5/02,13,6047,6045,-0.000330743,-0.166666667,-2,5
6/10/02,6/19/02,10,6044,6042,-0.000330907,-0.222222222,-2,4
6/23/02,9/8/02,78,6041,6019,-0.003641781,-0.285714286,-22,9
9/17/02,9/29/02,13,6018,6016,-0.000332336,-0.166666667,-2,1
9/30/02,10/9/02,10,6016,6015,-0.000166223,-0.111111111,-1,5
10/14/02,10/27/02,14,6015,6013,-0.000332502,-0.153846154,-2,21
11/17/02,11/26/02,10,6013,6012,-0.000166306,-0.111111111,-1,17
12/13/02,12/22/02,10,6012,6011,-0.000166334,-0.111111111,-1,10
1/1/03,1/10/03,10,6011,6010,-0.000166362,-0.111111111,-1,13
1/23/03,2/1/03,10,6010,6009,-0.000166389,-0.111111111,-1,16
2/17/03,2/26/03,10,6009,6008,-0.000166417,-0.111111111,-1,111
6/17/03,6/26/03,10,6019,6018,-0.000166141,-0.111111111,-1,1
6/27/03,8/4/03,39,6018,6007,-0.00182785,-0.289473684,-11,3
8/7/03,8/26/03,20,6006,6001,-0.000832501,-0.263157895,-5,1
8/27/03,9/8/03,13,6001,5999,-0.000333278,-0.166666667,-2,13
9/21/03,10/4/03,14,6001,5999,-0.000333278,-0.153846154,-2,4
10/8/03,10/17/03,10,5999,5998,-0.000166694,-0.111111111,-1,2
10/19/03,10/28/03,10,5998,5997,-0.000166722,-0.111111111,-1,2
10/30/03,11/6/03,8,5997,5996,-0.00016675,-0.142857143,-1,41
12/17/03,12/23/03,7,5997,5996,-0.00016675,-0.166666667,-1,2
12/25/03,1/3/04,10,5997,5996,-0.00016675,-0.111111111,-1,185
7/6/04,7/18/04,13,6032,6030,-0.000331565,-0.166666667,-2,1
7/19/04,7/28/04,10,6030,6029,-0.000165837,-0.111111111,-1,1
7/29/04,8/11/04,14,6029,6027,-0.00033173,-0.153846154,-2,5
8/16/04,8/29/04,14,6026,6023,-0.000497843,-0.230769231,-3,4
9/2/04,9/11/04,10,6022,6021,-0.000166058,-0.111111111,-1,2
9/13/04,9/19/04,7,6021,6020,-0.000166085,-0.166666667,-1,260
6/6/05,6/18/05,13,6075,6072,-0.000493827,-0.25,-3,28
7/16/05,7/25/05,10,6077,6076,-0.000164555,-0.111111111,-1,4
7/29/05,8/7/05,10,6076,6075,-0.000164582,-0.111111111,-1,17
8/24/05,9/2/05,10,6075,6074,-0.000164609,-0.111111111,-1,2
9/4/05,9/13/05,10,6074,6073,-0.000164636,-0.111111111,-1,67
11/19/05,11/28/05,10,6075,6074,-0.000164609,-0.111111111,-1,40
1/7/06,1/16/06,10,6074,6073,-0.000164636,-0.111111111,-1,30
2/15/06,2/24/06,10,6073,6072,-0.000164663,-0.111111111,-1,95
5/30/06,6/16/06,18,6078,6071,-0.001151695,-0.411764706,-7,1
6/17/06,6/26/06,10,6071,6070,-0.000164718,-0.111111111,-1,8
7/4/06,7/13/06,10,6069,6068,-0.000164772,-0.111111111,-1,5
7/18/06,7/30/06,13,6068,6066,-0.000329598,-0.166666667,-2,30
8/29/06,9/7/06,10,6066,6065,-0.000164853,-0.111111111,-1,239
5/4/07,5/17/07,14,6080,6076,-0.000657895,-0.307692308,-4,46
7/2/07,7/11/07,10,6080,6079,-0.000164474,-0.111111111,-1,8
7/19/07,7/28/07,10,6078,6077,-0.000164528,-0.111111111,-1,22
8/19/07,8/31/07,13,6077,6075,-0.00032911,-0.166666667,-2,5
9/5/07,9/18/07,14,6075,6073,-0.000329218,-0.153846154,-2,4
9/22/07,10/1/07,10,6073,6072,-0.000164663,-0.111111111,-1,37
11/7/07,11/16/07,10,6072,6071,-0.00016469,-0.111111111,-1,4
11/20/07,11/29/07,10,6071,6070,-0.000164718,-0.111111111,-1,24
12/23/07,1/1/08,10,6071,6070,-0.000164718,-0.111111111,-1,10
1/11/08,1/20/08,10,6070,6069,-0.000164745,-0.111111111,-1,5
1/25/08,2/3/08,10,6069,6068,-0.000164772,-0.111111111,-1,7
2/10/08,2/29/08,20,6068,6063,-0.000823995,-0.263157895,-5,6
3/6/08,3/22/08,17,6062,6058,-0.000659848,-0.25,-4,66
5/27/08,6/5/08,10,6067,6065,-0.000329652,-0.222222222,-2,1
6/6/08,6/22/08,17,6065,6061,-0.000659522,-0.25,-4,41
8/2/08,8/11/08,10,6062,6061,-0.000164962,-0.111111111,-1,10
8/21/08,8/31/08,11,6061,6059,-0.000329979,-0.2,-2,14
9/14/08,9/23/08,10,6060,6059,-0.000165017,-0.111111111,-1,8
10/1/08,10/10/08,10,6058,6057,-0.000165071,-0.111111111,-1,28
11/7/08,11/16/08,10,6057,6056,-0.000165098,-0.111111111,-1,18
12/4/08,12/13/08,10,6056,6055,-0.000165125,-0.111111111,-1,15
12/28/08,1/6/09,10,6055,6054,-0.000165153,-0.111111111,-1,15
1/21/09,1/30/09,10,6054,6053,-0.00016518,-0.111111111,-1,120
5/30/09,6/12/09,14,6073,6068,-0.000823316,-0.384615385,-5,28
7/10/09,7/25/09,16,6070,6067,-0.000494234,-0.2,-3,7
8/1/09,8/16/09,16,6066,6063,-0.00049456,-0.2,-3,5
8/21/09,9/1/09,12,6062,6060,-0.000329924,-0.181818182,-2,1
9/2/09,9/15/09,14,6060,6058,-0.000330033,-0.153846154,-2,13
9/28/09,10/7/09,10,6058,6057,-0.000165071,-0.111111111,-1,1
10/8/09,10/17/09,10,6057,6056,-0.000165098,-0.111111111,-1,1
10/18/09,10/27/09,10,6056,6055,-0.000165125,-0.111111111,-1,10
11/6/09,11/15/09,10,6055,6054,-0.000165153,-0.111111111,-1,11
11/26/09,12/5/09,10,6054,6053,-0.00016518,-0.111111111,-1,9
12/14/09,12/23/09,10,6053,6052,-0.000165207,-0.111111111,-1,9
1/1/10,1/10/10,10,6052,6051,-0.000165235,-0.111111111,-1,7
1/17/10,1/26/10,10,6051,6050,-0.000165262,-0.111111111,-1,18
2/13/10,2/22/10,10,6050,6049,-0.000165289,-0.111111111,-1,114
6/16/10,6/25/10,10,6076,6075,-0.000164582,-0.111111111,-1,4
6/29/10,7/11/10,13,6075,6073,-0.000329218,-0.166666667,-2,5
7/16/10,7/26/10,11,6072,6070,-0.000329381,-0.2,-2,5
7/31/10,8/4/10,5,6070,6069,-0.000164745,-0.25,-1,3
8/7/10,8/16/10,10,6070,6069,-0.000164745,-0.111111111,-1,3
8/19/10,8/28/10,10,6069,6068,-0.000164772,-0.111111111,-1,1
8/29/10,9/7/10,10,6068,6067,-0.000164799,-0.111111111,-1,7
9/14/10,9/23/10,10,6067,6066,-0.000164826,-0.111111111,-1,1
9/24/10,10/3/10,10,6066,6065,-0.000164853,-0.111111111,-1,27
10/30/10,11/8/10,10,6064,6063,-0.000164908,-0.111111111,-1,14
11/22/10,12/1/10,10,6063,6062,-0.000164935,-0.111111111,-1,11
12/12/10,12/21/10,10,6062,6061,-0.000164962,-0.111111111,-1,21
1/11/11,1/20/11,10,6061,6060,-0.000164989,-0.111111111,-1,12
2/1/11,2/10/11,10,6060,6059,-0.000165017,-0.111111111,-1,15
2/25/11,3/6/11,10,6059,6058,-0.000165044,-0.111111111,-1,94
6/8/11,6/17/11,10,6069,6067,-0.000329544,-0.222222222,-2,19
7/6/11,7/15/11,10,6069,6068,-0.000164772,-0.111111111,-1,2
7/17/11,7/30/11,14,6068,6066,-0.000329598,-0.153846154,-2,5
8/4/11,8/16/11,13,6066,6064,-0.000329707,-0.166666667,-2,4
8/20/11,8/30/11,11,6063,6061,-0.00032987,-0.2,-2,1
