Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2001,7,0.6821917808219178,35.57142857142857,25.539085691527482,-0.0004190911942671824,0.00037835427907056187,-0.06456217441168309,0.03522225339981189,-0.36999999999989086
2002,6,1.0191780821917809,62.0,91.98007030511194,-0.001349135143483007,0.0025896738636715312,-0.06961631941243336,0.044587968574726716,-0.3400000000001455
2003,10,0.5945205479452055,21.7,22.12713266557599,-0.0004456249501003636,0.000927840026875894,-0.06598515769946989,0.0638349783893492,-0.3999999999996362
2004,5,0.31232876712328766,22.8,23.146490014686893,-0.00043128822710806586,0.0006686288393011269,-0.07821920563094682,0.06518049891477408,-0.28000000000065484
2005,8,0.3643835616438356,16.625,6.89089072616886,-0.00018106603529919008,0.00014062614009831943,-0.06583592772397293,0.04913192762684006,-0.3000000000001819
2006,13,0.4986301369863014,14.0,9.421742448678524,-0.00020006483017687396,0.00042031376890283584,-0.054155508864695265,0.05709730294566163,-0.6099999999996726
2007,9,0.5643835616438356,22.88888888888889,14.700298140925536,-0.0003291041921985884,0.0003055049011741572,-0.07739061914501201,0.06066613301281172,-0.42000000000007276
2008,13,0.726027397260274,20.384615384615383,18.702276544019824,-0.0003398677318308327,0.000541020295548223,-0.07530491928854609,0.05246067172095688,-0.38000000000010914
2009,8,0.663013698630137,30.25,27.229349973879287,-0.0005110695800707721,0.0006154914706192808,-0.09599844599843176,0.08764839746290838,-0.5200000000004366
2010,11,0.6164383561643836,20.454545454545453,12.57243475634212,-0.00023668469568879452,0.00028587344172928034,-0.055814104408452685,0.028945769382853922,-0.27000000000043656
2011,10,0.5150684931506849,18.8,18.459685804476738,-0.0002571745079944039,0.0004565761568700057,-0.06508363858366188,0.04777352507263962,-0.3099999999994907
2012,9,0.7863013698630137,31.88888888888889,53.27798053489399,-0.0007114267484857235,0.0017787951317292743,-0.0564614043619491,0.04825414651686259,-0.6399999999994179
2013,9,0.4575342465753425,18.555555555555557,13.945219101988652,-0.00036877236267594577,0.0006375404741029931,-0.08587825486375499,0.06568987251689538,-0.3400000000001455
2014,6,0.3835616438356164,23.333333333333332,20.965580258021852,-0.0003529522543901328,0.0005418793772156769,-0.055174271094689815,0.045260323714002376,-0.22000000000025466
2015,7,0.31232876712328766,16.285714285714285,13.935712455151084,-0.0001883937949068038,0.00025017272066321064,-0.05905521915726692,0.026034960732939462,-0.22000000000025466
2016,11,0.4958904109589041,16.454545454545453,13.845666446178853,-0.00031745129972828777,0.0006778386378279871,-0.07030742875662567,0.07025095299946663,-0.6199999999998909
2017,10,0.6136986301369863,22.4,24.233035303073365,-0.0004380887258681316,0.0008540804858001568,-0.06474620772182049,0.053990206493709225,-0.5700000000006185
2018,14,0.9013698630136986,23.5,36.05699852812409,-0.0004511314376501267,0.0013332112880574877,-0.0497598222211212,0.045340003180710485,-0.32000000000061846
2019,8,0.5589041095890411,25.5,31.12474899497183,-0.00037487422346047547,0.0007343245687388419,-0.052242676000888374,0.03337050369104207,-0.3100000000004002
2020,8,0.6356164383561644,29.0,46.52956049652737,-0.0005485194846786028,0.0012890276480678588,-0.05062512542644493,0.04174584263530852,-0.3099999999994907
