Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2001,12,0.3561643835616438,10.833333333333334,2.7638539919628333,-0.0002060713691845967,0.00013642588023147676,-0.11939571150097468,0.027476911031209444,-0.36999999999989086
2002,17,0.7041095890410959,15.117647058823529,15.79606188055289,-0.00043819855745785396,0.0008048538103765894,-0.1469086469086469,0.04787138638196197,-0.3400000000001455
2003,13,0.4684931506849315,13.153846153846153,8.08461172509615,-0.00037122166329266664,0.0004569487299865182,-0.15080353744321356,0.05781736005151912,-0.3999999999996362
2004,6,0.1863013698630137,11.333333333333334,2.5603819159562025,-0.0002765197125854332,0.00012363262083938203,-0.1566951566951567,0.04051698761631879,-0.28000000000065484
2005,6,0.1726027397260274,10.5,1.118033988749895,-0.00021946971040971683,0.0001226963842964125,-0.13425925925925927,0.05176083281249513,-0.3000000000001819
2006,7,0.2219178082191781,11.571428571428571,2.821202522590214,-0.0003292763608304693,0.00034053573572852123,-0.16199813258636792,0.10375285271093154,-0.6099999999996726
2007,9,0.27671232876712326,11.222222222222221,1.7497795275581802,-0.00025600141733355644,0.00015716741540975943,-0.14387464387464388,0.06136939951150433,-0.42000000000007276
2008,13,0.4246575342465753,11.923076923076923,3.407266860053862,-0.0003171490807082383,0.0002282184637785944,-0.1595591542959964,0.06289895275817604,-0.38000000000010914
2009,12,0.38904109589041097,11.833333333333334,2.3746344747958346,-0.0003023401767819153,0.00019968165871533356,-0.1581714581714582,0.07684221675027764,-0.5200000000004366
2010,15,0.40821917808219177,9.933333333333334,1.5260697523012798,-0.00018683404271295858,5.587987828411431e-05,-0.13000000000000003,0.04076430295076477,-0.27000000000043656
2011,12,0.3589041095890411,10.916666666666666,1.4409680388158816,-0.00023363967045364267,8.121907570453464e-05,-0.14059829059829063,0.03852716781125152,-0.3099999999994907
2012,14,0.5178082191780822,13.5,7.048302733890722,-0.0004134901335672929,0.0003628983538569888,-0.18358925501782644,0.08235153514790948,-0.6399999999994179
2013,8,0.2876712328767123,13.125,7.896795236043543,-0.00035271112324532575,0.0004343243255812028,-0.14242424242424243,0.05720240458492027,-0.3400000000001455
2014,9,0.27671232876712326,11.222222222222221,1.3966450099973926,-0.0002575181389084445,8.216139671848142e-05,-0.149641716308383,0.03704830897717978,-0.22000000000025466
2015,7,0.2,10.428571428571429,1.0497813183356477,-0.00018845062014365927,5.760129959581555e-05,-0.11904761904761904,0.019440394783993478,-0.22000000000025466
2016,6,0.2493150684931507,15.166666666666666,8.571593913749195,-0.0005216559810477942,0.0006541199505121244,-0.16958041958041958,0.0896007315784122,-0.6199999999998909
2017,11,0.39452054794520547,13.090909090909092,5.29930605155988,-0.00038953043656964227,0.0004398015152204121,-0.15873307978571138,0.08414767579666767,-0.5700000000006185
2018,11,0.5232876712328767,17.363636363636363,18.172270220274566,-0.000526727530438599,0.000861128075317292,-0.14314508723599634,0.055321336521385524,-0.32000000000061846
2019,10,0.3315068493150685,12.1,3.3301651610693423,-0.00028031986142265116,0.0001954604944266513,-0.14038461538461539,0.04326646081668822,-0.3100000000004002
2020,13,0.44931506849315067,12.615384615384615,5.456660877220985,-0.00031774259863278037,0.0002546669123391021,-0.15262686031916803,0.04228672954900671,-0.3099999999994907
