Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/98,3/28/98,87,7489.0,7472.0,-0.002269995994124716
3/29/98,4/23/98,26,7473.0,7470.0,-0.0004014452027298274
4/26/98,4/30/98,5,7472.0,7472.0,0.0
5/24/98,5/28/98,5,7484.0,7484.0,0.0
6/15/98,6/19/98,5,7495.0,7495.0,0.0
7/10/98,7/27/98,18,7504.0,7504.0,0.0
7/28/98,3/14/99,230,7505.0,7486.0,-0.002531645569620253
3/15/99,5/9/99,56,7487.0,7484.0,-0.00040069453719780956
5/10/99,5/17/99,8,7485.0,7485.0,0.0
7/4/99,7/9/99,6,7517.0,7517.0,0.0
7/10/99,7/22/99,13,7518.0,7518.0,0.0
7/23/99,1/29/00,191,7519.0,7488.0,-0.004122888682005586
1/30/00,4/17/00,79,7489.0,7485.0,-0.0005341167044999333
4/18/00,4/26/00,9,7486.0,7486.0,0.0
5/17/00,5/24/00,8,7499.0,7498.0,-0.00013335111348179759
6/11/00,11/10/00,153,7509.0,7481.0,-0.0037288587028898655
11/11/00,4/7/01,148,7482.0,7475.0,-0.0009355787222667736
4/8/01,4/21/01,14,7476.0,7473.0,-0.0004012841091492777
4/22/01,5/1/01,10,7474.0,7473.0,-0.0001337971635001338
6/19/01,6/27/01,9,7501.0,7501.0,0.0
6/28/01,7/7/01,10,7502.0,7501.0,-0.00013329778725673153
7/8/01,8/11/01,35,7502.0,7499.0,-0.0003998933617701946
8/12/01,8/18/01,7,7500.0,7499.0,-0.00013333333333333334
8/19/01,11/3/01,77,7500.0,7486.0,-0.0018666666666666666
11/4/01,11/10/01,7,7487.0,7486.0,-0.00013356484573260317
11/11/01,11/17/01,7,7487.0,7486.0,-0.00013356484573260317
11/18/01,12/21/01,34,7487.0,7485.0,-0.00026712969146520634
12/22/01,2/23/02,64,7486.0,7482.0,-0.0005343307507347048
2/24/02,4/6/02,42,7483.0,7481.0,-0.00026727248429774154
4/7/02,6/1/02,56,7482.0,7476.0,-0.0008019246190858059
6/5/02,10/4/02,122,7478.0,7442.0,-0.0048141214228403315
10/5/02,11/1/02,28,7443.0,7441.0,-0.0002687088539567379
11/2/02,11/15/02,14,7442.0,7442.0,0.0
11/16/02,11/29/02,14,7443.0,7443.0,0.0
11/30/02,12/29/02,30,7444.0,7444.0,0.0
12/30/02,1/23/03,25,7445.0,7445.0,0.0
1/24/03,2/10/03,18,7446.0,7446.0,0.0
2/11/03,3/4/03,22,7447.0,7446.0,-0.0001342822613132805
3/5/03,3/11/03,7,7447.0,7447.0,0.0
3/12/03,3/17/03,6,7448.0,7448.0,0.0
3/18/03,3/23/03,6,7449.0,7449.0,0.0
3/24/03,4/30/03,38,7450.0,7447.0,-0.00040268456375838925
5/1/03,5/15/03,15,7448.0,7447.0,-0.0001342642320085929
6/20/03,7/25/03,36,7481.0,7474.0,-0.0009357037829167224
7/26/03,8/29/03,35,7475.0,7465.0,-0.0013377926421404682
8/30/03,11/20/03,83,7466.0,7459.0,-0.0009375837128315028
11/21/03,12/20/03,30,7460.0,7460.0,0.0
12/21/03,1/16/04,27,7461.0,7461.0,0.0
1/17/04,2/16/04,31,7462.0,7462.0,0.0
2/17/04,3/11/04,24,7463.0,7463.0,0.0
3/12/04,3/18/04,7,7464.0,7464.0,0.0
3/29/04,4/4/04,7,7468.0,7468.0,0.0
4/12/04,4/17/04,6,7471.0,7471.0,0.0
4/18/04,4/28/04,11,7472.0,7472.0,0.0
4/29/04,5/5/04,7,7473.0,7473.0,0.0
6/21/04,7/23/04,33,7497.0,7494.0,-0.00040016006402561027
7/24/04,10/17/04,86,7495.0,7476.0,-0.002535023348899266
10/18/04,11/5/04,19,7477.0,7476.0,-0.00013374348000534973
11/6/04,11/17/04,12,7477.0,7477.0,0.0
11/18/04,4/20/05,154,7478.0,7461.0,-0.002273335116341268
4/23/05,5/19/05,27,7462.0,7458.0,-0.0005360493165371214
7/3/05,7/8/05,6,7498.0,7498.0,0.0
7/9/05,7/15/05,7,7499.0,7498.0,-0.00013335111348179759
7/16/05,7/22/05,7,7499.0,7498.0,-0.00013335111348179759
7/23/05,7/29/05,7,7499.0,7498.0,-0.00013335111348179759
7/30/05,8/19/05,21,7499.0,7497.0,-0.00026670222696359517
8/20/05,10/21/05,63,7498.0,7489.0,-0.001200320085356095
10/22/05,11/4/05,14,7490.0,7489.0,-0.0001335113484646195
11/5/05,2/24/06,112,7490.0,7488.0,-0.000267022696929239
2/25/06,4/14/06,49,7489.0,7488.0,-0.00013352917612498332
4/18/06,4/22/06,5,7490.0,7490.0,0.0
5/9/06,5/13/06,5,7496.0,7496.0,0.0
6/10/06,6/14/06,5,7517.0,7517.0,0.0
6/15/06,6/23/06,9,7518.0,7517.0,-0.00013301409949454643
6/24/06,7/21/06,28,7518.0,7514.0,-0.0005320563979781857
7/22/06,7/28/06,7,7515.0,7513.0,-0.0002661343978709248
7/29/06,10/30/06,94,7514.0,7499.0,-0.0019962736225712006
10/31/06,3/17/07,138,7500.0,7478.0,-0.0029333333333333334
3/22/07,3/26/07,5,7480.0,7480.0,0.0
3/27/07,4/5/07,10,7481.0,7481.0,0.0
