Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
2/4/97,4/2/97,58,2242.0,2242.0,0.0
4/3/97,4/14/97,12,2243.0,2243.0,0.0
4/15/97,8/13/97,121,2244.0,2237.0,-0.0031194295900178253
8/14/97,10/2/97,50,2238.0,2234.0,-0.0017873100983020554
10/3/97,10/10/97,8,2235.0,2235.0,0.0
10/11/97,10/15/97,5,2236.0,2236.0,0.0
10/16/97,10/22/97,7,2237.0,2237.0,0.0
10/23/97,10/28/97,6,2238.0,2238.0,0.0
10/29/97,11/4/97,7,2239.0,2239.0,0.0
11/5/97,11/12/97,8,2240.0,2240.0,0.0
11/13/97,11/21/97,9,2241.0,2241.0,0.0
11/22/97,3/28/98,127,2242.0,2242.0,0.0
3/29/98,4/17/98,20,2243.0,2243.0,0.0
4/18/98,6/16/98,60,2244.0,2244.0,0.0
6/17/98,10/4/98,110,2245.0,2235.0,-0.004454342984409799
10/5/98,10/11/98,7,2236.0,2236.0,0.0
10/12/98,10/17/98,6,2237.0,2237.0,0.0
10/18/98,10/24/98,7,2238.0,2238.0,0.0
4/1/99,11/9/99,222,2244.0,2225.0,-0.008467023172905526
11/10/99,11/14/99,5,2226.0,2226.0,0.0
11/15/99,11/19/99,5,2227.0,2227.0,0.0
11/20/99,11/24/99,5,2228.0,2228.0,0.0
11/25/99,11/30/99,6,2229.0,2229.0,0.0
12/1/99,12/5/99,5,2230.0,2230.0,0.0
12/6/99,12/11/99,6,2231.0,2231.0,0.0
12/12/99,12/18/99,7,2232.0,2232.0,0.0
12/19/99,12/24/99,6,2233.0,2233.0,0.0
12/25/99,12/30/99,6,2234.0,2234.0,0.0
12/31/99,1/6/00,7,2235.0,2235.0,0.0
1/7/00,1/14/00,8,2236.0,2236.0,0.0
1/15/00,1/21/00,7,2237.0,2237.0,0.0
1/22/00,1/29/00,8,2238.0,2238.0,0.0
1/30/00,2/6/00,8,2239.0,2239.0,0.0
2/7/00,2/14/00,8,2240.0,2240.0,0.0
2/15/00,2/22/00,8,2241.0,2241.0,0.0
2/23/00,3/2/00,9,2242.0,2242.0,0.0
3/3/00,3/13/00,11,2243.0,2243.0,0.0
3/14/00,10/30/00,228,2244.0,2227.0,-0.007575757575757576
10/31/00,11/6/00,7,2228.0,2228.0,0.0
11/11/00,11/16/00,6,2230.0,2230.0,0.0
11/17/00,11/21/00,5,2231.0,2231.0,0.0
11/22/00,11/26/00,5,2232.0,2232.0,0.0
11/27/00,12/1/00,5,2233.0,2233.0,0.0
12/2/00,12/7/00,6,2234.0,2234.0,0.0
12/8/00,12/14/00,7,2235.0,2235.0,0.0
12/15/00,12/21/00,7,2236.0,2236.0,0.0
12/22/00,12/27/00,6,2237.0,2237.0,0.0
12/28/00,1/3/01,7,2238.0,2238.0,0.0
1/4/01,1/10/01,7,2239.0,2239.0,0.0
1/11/01,1/17/01,7,2240.0,2240.0,0.0
1/18/01,1/25/01,8,2241.0,2241.0,0.0
1/26/01,2/2/01,8,2242.0,2242.0,0.0
2/3/01,4/21/01,78,2243.0,2243.0,0.0
4/22/01,6/12/01,52,2244.0,2244.0,0.0
6/13/01,10/16/01,126,2245.0,2229.0,-0.0071269487750556795
10/17/01,10/21/01,5,2230.0,2230.0,0.0
10/22/01,10/27/01,6,2231.0,2231.0,0.0
10/28/01,11/2/01,6,2232.0,2232.0,0.0
11/3/01,11/9/01,7,2233.0,2233.0,0.0
11/10/01,11/16/01,7,2234.0,2234.0,0.0
11/17/01,11/22/01,6,2235.0,2235.0,0.0
11/23/01,11/29/01,7,2236.0,2236.0,0.0
11/30/01,12/6/01,7,2237.0,2237.0,0.0
12/7/01,12/14/01,8,2238.0,2238.0,0.0
12/15/01,12/21/01,7,2239.0,2239.0,0.0
12/22/01,1/1/02,11,2240.0,2240.0,0.0
1/2/02,4/14/02,103,2241.0,2241.0,0.0
4/15/02,4/24/02,10,2242.0,2242.0,0.0
4/25/02,5/1/02,7,2243.0,2243.0,0.0
5/2/02,10/8/02,160,2244.0,2226.0,-0.008021390374331552
10/9/02,10/13/02,5,2227.0,2227.0,0.0
10/14/02,10/19/02,6,2228.0,2228.0,0.0
10/20/02,10/24/02,5,2229.0,2229.0,0.0
10/25/02,10/29/02,5,2230.0,2230.0,0.0
10/30/02,11/4/02,6,2231.0,2231.0,0.0
11/5/02,11/9/02,5,2232.0,2232.0,0.0
11/10/02,11/15/02,6,2233.0,2233.0,0.0
11/16/02,11/22/02,7,2234.0,2234.0,0.0
11/23/02,11/28/02,6,2235.0,2235.0,0.0
11/29/02,12/5/02,7,2236.0,2236.0,0.0
12/6/02,12/12/02,7,2237.0,2237.0,0.0
12/13/02,12/25/02,13,2238.0,2238.0,0.0
12/26/02,1/2/03,8,2239.0,2239.0,0.0
1/3/03,1/12/03,10,2240.0,2240.0,0.0
1/13/03,1/21/03,9,2241.0,2241.0,0.0
1/22/03,1/31/03,10,2242.0,2242.0,0.0
2/1/03,3/4/03,32,2243.0,2243.0,0.0
3/5/03,3/13/03,9,2244.0,2244.0,0.0
3/14/03,10/9/03,210,2245.0,2224.0,-0.009354120267260579
10/10/03,10/15/03,6,2225.0,2225.0,0.0
10/16/03,10/22/03,7,2226.0,2226.0,0.0
10/23/03,10/30/03,8,2227.0,2227.0,0.0
10/31/03,11/6/03,7,2228.0,2228.0,0.0
11/7/03,11/14/03,8,2229.0,2229.0,0.0
11/15/03,11/22/03,8,2230.0,2230.0,0.0
11/23/03,11/29/03,7,2231.0,2231.0,0.0
11/30/03,12/7/03,8,2232.0,2232.0,0.0
12/8/03,12/14/03,7,2233.0,2233.0,0.0
12/15/03,12/22/03,8,2234.0,2234.0,0.0
12/23/03,12/30/03,8,2235.0,2235.0,0.0
12/31/03,1/8/04,9,2236.0,2236.0,0.0
1/9/04,1/16/04,8,2237.0,2237.0,0.0
1/17/04,1/24/04,8,2238.0,2238.0,0.0
1/25/04,2/3/04,10,2239.0,2239.0,0.0
2/4/04,2/12/04,9,2240.0,2240.0,0.0
2/13/04,2/21/04,9,2241.0,2241.0,0.0
2/22/04,3/26/04,34,2242.0,2242.0,0.0
3/27/04,4/4/04,9,2243.0,2242.0,-0.00044583147570218456
4/5/04,4/20/04,16,2243.0,2243.0,0.0
4/21/04,6/22/04,63,2244.0,2243.0,-0.000445632798573975
6/23/04,10/4/04,104,2244.0,2230.0,-0.006238859180035651
10/5/04,10/16/04,12,2231.0,2231.0,0.0
10/17/04,10/27/04,11,2232.0,2232.0,0.0
10/28/04,11/7/04,11,2233.0,2233.0,0.0
11/8/04,11/17/04,10,2234.0,2234.0,0.0
11/18/04,11/26/04,9,2235.0,2235.0,0.0
11/27/04,12/7/04,11,2236.0,2236.0,0.0
12/8/04,12/19/04,12,2237.0,2237.0,0.0
12/20/04,1/1/05,13,2238.0,2238.0,0.0
1/2/05,1/14/05,13,2239.0,2239.0,0.0
1/15/05,1/25/05,11,2240.0,2240.0,0.0
1/26/05,2/5/05,11,2241.0,2241.0,0.0
2/6/05,2/17/05,12,2242.0,2242.0,0.0
2/18/05,10/18/05,203,2243.0,2230.0,-0.0057958091841284
10/21/05,10/27/05,7,2231.0,2231.0,0.0
10/28/05,11/5/05,9,2232.0,2232.0,0.0
11/9/05,11/17/05,9,2233.0,2233.0,0.0
11/18/05,11/24/05,7,2234.0,2234.0,0.0
11/25/05,12/6/05,12,2235.0,2235.0,0.0
12/7/05,12/14/05,8,2236.0,2236.0,0.0
12/15/05,12/23/05,9,2237.0,2237.0,0.0
12/24/05,12/30/05,7,2238.0,2238.0,0.0
1/2/06,1/9/06,8,2239.0,2239.0,0.0
1/13/06,1/21/06,9,2240.0,2240.0,0.0
1/22/06,1/31/06,10,2241.0,2241.0,0.0
2/4/06,2/17/06,14,2242.0,2242.0,0.0
2/18/06,2/27/06,10,2243.0,2243.0,0.0
3/3/06,5/28/06,87,2244.0,2243.0,-0.000445632798573975
5/29/06,6/10/06,13,2244.0,2243.0,-0.000445632798573975
6/11/06,6/15/06,5,2244.0,2243.0,-0.000445632798573975
6/16/06,9/14/06,91,2244.0,2230.0,-0.006238859180035651
9/15/06,10/7/06,23,2231.0,2231.0,0.0
10/8/06,10/15/06,8,2232.0,2232.0,0.0
10/16/06,10/24/06,9,2233.0,2233.0,0.0
10/25/06,11/3/06,10,2234.0,2234.0,0.0
11/4/06,11/13/06,10,2235.0,2235.0,0.0
11/14/06,11/24/06,11,2236.0,2236.0,0.0
11/25/06,12/7/06,13,2237.0,2237.0,0.0
12/8/06,12/18/06,11,2238.0,2238.0,0.0
12/19/06,12/27/06,9,2239.0,2239.0,0.0
12/28/06,1/6/07,10,2240.0,2240.0,0.0
1/7/07,1/20/07,14,2241.0,2241.0,0.0
1/21/07,2/23/07,34,2242.0,2242.0,0.0
2/24/07,3/23/07,15,2243.0,2242.0,-0.00044583147570218456
3/24/07,4/1/07,9,2243.0,2243.0,0.0
4/2/07,7/18/07,108,2244.0,2240.0,-0.0017825311942959
7/19/07,9/27/07,71,2241.0,2233.0,-0.0035698348951361
9/28/07,10/14/07,17,2234.0,2234.0,0.0
10/15/07,10/23/07,9,2235.0,2235.0,0.0
10/24/07,11/3/07,11,2236.0,2236.0,0.0
11/4/07,11/15/07,12,2237.0,2237.0,0.0
11/16/07,11/27/07,12,2238.0,2238.0,0.0
11/28/07,12/8/07,11,2239.0,2239.0,0.0
12/9/07,12/24/07,16,2240.0,2240.0,0.0
12/25/07,3/13/08,80,2241.0,2241.0,0.0
3/14/08,3/26/08,13,2242.0,2242.0,0.0
3/27/08,4/7/08,12,2243.0,2243.0,0.0
4/8/08,9/17/08,163,2244.0,2231.0,-0.005793226381461676
9/21/08,10/12/08,22,2232.0,2232.0,0.0
10/13/08,10/19/08,7,2233.0,2233.0,0.0
10/24/08,10/29/08,6,2235.0,2235.0,0.0
10/30/08,11/5/08,7,2236.0,2236.0,0.0
11/6/08,11/15/08,10,2237.0,2237.0,0.0
11/16/08,11/25/08,10,2238.0,2238.0,0.0
11/26/08,12/7/08,12,2239.0,2239.0,0.0
12/8/08,2/8/09,63,2240.0,2240.0,0.0
2/9/09,3/15/09,35,2241.0,2241.0,0.0
3/16/09,3/29/09,14,2242.0,2242.0,0.0
3/30/09,4/7/09,9,2243.0,2243.0,0.0
4/8/09,10/6/09,182,2244.0,2234.0,-0.004456327985739751
10/7/09,10/16/09,10,2235.0,2235.0,0.0
10/17/09,10/28/09,12,2236.0,2236.0,0.0
10/29/09,11/10/09,13,2237.0,2237.0,0.0
11/11/09,11/22/09,12,2238.0,2238.0,0.0
11/23/09,12/5/09,13,2239.0,2239.0,0.0
12/6/09,3/8/10,93,2240.0,2240.0,0.0
3/9/10,3/18/10,10,2241.0,2241.0,0.0
3/19/10,4/6/10,19,2242.0,2242.0,0.0
4/7/10,6/6/10,61,2243.0,2242.0,-0.00044583147570218456
6/7/10,6/11/10,5,2243.0,2243.0,0.0
6/14/10,6/27/10,14,2246.0,2243.0,-0.0013357079252003562
6/28/10,9/22/10,87,2244.0,2227.0,-0.007575757575757576
9/23/10,9/28/10,6,2228.0,2227.0,-0.0004488330341113106
9/29/10,10/4/10,6,2228.0,2228.0,0.0
10/5/10,10/10/10,6,2229.0,2229.0,0.0
10/11/10,10/16/10,6,2230.0,2230.0,0.0
10/17/10,10/22/10,6,2231.0,2231.0,0.0
10/27/10,11/2/10,7,2233.0,2233.0,0.0
11/3/10,11/8/10,6,2234.0,2234.0,0.0
11/9/10,11/15/10,7,2235.0,2235.0,0.0
11/16/10,11/22/10,7,2236.0,2236.0,0.0
11/23/10,11/28/10,6,2237.0,2237.0,0.0
12/1/10,12/7/10,7,2238.0,2238.0,0.0
12/8/10,12/16/10,9,2239.0,2239.0,0.0
12/17/10,1/24/11,39,2240.0,2240.0,0.0
1/25/11,2/3/11,10,2241.0,2240.0,-0.0004462293618920125
2/4/11,3/4/11,29,2241.0,2241.0,0.0
3/5/11,3/19/11,15,2242.0,2242.0,0.0
3/20/11,4/2/11,14,2243.0,2243.0,0.0
4/6/11,4/28/11,23,2244.0,2243.0,-0.000445632798573975
5/2/11,5/17/11,16,2244.0,2243.0,-0.000445632798573975
5/18/11,10/7/11,143,2244.0,2232.0,-0.0053475935828877
10/12/11,10/27/11,16,2234.0,2234.0,0.0
10/28/11,11/4/11,8,2235.0,2235.0,0.0
11/5/11,11/11/11,7,2236.0,2236.0,0.0
11/12/11,11/20/11,9,2237.0,2237.0,0.0
11/21/11,11/29/11,9,2238.0,2238.0,0.0
11/30/11,1/2/12,34,2239.0,2239.0,0.0
1/3/12,1/21/12,19,2240.0,2240.0,0.0
1/22/12,2/13/12,23,2241.0,2241.0,0.0
2/14/12,3/24/12,40,2242.0,2242.0,0.0
3/25/12,4/10/12,17,2243.0,2243.0,0.0
4/11/12,5/18/12,38,2244.0,2243.0,-0.000445632798573975
5/19/12,10/11/12,146,2244.0,2221.0,-0.010249554367201427
10/12/12,10/21/12,10,2222.0,2222.0,0.0
10/30/12,11/3/12,5,2225.0,2225.0,0.0
11/8/12,11/13/12,6,2227.0,2227.0,0.0
11/14/12,11/19/12,6,2228.0,2228.0,0.0
11/24/12,11/29/12,6,2230.0,2230.0,0.0
11/30/12,12/4/12,5,2231.0,2231.0,0.0
12/5/12,12/13/12,9,2232.0,2232.0,0.0
12/14/12,12/20/12,7,2233.0,2233.0,0.0
12/21/12,12/25/12,5,2234.0,2234.0,0.0
12/26/12,12/31/12,6,2235.0,2235.0,0.0
1/9/13,1/14/13,6,2237.0,2237.0,0.0
1/17/13,1/23/13,7,2238.0,2238.0,0.0
1/24/13,1/30/13,7,2239.0,2239.0,0.0
1/31/13,2/7/13,8,2240.0,2240.0,0.0
2/8/13,2/15/13,8,2241.0,2241.0,0.0
2/16/13,2/24/13,9,2242.0,2242.0,0.0
2/25/13,3/2/13,6,2243.0,2243.0,0.0
3/3/13,3/7/13,5,2244.0,2243.0,-0.000445632798573975
3/8/13,3/12/13,5,2244.0,2243.0,-0.000445632798573975
3/13/13,3/19/13,7,2244.0,2243.0,-0.000445632798573975
3/24/13,4/22/13,30,2244.0,2243.0,-0.000445632798573975
4/23/13,5/1/13,9,2244.0,2243.0,-0.000445632798573975
5/2/13,5/18/13,17,2244.0,2243.0,-0.000445632798573975
5/19/13,10/1/13,136,2244.0,2230.0,-0.006238859180035651
10/2/13,10/9/13,8,2231.0,2231.0,0.0
10/10/13,10/15/13,6,2232.0,2232.0,0.0
10/16/13,10/22/13,7,2233.0,2233.0,0.0
10/23/13,10/30/13,8,2234.0,2234.0,0.0
10/31/13,11/6/13,7,2235.0,2235.0,0.0
11/7/13,11/15/13,9,2236.0,2236.0,0.0
11/16/13,11/23/13,8,2237.0,2237.0,0.0
11/24/13,12/2/13,9,2238.0,2238.0,0.0
12/3/13,12/17/13,15,2239.0,2239.0,0.0
12/18/13,1/11/14,25,2240.0,2240.0,0.0
1/12/14,2/10/14,30,2241.0,2241.0,0.0
2/11/14,3/8/14,26,2242.0,2242.0,0.0
3/9/14,3/30/14,22,2243.0,2243.0,0.0
3/31/14,6/8/14,70,2244.0,2243.0,-0.000445632798573975
6/9/14,9/18/14,102,2244.0,2235.0,-0.004010695187165776
9/19/14,10/26/14,38,2236.0,2235.0,-0.0004472271914132379
10/27/14,11/3/14,8,2236.0,2236.0,0.0
11/4/14,11/14/14,11,2237.0,2237.0,0.0
11/15/14,11/22/14,8,2238.0,2238.0,0.0
11/23/14,12/2/14,10,2239.0,2239.0,0.0
12/3/14,12/13/14,11,2240.0,2239.0,-0.0004464285714285714
12/14/14,1/9/15,27,2240.0,2239.0,-0.0004464285714285714
1/10/15,1/30/15,21,2240.0,2240.0,0.0
1/31/15,2/23/15,24,2241.0,2241.0,0.0
2/24/15,3/21/15,26,2242.0,2242.0,0.0
3/22/15,4/1/15,11,2243.0,2243.0,0.0
4/2/15,9/22/15,174,2244.0,2231.0,-0.005793226381461676
9/23/15,10/5/15,13,2232.0,2232.0,0.0
10/6/15,10/12/15,7,2233.0,2233.0,0.0
10/13/15,10/19/15,7,2234.0,2234.0,0.0
10/20/15,10/26/15,7,2235.0,2235.0,0.0
10/27/15,11/4/15,9,2236.0,2236.0,0.0
11/5/15,11/13/15,9,2237.0,2237.0,0.0
11/14/15,11/20/15,7,2238.0,2238.0,0.0
11/21/15,11/30/15,10,2239.0,2239.0,0.0
12/1/15,1/5/16,36,2240.0,2240.0,0.0
1/6/16,2/17/16,43,2241.0,2241.0,0.0
2/18/16,3/17/16,29,2242.0,2242.0,0.0
3/18/16,3/29/16,12,2243.0,2243.0,0.0
3/30/16,4/29/16,31,2244.0,2244.0,0.0
4/30/16,10/5/16,159,2245.0,2232.0,-0.005790645879732739
10/6/16,10/13/16,8,2233.0,2233.0,0.0
