Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/00,1/5/00,5,1907.0,1906.0,-0.0005243838489774515
1/10/00,1/15/00,6,1907.0,1906.0,-0.0005243838489774515
1/16/00,2/11/00,27,1907.0,1906.0,-0.0005243838489774515
2/20/00,2/26/00,7,1908.0,1907.0,-0.0005241090146750524
2/27/00,3/3/00,6,1908.0,1907.0,-0.0005241090146750524
3/7/00,3/22/00,16,1908.0,1908.0,0.0
3/25/00,3/30/00,6,1910.0,1910.0,0.0
4/10/00,4/25/00,16,1912.0,1911.0,-0.0005230125523012552
4/26/00,5/9/00,14,1912.0,1911.0,-0.0005230125523012552
5/10/00,5/23/00,14,1912.0,1912.0,0.0
5/24/00,6/17/00,25,1913.0,1911.0,-0.0010454783063251437
6/18/00,6/27/00,10,1912.0,1912.0,0.0
6/28/00,7/2/00,5,1913.0,1912.0,-0.0005227391531625719
7/3/00,7/9/00,7,1913.0,1911.0,-0.0010454783063251437
7/10/00,7/31/00,22,1912.0,1911.0,-0.0005230125523012552
8/1/00,8/6/00,6,1912.0,1911.0,-0.0005230125523012552
8/7/00,8/11/00,5,1912.0,1912.0,0.0
8/17/00,8/30/00,14,1913.0,1912.0,-0.0005227391531625719
8/31/00,9/21/00,22,1913.0,1911.0,-0.0010454783063251437
9/22/00,10/21/00,30,1912.0,1906.0,-0.0031380753138075313
10/22/00,10/31/00,10,1907.0,1906.0,-0.0005243838489774515
11/1/00,11/14/00,14,1907.0,1904.0,-0.0015731515469323545
11/18/00,11/22/00,5,1905.0,1904.0,-0.0005249343832020997
11/23/00,11/29/00,7,1905.0,1904.0,-0.0005249343832020997
11/30/00,12/5/00,6,1905.0,1904.0,-0.0005249343832020997
12/6/00,1/13/01,39,1905.0,1905.0,0.0
1/14/01,1/18/01,5,1906.0,1905.0,-0.0005246589716684155
1/19/01,1/27/01,9,1906.0,1905.0,-0.0005246589716684155
2/1/01,2/21/01,21,1906.0,1905.0,-0.0005246589716684155
3/1/01,3/8/01,8,1908.0,1908.0,0.0
3/13/01,3/17/01,5,1910.0,1910.0,0.0
3/22/01,3/31/01,10,1911.0,1911.0,0.0
4/7/01,4/12/01,6,1912.0,1912.0,0.0
4/13/01,4/20/01,8,1913.0,1912.0,-0.0005227391531625719
4/23/01,4/29/01,7,1913.0,1912.0,-0.0005227391531625719
4/30/01,5/11/01,12,1913.0,1911.0,-0.0010454783063251437
5/12/01,5/18/01,7,1912.0,1911.0,-0.0005230125523012552
5/22/01,5/27/01,6,1912.0,1911.0,-0.0005230125523012552
5/28/01,6/16/01,20,1912.0,1910.0,-0.0010460251046025104
6/18/01,6/25/01,8,1912.0,1911.0,-0.0005230125523012552
6/26/01,7/9/01,14,1912.0,1911.0,-0.0005230125523012552
7/14/01,7/31/01,18,1912.0,1911.0,-0.0005230125523012552
8/1/01,8/7/01,7,1912.0,1910.0,-0.0010460251046025104
8/21/01,9/8/01,19,1912.0,1910.0,-0.0010460251046025104
9/9/01,9/16/01,8,1911.0,1909.0,-0.0010465724751439038
9/17/01,9/24/01,8,1910.0,1908.0,-0.0010471204188481676
9/25/01,10/14/01,20,1909.0,1905.0,-0.0020953378732320588
10/15/01,10/19/01,5,1906.0,1906.0,0.0
10/20/01,11/11/01,23,1907.0,1905.0,-0.001048767697954903
11/16/01,12/8/01,23,1906.0,1905.0,-0.0005246589716684155
12/15/01,1/17/02,34,1906.0,1905.0,-0.0005246589716684155
1/21/02,3/3/02,42,1906.0,1906.0,0.0
3/4/02,3/17/02,14,1907.0,1907.0,0.0
3/18/02,3/23/02,6,1908.0,1908.0,0.0
3/24/02,3/29/02,6,1909.0,1909.0,0.0
3/30/02,6/12/02,75,1910.0,1909.0,-0.0005235602094240838
6/16/02,6/25/02,10,1910.0,1909.0,-0.0005235602094240838
6/26/02,6/30/02,5,1910.0,1910.0,0.0
7/1/02,7/5/02,5,1911.0,1911.0,0.0
7/6/02,7/11/02,6,1912.0,1910.0,-0.0010460251046025104
7/15/02,7/28/02,14,1912.0,1910.0,-0.0010460251046025104
7/29/02,8/4/02,7,1911.0,1910.0,-0.0005232862375719519
8/7/02,8/17/02,11,1911.0,1909.0,-0.0010465724751439038
8/18/02,8/24/02,7,1910.0,1909.0,-0.0005235602094240838
8/29/02,9/13/02,16,1911.0,1909.0,-0.0010465724751439038
9/14/02,9/20/02,7,1910.0,1908.0,-0.0010471204188481676
9/23/02,10/1/02,9,1909.0,1907.0,-0.0010476689366160294
10/2/02,10/21/02,20,1908.0,1904.0,-0.0020964360587002098
10/22/02,10/31/02,10,1905.0,1903.0,-0.0010498687664041995
11/1/02,11/7/02,7,1904.0,1902.0,-0.0010504201680672268
11/9/02,11/14/02,6,1904.0,1904.0,0.0
11/15/02,11/22/02,8,1905.0,1903.0,-0.0010498687664041995
11/23/02,12/3/02,11,1904.0,1903.0,-0.0005252100840336134
12/4/02,12/12/02,9,1904.0,1903.0,-0.0005252100840336134
12/15/02,12/23/02,9,1904.0,1903.0,-0.0005252100840336134
12/30/02,1/9/03,11,1904.0,1902.0,-0.0010504201680672268
1/10/03,1/16/03,7,1903.0,1902.0,-0.0005254860746190226
1/17/03,1/23/03,7,1903.0,1902.0,-0.0005254860746190226
1/24/03,1/30/03,7,1903.0,1902.0,-0.0005254860746190226
1/31/03,2/13/03,14,1903.0,1902.0,-0.0005254860746190226
2/14/03,2/18/03,5,1904.0,1903.0,-0.0005252100840336134
2/22/03,2/26/03,5,1904.0,1903.0,-0.0005252100840336134
2/27/03,3/4/03,6,1904.0,1904.0,0.0
3/11/03,3/15/03,5,1906.0,1906.0,0.0
3/16/03,3/21/03,6,1907.0,1907.0,0.0
3/25/03,3/31/03,7,1908.0,1907.0,-0.0005241090146750524
4/6/03,4/11/03,6,1909.0,1909.0,0.0
4/19/03,4/23/03,5,1910.0,1909.0,-0.0005235602094240838
4/24/03,5/4/03,11,1910.0,1909.0,-0.0005235602094240838
5/5/03,5/18/03,14,1911.0,1910.0,-0.0005232862375719519
5/19/03,5/31/03,13,1911.0,1909.0,-0.0010465724751439038
6/1/03,8/1/03,62,1910.0,1910.0,0.0
8/2/03,8/10/03,9,1911.0,1909.0,-0.0010465724751439038
8/11/03,8/16/03,6,1910.0,1909.0,-0.0005235602094240838
8/20/03,8/29/03,10,1910.0,1909.0,-0.0005235602094240838
8/30/03,9/8/03,10,1910.0,1907.0,-0.0015706806282722514
9/9/03,9/17/03,9,1908.0,1907.0,-0.0005241090146750524
9/18/03,9/22/03,5,1908.0,1906.0,-0.0010482180293501049
9/23/03,10/3/03,11,1907.0,1905.0,-0.001048767697954903
10/4/03,10/16/03,13,1906.0,1905.0,-0.0005246589716684155
10/19/03,10/31/03,13,1906.0,1905.0,-0.0005246589716684155
11/3/03,11/10/03,8,1906.0,1905.0,-0.0005246589716684155
11/13/03,11/19/03,7,1906.0,1905.0,-0.0005246589716684155
11/20/03,12/7/03,18,1906.0,1904.0,-0.001049317943336831
12/10/03,12/19/03,10,1904.0,1904.0,0.0
12/23/03,12/30/03,8,1905.0,1904.0,-0.0005249343832020997
1/3/04,1/9/04,7,1905.0,1904.0,-0.0005249343832020997
1/23/04,1/27/04,5,1905.0,1904.0,-0.0005249343832020997
1/28/04,2/2/04,6,1905.0,1904.0,-0.0005249343832020997
2/3/04,2/9/04,7,1905.0,1905.0,0.0
2/10/04,2/15/04,6,1906.0,1906.0,0.0
2/17/04,2/21/04,5,1908.0,1908.0,0.0
2/22/04,2/28/04,7,1909.0,1909.0,0.0
2/29/04,3/6/04,7,1910.0,1910.0,0.0
3/7/04,4/25/04,50,1911.0,1910.0,-0.0005232862375719519
4/29/04,5/10/04,12,1912.0,1909.0,-0.0015690376569037657
5/11/04,5/18/04,8,1910.0,1908.0,-0.0010471204188481676
5/19/04,5/26/04,8,1909.0,1909.0,0.0
5/27/04,5/31/04,5,1910.0,1908.0,-0.0010471204188481676
6/1/04,6/8/04,8,1909.0,1908.0,-0.0005238344683080147
6/9/04,6/16/04,8,1909.0,1908.0,-0.0005238344683080147
6/24/04,6/29/04,6,1909.0,1908.0,-0.0005238344683080147
6/30/04,7/4/04,5,1909.0,1908.0,-0.0005238344683080147
7/5/04,7/18/04,14,1909.0,1907.0,-0.0010476689366160294
8/3/04,8/10/04,8,1908.0,1908.0,0.0
8/13/04,8/18/04,6,1909.0,1909.0,0.0
8/19/04,8/29/04,11,1910.0,1909.0,-0.0005235602094240838
8/30/04,9/4/04,6,1910.0,1908.0,-0.0010471204188481676
9/5/04,10/22/04,48,1909.0,1903.0,-0.003143006809848088
10/26/04,11/2/04,8,1904.0,1903.0,-0.0005252100840336134
11/5/04,11/10/04,6,1904.0,1903.0,-0.0005252100840336134
11/14/04,11/18/04,5,1904.0,1902.0,-0.0010504201680672268
11/19/04,11/23/04,5,1903.0,1902.0,-0.0005254860746190226
11/24/04,12/1/04,8,1903.0,1902.0,-0.0005254860746190226
12/2/04,12/7/04,6,1903.0,1902.0,-0.0005254860746190226
12/8/04,12/12/04,5,1903.0,1903.0,0.0
12/15/04,12/21/04,7,1904.0,1903.0,-0.0005252100840336134
1/8/05,1/14/05,7,1910.0,1908.0,-0.0010471204188481676
1/15/05,1/26/05,12,1909.0,1908.0,-0.0005238344683080147
1/27/05,2/5/05,10,1909.0,1909.0,0.0
2/6/05,2/10/05,5,1910.0,1909.0,-0.0005235602094240838
2/13/05,2/19/05,7,1913.0,1911.0,-0.0010454783063251437
2/20/05,2/25/05,6,1912.0,1911.0,-0.0005230125523012552
3/3/05,3/10/05,8,1912.0,1912.0,0.0
3/17/05,3/23/05,7,1913.0,1912.0,-0.0005227391531625719
3/24/05,4/1/05,9,1913.0,1912.0,-0.0005227391531625719
4/8/05,4/16/05,9,1911.0,1909.0,-0.0010465724751439038
4/17/05,4/23/05,7,1910.0,1907.0,-0.0015706806282722514
5/2/05,5/8/05,7,1909.0,1908.0,-0.0005238344683080147
5/9/05,5/22/05,14,1909.0,1909.0,0.0
5/23/05,5/28/05,6,1910.0,1908.0,-0.0010471204188481676
5/29/05,6/4/05,7,1909.0,1907.0,-0.0010476689366160294
6/5/05,6/13/05,9,1908.0,1907.0,-0.0005241090146750524
6/14/05,6/30/05,17,1908.0,1908.0,0.0
7/1/05,7/5/05,5,1909.0,1909.0,0.0
7/6/05,7/12/05,7,1910.0,1909.0,-0.0005235602094240838
7/16/05,7/29/05,14,1911.0,1910.0,-0.0005232862375719519
8/3/05,8/10/05,8,1911.0,1910.0,-0.0005232862375719519
8/11/05,8/18/05,8,1911.0,1910.0,-0.0005232862375719519
8/26/05,9/4/05,10,1911.0,1909.0,-0.0010465724751439038
9/5/05,9/22/05,18,1910.0,1910.0,0.0
9/23/05,9/28/05,6,1911.0,1910.0,-0.0005232862375719519
9/29/05,10/6/05,8,1911.0,1910.0,-0.0005232862375719519
10/7/05,10/14/05,8,1911.0,1907.0,-0.0020931449502878076
10/15/05,10/25/05,11,1908.0,1905.0,-0.0015723270440251573
10/26/05,11/7/05,13,1906.0,1903.0,-0.0015739769150052466
11/8/05,11/13/05,6,1904.0,1903.0,-0.0005252100840336134
11/18/05,11/23/05,6,1904.0,1903.0,-0.0005252100840336134
11/24/05,12/2/05,9,1904.0,1903.0,-0.0005252100840336134
12/3/05,12/8/05,6,1904.0,1903.0,-0.0005252100840336134
12/9/05,12/20/05,12,1904.0,1903.0,-0.0005252100840336134
12/21/05,12/30/05,10,1904.0,1901.0,-0.0015756302521008404
1/5/06,1/12/06,8,1904.0,1904.0,0.0
1/13/06,1/22/06,10,1905.0,1904.0,-0.0005249343832020997
1/23/06,2/19/06,28,1905.0,1904.0,-0.0005249343832020997
2/20/06,3/12/06,21,1905.0,1905.0,0.0
3/19/06,3/23/06,5,1908.0,1908.0,0.0
3/27/06,3/31/06,5,1910.0,1910.0,0.0
4/1/06,4/6/06,6,1911.0,1910.0,-0.0005232862375719519
4/7/06,4/13/06,7,1911.0,1910.0,-0.0005232862375719519
4/16/06,4/20/06,5,1911.0,1909.0,-0.0010465724751439038
4/21/06,4/26/06,6,1910.0,1909.0,-0.0005235602094240838
4/27/06,5/9/06,13,1910.0,1910.0,0.0
5/10/06,5/20/06,11,1911.0,1909.0,-0.0010465724751439038
5/21/06,6/4/06,15,1910.0,1908.0,-0.0010471204188481676
6/8/06,6/18/06,11,1910.0,1910.0,0.0
6/19/06,6/26/06,8,1911.0,1910.0,-0.0005232862375719519
6/29/06,7/3/06,5,1911.0,1910.0,-0.0005232862375719519
7/4/06,7/21/06,18,1911.0,1908.0,-0.0015698587127158557
7/25/06,8/1/06,8,1910.0,1909.0,-0.0005235602094240838
8/2/06,8/16/06,15,1910.0,1908.0,-0.0010471204188481676
