Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
3/18/03,6/17/03,92,5751.2,5740.6,-0.0018430936152454191
6/18/03,11/18/03,153,5740.8,5687.2,-0.009336677814938748
11/19/03,12/20/03,32,5687.4,5685.2,-0.00038681998804371385
12/21/03,2/1/04,43,5685.4,5682.6,-0.0004924895345972619
2/24/04,3/3/04,9,5702.4,5701.8,-0.00010521885521875953
3/4/04,3/30/04,27,5702.0,5700.0,-0.00035075412136092597
7/1/04,12/9/04,162,5740.6,5692.0,-0.008466014005504714
12/10/04,12/20/04,11,5692.2,5691.4,-0.0001405431994659678
3/24/05,6/6/05,75,5748.8,5739.0,-0.001704703590314532
6/23/05,6/27/05,5,5745.2,5744.8,-6.962333774274807e-05
6/28/05,12/12/05,168,5745.2,5662.0,-0.014481654250504739
2/6/06,3/6/06,29,5710.4,5707.8,-0.0004553096105350684
5/19/06,6/16/06,29,5740.0,5724.8,-0.002648083623693348
6/28/06,7/2/06,5,5726.2,5726.2,0.0
7/23/06,1/17/07,179,5729.2,5660.8,-0.01193883962856937
2/19/07,2/28/07,10,5694.0,5693.0,-0.00017562346329469617
5/4/07,7/30/07,88,5733.8,5694.4,-0.006871533712372343
8/2/07,8/31/07,30,5694.8,5672.8,-0.003863173421366861
9/2/07,9/26/07,25,5673.4,5657.0,-0.0028906828356892933
9/28/07,10/12/07,15,5658.2,5651.2,-0.0012371425541691705
10/17/07,11/6/07,21,5655.8,5645.2,-0.001874182255383918
11/15/07,12/9/07,25,5656.6,5653.0,-0.0006364247074214835
12/13/07,1/1/08,20,5656.8,5654.2,-0.0004596238155848472
1/3/08,1/7/08,5,5655.8,5655.2,-0.00010608578804065981
1/9/08,2/26/08,49,5656.8,5651.6,-0.0009192476311695336
6/25/08,6/30/08,6,5726.0,5726.0,0.0
7/10/08,8/21/08,43,5727.8,5705.6,-0.003875833653409654
9/1/08,9/23/08,23,5709.2,5698.2,-0.0019267147761507742
10/9/08,10/20/08,12,5704.6,5701.2,-0.0005960102373524078
10/24/08,12/8/08,46,5702.0,5694.6,-0.0012977902490353623
3/17/09,3/31/09,15,5751.0,5750.0,-0.0001738828029907842
4/19/09,6/26/09,69,5758.6,5747.4,-0.0019449171673671945
