Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,2/16/97,47,2072.0,2070.0,-0.0009652509652509653
2/17/97,5/24/97,97,2071.0,2068.0,-0.0014485755673587638
6/13/97,6/17/97,5,2074.0,2074.0,0.0
6/22/97,9/23/97,94,2076.0,2040.0,-0.017341040462427744
9/24/97,10/4/97,11,2041.0,2041.0,0.0
10/5/97,3/26/98,173,2042.0,2041.0,-0.0004897159647404506
3/29/98,4/6/98,9,2042.0,2041.0,-0.0004897159647404506
4/7/98,4/17/98,11,2042.0,2042.0,0.0
6/19/98,9/22/98,96,2076.0,2042.0,-0.016377649325626204
9/23/98,10/3/98,11,2043.0,2043.0,0.0
10/4/98,12/9/98,67,2044.0,2043.0,-0.0004892367906066536
12/10/98,3/7/99,88,2044.0,2042.0,-0.0009784735812133072
3/8/99,5/1/99,55,2043.0,2042.0,-0.0004894762604013706
5/24/99,6/8/99,16,2060.0,2060.0,0.0
7/9/99,8/13/99,36,2072.0,2067.0,-0.002413127413127413
8/14/99,8/30/99,17,2068.0,2065.0,-0.0014506769825918763
8/31/99,9/6/99,7,2066.0,2066.0,0.0
9/11/99,4/15/00,218,2068.0,2062.0,-0.0029013539651837525
5/12/00,5/16/00,5,2071.0,2071.0,0.0
5/29/00,6/2/00,5,2075.0,2075.0,0.0
6/3/00,7/21/00,49,2076.0,2069.0,-0.003371868978805395
7/22/00,7/27/00,6,2070.0,2070.0,0.0
8/4/00,8/24/00,21,2073.0,2070.0,-0.001447178002894356
8/25/00,5/18/01,267,2071.0,2064.0,-0.003380009657170449
5/19/01,5/30/01,12,2065.0,2065.0,0.0
6/24/01,7/12/01,19,2073.0,2072.0,-0.000482392667631452
7/13/01,9/14/01,64,2073.0,2059.0,-0.006753497346840328
9/15/01,4/26/02,224,2060.0,2055.0,-0.0024271844660194173
6/19/02,6/23/02,5,2075.0,2075.0,0.0
6/24/02,9/13/02,82,2076.0,2040.0,-0.017341040462427744
9/14/02,9/18/02,5,2041.0,2041.0,0.0
9/19/02,4/5/03,199,2042.0,2040.0,-0.0009794319294809011
4/6/03,4/11/03,6,2041.0,2041.0,0.0
6/7/03,6/11/03,5,2074.0,2074.0,0.0
6/16/03,9/10/03,58,2076.0,2047.0,-0.013969171483622351
9/16/03,9/22/03,7,2051.0,2051.0,0.0
9/23/03,4/20/04,211,2052.0,2049.0,-0.0014619883040935672
6/23/04,7/8/04,16,2076.0,2075.0,-0.0004816955684007707
7/9/04,9/13/04,67,2076.0,2045.0,-0.014932562620423893
9/22/04,9/26/04,5,2049.0,2049.0,0.0
9/27/04,1/20/05,116,2050.0,2048.0,-0.000975609756097561
1/21/05,4/9/05,79,2049.0,2047.0,-0.0009760858955588092
4/10/05,4/14/05,5,2048.0,2047.0,-0.00048828125
6/13/05,9/20/05,100,2076.0,2049.0,-0.01300578034682081
9/21/05,10/21/05,31,2050.0,2049.0,-0.0004878048780487805
10/22/05,4/18/06,179,2050.0,2047.0,-0.0014634146341463415
5/24/06,5/28/06,5,2066.0,2066.0,0.0
6/6/06,6/10/06,5,2069.0,2069.0,0.0
6/11/06,6/17/06,7,2070.0,2070.0,0.0
6/21/06,8/9/06,50,2072.0,2061.0,-0.005308880308880309
8/15/06,9/15/06,32,2064.0,2051.0,-0.006298449612403101
9/16/06,9/22/06,7,2052.0,2052.0,0.0
9/26/06,2/20/07,148,2053.0,2050.0,-0.0014612761811982464
2/23/07,4/22/07,59,2051.0,2050.0,-0.00048756704046806434
6/15/07,6/19/07,5,2073.0,2073.0,0.0
6/24/07,9/19/07,88,2075.0,2049.0,-0.01253012048192771
9/20/07,4/26/08,219,2050.0,2048.0,-0.000975609756097561
6/16/08,6/20/08,5,2071.0,2071.0,0.0
6/25/08,6/29/08,5,2073.0,2073.0,0.0
6/30/08,7/4/08,5,2074.0,2074.0,0.0
7/5/08,9/14/08,72,2075.0,2049.0,-0.01253012048192771
9/15/08,9/21/08,7,2050.0,2050.0,0.0
9/22/08,4/23/09,214,2051.0,2048.0,-0.0014627011214041932
6/28/09,7/2/09,5,2073.0,2073.0,0.0
7/3/09,8/8/09,37,2074.0,2066.0,-0.003857280617164899
8/9/09,9/24/09,47,2067.0,2047.0,-0.009675858732462506
9/25/09,4/29/10,217,2048.0,2047.0,-0.00048828125
6/28/10,7/2/10,5,2072.0,2072.0,0.0
7/3/10,7/7/10,5,2073.0,2073.0,0.0
7/8/10,7/16/10,9,2074.0,2074.0,0.0
7/17/10,9/14/10,60,2075.0,2049.0,-0.01253012048192771
9/15/10,4/22/11,220,2050.0,2048.0,-0.000975609756097561
6/14/11,6/18/11,5,2069.0,2069.0,0.0
6/21/11,6/26/11,6,2071.0,2071.0,0.0
6/27/11,7/2/11,6,2072.0,2072.0,0.0
7/3/11,8/14/11,43,2073.0,2065.0,-0.003859141341051616
8/15/11,9/17/11,34,2066.0,2048.0,-0.008712487899322363
9/18/11,9/26/11,9,2049.0,2049.0,0.0
9/27/11,10/6/11,10,2050.0,2049.0,-0.0004878048780487805
10/7/11,4/13/12,190,2050.0,2047.0,-0.0014634146341463415
5/31/12,6/4/12,5,2068.0,2068.0,0.0
6/5/12,6/10/12,6,2069.0,2069.0,0.0
