Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
2/16/04,2/21/04,6,5370.4,5370.4,0.0
5/3/04,5/19/04,17,5379.8,5378.2,-0.0002974088256069675
6/13/04,6/20/04,8,5393.6,5393.6,0.0
6/30/04,10/17/04,110,5394.2,5378.8,-0.0028549182455229016
5/11/05,5/28/05,18,5414.6,5411.4,-0.0005909947179848423
6/15/05,6/19/05,5,5417.0,5416.8,-3.6920804873512666e-05
6/24/05,6/29/05,6,5417.2,5417.0,-3.691944177800674e-05
6/30/05,7/9/05,10,5417.2,5417.0,-3.691944177800674e-05
7/13/05,10/28/05,108,5417.0,5396.6,-0.0037659220971016497
10/29/05,11/23/05,26,5396.8,5396.8,0.0
1/31/06,2/4/06,5,5405.2,5405.2,0.0
2/5/06,2/21/06,17,5405.4,5405.0,-7.400007400000671e-05
2/23/06,2/28/06,6,5405.4,5405.4,0.0
3/11/06,3/17/06,7,5406.6,5406.6,0.0
4/2/06,4/15/06,14,5407.6,5407.4,-3.6984984096591384e-05
4/16/06,5/18/06,33,5407.6,5405.4,-0.00040683482506115976
6/11/06,6/23/06,13,5417.0,5416.6,-7.384160974702533e-05
6/24/06,7/2/06,9,5416.8,5416.8,0.0
7/3/06,9/19/06,79,5417.0,5396.4,-0.0038028429019753302
9/26/06,9/30/06,5,5397.0,5397.0,0.0
1/11/07,1/16/07,6,5412.0,5412.0,0.0
2/24/07,3/7/07,12,5414.8,5414.8,0.0
3/12/07,4/10/07,30,5415.2,5415.2,0.0
4/14/07,4/19/07,6,5415.8,5415.8,0.0
4/20/07,8/23/07,126,5416.0,5363.6,-0.009675036927621793
8/28/07,9/4/07,8,5364.2,5364.2,0.0
9/7/07,9/22/07,16,5364.8,5363.2,-0.0002982403817477564
9/25/07,10/16/07,22,5363.6,5363.4,-3.7288388395989184e-05
3/21/08,5/8/08,49,5384.4,5377.8,-0.0012257633162468344
5/12/08,5/16/08,5,5378.2,5376.8,-0.0002603101409392801
6/25/08,6/30/08,6,5390.2,5390.2,0.0
7/1/08,8/31/08,62,5390.4,5382.6,-0.0014470169189669177
9/1/08,9/12/08,12,5382.8,5382.0,-0.00014862153526049303
9/13/08,10/1/08,19,5382.2,5381.2,-0.00018579762922225112
4/28/09,5/4/09,7,5417.2,5416.8,-7.383888355601348e-05
5/5/09,5/28/09,24,5417.0,5415.6,-0.0002584456341147565
6/3/09,6/8/09,6,5416.6,5416.6,0.0
6/10/09,6/16/09,7,5417.0,5417.0,0.0
6/17/09,10/2/09,108,5417.2,5403.2,-0.0025843609244628222
12/15/09,12/21/09,7,5409.2,5409.2,0.0
12/22/09,12/29/09,8,5409.4,5409.4,0.0
12/30/09,1/4/10,6,5409.6,5409.6,0.0
1/5/10,1/10/10,6,5409.8,5409.8,0.0
1/11/10,1/17/10,7,5410.0,5410.0,0.0
4/5/10,4/9/10,5,5416.8,5416.8,0.0
4/10/10,4/28/10,19,5417.0,5417.0,0.0
4/29/10,5/24/10,26,5417.2,5413.2,-0.0007383888355608064
6/20/10,10/9/10,112,5417.2,5400.8,-0.0030273942257992388
10/10/10,10/16/10,7,5401.0,5401.0,0.0
10/20/10,10/24/10,5,5401.4,5401.4,0.0
1/4/11,2/19/11,47,5412.0,5409.2,-0.0005173688100517705
2/20/11,3/11/11,20,5409.4,5409.2,-3.6972677191521816e-05
3/21/11,3/25/11,5,5410.4,5410.4,0.0
3/26/11,4/1/11,7,5410.6,5410.4,-3.6964477137605366e-05
4/22/11,5/6/11,15,5413.4,5413.2,-3.694535781575685e-05
5/10/11,5/15/11,6,5413.8,5413.8,0.0
5/20/11,6/7/11,19,5414.2,5412.0,-0.00040633888663141706
6/23/11,6/27/11,5,5415.8,5415.8,0.0
6/28/11,7/3/11,6,5416.0,5416.0,0.0
7/11/11,8/1/11,22,5417.8,5417.2,-0.00011074605928612421
8/2/11,9/18/11,48,5417.4,5413.4,-0.0007383615756636025
9/19/11,11/9/11,52,5413.6,5411.0,-0.0004802719077878609
12/8/11,1/20/12,44,5414.8,5414.4,-7.387161113993973e-05
1/21/12,1/27/12,7,5414.6,5414.6,0.0
1/28/12,2/5/12,9,5414.8,5414.8,0.0
2/6/12,2/26/12,21,5415.0,5414.2,-0.00014773776546633092
3/13/12,3/30/12,18,5416.0,5416.0,0.0
4/11/12,4/18/12,8,5417.0,5416.8,-3.6920804873512666e-05
4/19/12,7/24/12,97,5417.0,5397.0,-0.0036920804873546245
7/25/12,8/11/12,18,5397.2,5396.4,-0.00014822500555847142
8/12/12,10/12/12,62,5396.6,5390.2,-0.0011859318830375692
4/24/13,5/29/13,36,5414.0,5405.4,-0.0015884743258220103
5/30/13,9/10/13,104,5405.6,5384.2,-0.00395885748113078
9/18/13,9/29/13,12,5385.6,5385.6,0.0
9/30/13,10/5/13,6,5385.8,5385.6,-3.7134687511570813e-05
10/6/13,10/10/13,5,5385.8,5385.8,0.0
4/16/14,4/21/14,6,5410.0,5410.0,0.0
4/29/14,8/5/14,99,5410.8,5392.8,-0.00332667997338656
8/8/14,8/14/14,7,5393.2,5393.0,-3.708373507376291e-05
8/15/14,8/20/14,6,5393.2,5392.6,-0.00011125120522128872
9/2/14,9/8/14,7,5395.2,5395.0,-3.706998813757008e-05
10/4/14,10/26/14,23,5399.4,5399.4,0.0
12/28/14,1/1/15,5,5405.6,5405.6,0.0
3/30/15,4/3/15,5,5415.2,5415.2,0.0
4/8/15,4/16/15,9,5415.4,5415.2,-3.693171326214465e-05
4/17/15,4/28/15,12,5415.4,5415.2,-3.693171326214465e-05
4/29/15,5/19/15,21,5415.4,5413.8,-0.00029545370609732513
5/31/15,6/14/15,15,5415.0,5413.8,-0.0002216066481994124
6/15/15,8/3/15,50,5414.0,5401.6,-0.0022903583302548275
8/8/15,10/2/15,56,5402.0,5391.8,-0.0018881895594224025
10/3/15,10/8/15,6,5392.0,5392.0,0.0
10/9/15,10/16/15,8,5392.2,5392.0,-3.709061236597643e-05
4/21/16,4/25/16,5,5414.6,5414.6,0.0
4/30/16,5/21/16,22,5415.2,5413.4,-0.0003323976953760123
5/22/16,6/20/16,30,5413.6,5411.0,-0.0004802719077878609
6/24/16,9/21/16,90,5412.8,5393.2,-0.0036210464085132212
10/16/16,10/20/16,5,5397.6,5397.6,0.0
2/21/17,2/25/17,5,5415.2,5415.0,-3.6933077263964046e-05
2/26/17,3/10/17,13,5415.2,5415.2,0.0
3/11/17,3/15/17,5,5415.4,5415.4,0.0
3/24/17,3/29/17,6,5416.2,5416.2,0.0
3/31/17,4/7/17,8,5416.6,5416.6,0.0
4/8/17,4/17/17,10,5416.8,5416.2,-0.00011076650420919432
4/18/17,4/26/17,9,5416.4,5416.0,-7.384978952803268e-05
4/27/17,5/4/17,8,5416.2,5415.2,-0.00018463129131125145
5/11/17,5/26/17,16,5416.6,5413.4,-0.0005907765018647726
6/14/17,6/18/17,5,5417.4,5417.2,-3.6918078783146546e-05
6/19/17,7/11/17,23,5417.4,5415.6,-0.0003322627090484868
7/12/17,7/28/17,17,5415.8,5414.6,-0.00022157391336456627
7/29/17,9/22/17,56,5414.8,5404.4,-0.0019206618896359137
10/3/17,10/12/17,10,5405.8,5405.8,0.0
10/25/17,10/29/17,5,5406.8,5406.8,0.0
12/1/17,12/5/17,5,5409.8,5409.8,0.0
12/6/17,12/11/17,6,5410.0,5410.0,0.0
12/16/17,12/21/17,6,5410.4,5410.4,0.0
12/22/17,12/26/17,5,5410.6,5410.6,0.0
12/27/17,1/1/18,6,5410.8,5410.8,0.0
1/2/18,1/7/18,6,5411.0,5411.0,0.0
3/14/18,3/21/18,8,5416.6,5416.6,0.0
3/26/18,4/5/18,11,5417.0,5416.8,-3.6920804873512666e-05
4/6/18,4/20/18,15,5417.0,5416.6,-7.384160974702533e-05
4/21/18,5/2/18,12,5416.8,5416.4,-7.384433613951884e-05
5/3/18,5/12/18,10,5416.6,5416.0,-0.00011077059409968684
5/13/18,5/29/18,17,5416.2,5413.2,-0.0005538938739337543
6/2/18,8/22/18,82,5413.6,5397.0,-0.003066351411260596
