Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/98,3/24/98,83,6029.2,6026.6,-0.0004312346579976538
3/28/98,5/5/98,39,6027.0,6025.8,-0.00019910403185661492
5/21/98,6/1/98,12,6026.8,6026.8,0.0
6/2/98,6/6/98,5,6027.0,6027.0,0.0
8/3/98,4/27/99,268,6037.8,6024.2,-0.0022524760674418436
5/6/99,5/12/99,7,6025.0,6025.0,0.0
5/15/99,5/19/99,5,6025.4,6025.4,0.0
6/13/99,6/21/99,9,6029.0,6028.8,-3.317299718026507e-05
7/7/99,7/14/99,8,6032.4,6032.4,0.0
7/30/99,2/10/00,196,6033.4,6026.4,-0.0011602081744953095
2/11/00,2/28/00,18,6026.6,6026.2,-6.637241562415718e-05
3/2/00,3/22/00,21,6026.4,6026.0,-6.637461834588415e-05
3/23/00,4/18/00,27,6026.2,6025.8,-6.637682121397169e-05
4/19/00,6/25/00,68,6026.0,6022.8,-0.0005310321938267206
6/28/00,3/12/01,258,6023.0,6020.4,-0.0004316785654989812
3/13/01,3/21/01,9,6020.6,6020.6,0.0
3/25/01,3/31/01,7,6021.2,6021.2,0.0
4/1/01,4/7/01,7,6021.4,6021.4,0.0
4/8/01,4/21/01,14,6021.6,6021.4,-3.32137637838328e-05
4/22/01,4/29/01,8,6021.6,6021.6,0.0
5/3/01,5/7/01,5,6022.0,6022.0,0.0
5/10/01,6/1/01,23,6022.4,6021.2,-0.00019925611052069246
6/2/01,7/11/01,40,6021.4,6021.0,-6.642973394885513e-05
7/12/01,5/11/02,304,6021.2,6015.2,-0.00099647910715472
5/16/02,1/23/03,253,6015.6,6009.4,-0.0010306536338853527
1/26/03,3/16/03,50,6009.6,6009.0,-9.984025559111485e-05
3/17/03,3/23/03,7,6009.2,6009.2,0.0
4/1/03,4/5/03,5,6009.8,6009.8,0.0
4/6/03,4/10/03,5,6010.0,6010.0,0.0
4/11/03,4/15/03,5,6010.2,6010.2,0.0
4/20/03,4/24/03,5,6010.6,6010.6,0.0
4/29/03,5/3/03,5,6011.0,6011.0,0.0
5/15/03,6/5/03,22,6011.8,6010.0,-0.0002994111580558538
6/6/03,6/16/03,11,6010.2,6010.2,0.0
6/17/03,6/22/03,6,6010.4,6010.4,0.0
7/1/03,3/11/04,255,6011.4,6008.8,-0.0004325115613666458
3/23/04,3/30/04,8,6009.6,6009.6,0.0
3/31/04,4/27/04,28,6009.8,6009.8,0.0
4/28/04,6/18/04,52,6010.0,6008.4,-0.0002662229617305098
6/19/04,6/30/04,12,6008.6,6008.6,0.0
8/4/04,8/21/04,18,6011.2,6011.2,0.0
8/24/04,9/10/04,18,6011.4,6011.2,-3.3270120105103324e-05
9/11/04,10/20/04,40,6011.4,6011.2,-3.3270120105103324e-05
10/21/04,10/26/04,6,6011.4,6011.4,0.0
10/29/04,11/3/04,6,6011.6,6011.6,0.0
11/4/04,11/10/04,7,6011.8,6011.8,0.0
11/11/04,11/17/04,7,6012.0,6012.0,0.0
11/18/04,11/27/04,10,6012.2,6012.2,0.0
11/28/04,12/9/04,12,6012.4,6012.4,0.0
12/14/04,12/22/04,9,6012.8,6012.8,0.0
12/23/04,12/31/04,9,6013.0,6013.0,0.0
1/1/05,1/7/05,7,6013.2,6013.2,0.0
1/8/05,1/18/05,11,6013.4,6013.4,0.0
1/19/05,1/26/05,8,6013.6,6013.6,0.0
1/27/05,2/2/05,7,6013.8,6013.8,0.0
2/3/05,2/12/05,10,6014.0,6014.0,0.0
2/13/05,2/22/05,10,6014.2,6014.2,0.0
2/23/05,3/4/05,10,6014.4,6014.4,0.0
3/5/05,3/10/05,6,6014.6,6014.6,0.0
3/17/05,3/21/05,5,6015.8,6015.8,0.0
3/29/05,4/3/05,6,6016.4,6016.4,0.0
4/7/05,4/11/05,5,6016.8,6016.8,0.0
4/12/05,4/17/05,6,6017.0,6017.0,0.0
5/16/05,5/23/05,8,6020.0,6019.6,-6.644518272419206e-05
7/12/05,7/22/05,11,6026.6,6026.6,0.0
7/23/05,4/20/06,272,6026.8,6021.2,-0.0009291829826774347
4/21/06,4/26/06,6,6021.4,6021.4,0.0
4/27/06,5/3/06,7,6021.6,6021.6,0.0
5/8/06,5/13/06,6,6022.0,6022.0,0.0
5/14/06,6/1/06,19,6022.2,6020.8,-0.00023247318255780882
6/26/06,8/16/06,52,6024.2,6024.2,0.0
8/17/06,10/24/06,69,6024.4,6024.2,-3.319832680429887e-05
10/25/06,11/18/06,25,6024.4,6024.4,0.0
11/19/06,3/4/07,106,6024.6,6023.6,-0.00016598612356007037
3/5/07,3/9/07,5,6023.8,6023.8,0.0
3/28/07,4/3/07,7,6025.2,6025.2,0.0
