Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
2/13/03,2/17/03,5,5468.0,5467.0,-0.000182882223847842
3/7/03,3/11/03,5,5469.0,5467.0,-0.00036569756811117204
3/20/03,3/24/03,5,5471.0,5469.0,-0.0003655638822884299
3/27/03,4/3/03,8,5472.0,5468.0,-0.0007309941520467836
4/8/03,4/15/03,8,5471.0,5470.0,-0.00018278194114421494
4/21/03,4/26/03,6,5471.0,5467.0,-0.0007311277645768598
5/5/03,5/10/03,6,5471.0,5470.0,-0.00018278194114421494
5/12/03,5/16/03,5,5472.0,5467.0,-0.0009137426900584795
6/1/03,6/7/03,7,5471.0,5466.0,-0.0009139097057210748
6/21/03,6/25/03,5,5471.0,5469.0,-0.0003655638822884299
6/28/03,7/2/03,5,5471.0,5469.0,-0.0003655638822884299
7/13/03,7/17/03,5,5471.0,5469.0,-0.0003655638822884299
7/21/03,7/25/03,5,5471.0,5470.0,-0.00018278194114421494
8/7/03,8/14/03,8,5471.0,5470.0,-0.00018278194114421494
8/20/03,8/25/03,6,5472.0,5467.0,-0.0009137426900584795
8/30/03,9/5/03,7,5472.0,5470.0,-0.0003654970760233918
9/29/03,10/6/03,8,5466.0,5461.0,-0.0009147457006952067
10/22/03,10/26/03,5,5468.0,5464.0,-0.000731528895391368
10/27/03,11/5/03,10,5471.0,5460.0,-0.0020106013525863645
11/10/03,11/14/03,5,5471.0,5467.0,-0.0007311277645768598
11/15/03,11/20/03,6,5468.0,5467.0,-0.000182882223847842
11/22/03,11/27/03,6,5471.0,5469.0,-0.0003655638822884299
11/28/03,12/4/03,7,5470.0,5469.0,-0.00018281535648994517
12/12/03,12/22/03,11,5470.0,5467.0,-0.0005484460694698354
12/26/03,12/31/03,6,5471.0,5468.0,-0.0005483458234326449
1/4/04,1/10/04,7,5472.0,5471.0,-0.0001827485380116959
1/17/04,1/31/04,15,5472.0,5465.0,-0.0012792397660818713
2/2/04,2/7/04,6,5469.0,5469.0,0.0
2/8/04,2/24/04,17,5470.0,5470.0,0.0
3/13/04,3/17/04,5,5469.0,5469.0,0.0
3/18/04,3/22/04,5,5470.0,5467.0,-0.0005484460694698354
4/17/04,4/21/04,5,5468.0,5468.0,0.0
4/28/04,5/3/04,6,5469.0,5466.0,-0.0005485463521667581
6/7/04,6/12/04,6,5471.0,5468.0,-0.0005483458234326449
6/19/04,6/24/04,6,5471.0,5469.0,-0.0003655638822884299
6/29/04,7/4/04,6,5471.0,5467.0,-0.0007311277645768598
7/10/04,7/19/04,6,5472.0,5466.0,-0.0010964912280701754
8/9/04,8/13/04,5,5471.0,5469.0,-0.0003655638822884299
8/26/04,8/31/04,6,5471.0,5468.0,-0.0005483458234326449
9/5/04,9/9/04,5,5470.0,5464.0,-0.0010968921389396709
9/12/04,9/17/04,6,5469.0,5461.0,-0.0014627902724446882
9/24/04,9/29/04,6,5469.0,5465.0,-0.0007313951362223441
10/6/04,10/13/04,8,5468.0,5468.0,0.0
10/21/04,10/27/04,7,5470.0,5467.0,-0.0005484460694698354
11/1/04,11/8/04,8,5468.0,5463.0,-0.0009144111192392099
11/16/04,11/20/04,5,5468.0,5466.0,-0.000365764447695684
11/23/04,11/27/04,5,5469.0,5466.0,-0.0005485463521667581
1/7/05,1/11/05,5,5471.0,5468.0,-0.0005483458234326449
1/12/05,1/17/05,6,5470.0,5467.0,-0.0005484460694698354
1/28/05,2/5/05,9,5470.0,5469.0,-0.00018281535648994517
2/7/05,2/13/05,7,5471.0,5469.0,-0.0003655638822884299
