Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/2/97,1/19/97,18,456.0,395.0,-0.1337719298245614
1/27/97,2/8/97,13,409.0,394.0,-0.03667481662591687
2/24/97,3/6/97,11,405.0,403.0,-0.0049382716049382715
3/11/97,3/15/97,5,405.0,405.0,0.0
3/31/97,4/6/97,7,413.0,413.0,0.0
4/7/97,4/12/97,6,414.0,414.0,0.0
4/13/97,4/17/97,5,415.0,415.0,0.0
5/19/97,5/23/97,5,430.0,430.0,0.0
5/24/97,6/4/97,12,431.0,431.0,0.0
6/9/97,6/19/97,11,434.0,432.0,-0.004608294930875576
6/20/97,9/3/97,76,433.0,422.0,-0.025404157043879907
9/4/97,9/14/97,11,423.0,423.0,0.0
9/19/97,12/7/97,80,425.0,407.0,-0.042352941176470586
12/9/97,1/3/98,26,409.0,405.0,-0.009779951100244499
1/4/98,1/8/98,5,406.0,406.0,0.0
1/19/98,1/28/98,10,425.0,421.0,-0.009411764705882352
2/8/98,2/13/98,6,421.0,421.0,0.0
2/14/98,2/19/98,6,423.0,419.0,-0.009456264775413711
3/9/98,3/13/98,5,428.0,428.0,0.0
3/17/98,3/22/98,6,430.0,428.0,-0.004651162790697674
4/6/98,4/12/98,7,440.0,440.0,0.0
4/16/98,4/20/98,5,443.0,443.0,0.0
4/26/98,5/21/98,26,446.0,442.0,-0.008968609865470852
5/27/98,6/3/98,8,445.0,445.0,0.0
6/23/98,7/3/98,11,460.0,460.0,0.0
7/14/98,9/9/98,58,464.0,450.0,-0.03017241379310345
9/10/98,11/30/98,82,451.0,423.0,-0.06208425720620843
12/4/98,1/17/99,45,426.0,421.0,-0.011737089201877934
1/20/99,2/6/99,18,428.0,420.0,-0.018691588785046728
2/9/99,2/20/99,12,430.0,416.0,-0.03255813953488372
2/21/99,2/28/99,8,417.0,416.0,-0.002398081534772182
3/4/99,3/8/99,5,419.0,419.0,0.0
6/3/99,6/10/99,8,461.0,461.0,0.0
6/11/99,6/15/99,5,462.0,462.0,0.0
6/16/99,6/23/99,8,463.0,463.0,0.0
6/24/99,1/17/00,208,464.0,416.0,-0.10344827586206896
1/25/00,2/10/00,17,430.0,423.0,-0.01627906976744186
2/14/00,2/22/00,9,434.0,424.0,-0.02304147465437788
2/28/00,3/6/00,8,429.0,427.0,-0.004662004662004662
4/6/00,4/10/00,5,439.0,439.0,0.0
4/14/00,5/8/00,25,441.0,437.0,-0.009070294784580499
5/9/00,5/13/00,5,438.0,438.0,0.0
6/2/00,6/14/00,13,448.0,448.0,0.0
6/15/00,8/23/00,70,449.0,434.0,-0.0334075723830735
8/24/00,9/8/00,16,435.0,435.0,0.0
9/9/00,9/20/00,12,436.0,436.0,0.0
9/21/00,11/13/00,54,437.0,425.0,-0.02745995423340961
11/14/00,1/24/01,72,426.0,415.0,-0.025821596244131457
1/25/01,2/10/01,17,416.0,414.0,-0.004807692307692308
2/15/01,2/21/01,7,416.0,416.0,0.0
2/27/01,3/4/01,6,420.0,420.0,0.0
3/9/01,3/13/01,5,423.0,423.0,0.0
3/14/01,3/20/01,7,424.0,424.0,0.0
3/31/01,4/5/01,6,429.0,429.0,0.0
4/6/01,4/18/01,13,430.0,430.0,0.0
5/4/01,5/8/01,5,438.0,438.0,0.0
5/12/01,11/24/01,197,440.0,379.0,-0.13863636363636364
11/25/01,12/1/01,7,380.0,380.0,0.0
12/7/01,12/12/01,6,384.0,383.0,-0.0026041666666666665
2/1/02,2/6/02,6,415.0,415.0,0.0
3/11/02,3/15/02,5,436.0,436.0,0.0
3/16/02,3/22/02,7,437.0,437.0,0.0
4/11/02,4/15/02,5,446.0,446.0,0.0
4/16/02,4/30/02,15,447.0,445.0,-0.0044742729306487695
5/1/02,5/7/02,7,446.0,446.0,0.0
5/8/02,5/17/02,10,447.0,447.0,0.0
5/31/02,6/5/02,6,452.0,452.0,0.0
6/6/02,11/8/02,156,453.0,410.0,-0.09492273730684327
11/9/02,11/13/02,5,411.0,411.0,0.0
11/14/02,12/13/02,30,412.0,408.0,-0.009708737864077669
12/21/02,12/26/02,6,417.0,417.0,0.0
1/12/03,1/19/03,8,426.0,426.0,0.0
1/23/03,1/27/03,5,428.0,428.0,0.0
1/28/03,3/6/03,38,429.0,420.0,-0.02097902097902098
3/7/03,3/11/03,5,421.0,420.0,-0.0023752969121140144
5/31/03,12/12/03,196,465.0,415.0,-0.10752688172043011
12/15/03,12/23/03,9,417.0,417.0,0.0
1/4/04,2/2/04,30,424.0,423.0,-0.0023584905660377358
2/3/04,2/16/04,14,424.0,424.0,0.0
2/19/04,2/24/04,6,428.0,425.0,-0.007009345794392523
3/24/04,4/4/04,12,440.0,440.0,0.0
4/5/04,4/26/04,22,441.0,431.0,-0.022675736961451247
4/27/04,5/4/04,8,432.0,432.0,0.0
5/5/04,10/19/04,168,433.0,395.0,-0.08775981524249422
10/20/04,10/27/04,8,396.0,396.0,0.0
10/28/04,12/7/04,41,397.0,391.0,-0.015113350125944584
12/12/04,12/18/04,7,395.0,395.0,0.0
12/19/04,12/29/04,11,396.0,396.0,0.0
2/4/05,2/8/05,5,428.0,428.0,0.0
2/9/05,2/15/05,7,429.0,426.0,-0.006993006993006993
2/20/05,2/24/05,5,429.0,428.0,-0.002331002331002331
3/11/05,3/21/05,11,435.0,433.0,-0.004597701149425287
3/24/05,3/30/05,7,441.0,436.0,-0.011337868480725623
5/11/05,5/16/05,6,460.0,460.0,0.0
5/19/05,5/25/05,7,462.0,459.0,-0.006493506493506494
5/30/05,6/5/05,7,465.0,463.0,-0.004301075268817204
6/10/05,11/29/05,173,465.0,418.0,-0.1010752688172043
12/4/05,12/17/05,14,423.0,423.0,0.0
12/23/05,12/30/05,8,433.0,412.0,-0.04849884526558892
12/31/05,1/18/06,19,434.0,398.0,-0.08294930875576037
2/4/06,2/12/06,9,412.0,399.0,-0.03155339805825243
2/22/06,2/26/06,5,403.0,402.0,-0.0024813895781637717
3/17/06,3/24/06,8,433.0,433.0,0.0
