Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/2/97,11/23/97,326,1731.0,1727.0,-0.002310803004043905
11/24/97,1/15/98,53,1728.0,1728.0,0.0
1/16/98,3/27/98,71,1729.0,1729.0,0.0
3/28/98,4/28/98,32,1730.0,1730.0,0.0
4/29/98,11/26/98,212,1731.0,1727.0,-0.002310803004043905
11/27/98,2/26/99,92,1728.0,1728.0,0.0
2/27/99,5/2/99,65,1729.0,1729.0,0.0
5/3/99,6/2/99,31,1730.0,1730.0,0.0
6/3/99,6/26/99,24,1731.0,1730.0,-0.0005777007510109763
6/27/99,1/1/00,189,1731.0,1728.0,-0.0017331022530329288
1/2/00,3/2/00,61,1729.0,1729.0,0.0
3/3/00,5/7/00,66,1730.0,1730.0,0.0
5/8/00,5/25/00,18,1731.0,1730.0,-0.0005777007510109763
5/26/00,2/23/01,273,1731.0,1724.0,-0.004043905257076834
2/24/01,3/24/01,29,1725.0,1725.0,0.0
3/25/01,5/7/01,42,1726.0,1726.0,0.0
5/8/01,3/25/02,322,1727.0,1722.0,-0.0028951939779965257
3/26/02,6/15/02,82,1723.0,1722.0,-0.0005803830528148578
6/16/02,10/3/02,110,1723.0,1715.0,-0.0046430644225188625
10/4/02,3/19/03,167,1716.0,1715.0,-0.0005827505827505828
3/20/03,4/5/03,17,1716.0,1715.0,-0.0005827505827505828
4/6/03,2/4/04,305,1716.0,1708.0,-0.004662004662004662
2/5/04,2/15/04,11,1709.0,1708.0,-0.0005851375073142189
2/19/04,3/21/05,397,1709.0,1702.0,-0.004095962551199532
3/22/05,4/10/05,20,1703.0,1703.0,0.0
4/11/05,6/9/05,60,1704.0,1704.0,0.0
6/10/05,6/24/05,15,1705.0,1705.0,0.0
6/25/05,8/12/05,49,1706.0,1704.0,-0.0011723329425556857
8/13/05,1/14/06,154,1705.0,1705.0,0.0
1/20/06,8/17/06,210,1706.0,1705.0,-0.0005861664712778429
8/18/06,12/31/06,135,1706.0,1705.0,-0.0005861664712778429
1/1/07,2/22/07,53,1706.0,1706.0,0.0
3/2/07,3/27/07,26,1710.0,1710.0,0.0
